env,T,K,method,seed,checkpoint,score,collapsed,n_states,n_rollouts_per_state,median_signed_error,median_absolute_error,median_symmetric_relative_error,ranking_valid_count,ranking_wrong_count,n_nan,n_inf
hopper-medium-replay-v2,10.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau10_mpi3_seed0/params_1000000.pkl,99.281114953505,0,12,4,-35.29966644040442,35.29966644040442,0.063990191133111,0,0,0,0
hopper-medium-replay-v2,10.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau10_mpi3_seed1/params_1000000.pkl,100.05549483118752,0,12,4,-42.89337098932438,42.89337098932438,0.07977786521835276,0,0,0,0
hopper-medium-replay-v2,14.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau14_mpi2_seed0/params_1000000.pkl,101.71993324985573,0,12,4,-26.018591991308625,26.018591991308625,0.048490386843914934,0,0,0,0
hopper-medium-replay-v2,14.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau14_mpi2_seed1/params_1000000.pkl,67.54142728784716,0,12,4,-26.00174617776554,26.00174617776554,0.04906977243043782,1,0,0,0
hopper-medium-replay-v2,14.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau14_mpi3_seed0/params_1000000.pkl,100.76144225906218,0,12,4,-33.4479837835855,33.4479837835855,0.06213797841197283,1,0,0,0
hopper-medium-replay-v2,14.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau14_mpi3_seed1/params_1000000.pkl,100.23296510840105,0,12,4,-36.74420737346193,36.74420737346193,0.06164612040449201,0,0,0,0
hopper-medium-replay-v2,20.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau20_mpi2_seed0/params_1000000.pkl,96.44617335362732,0,12,4,-23.592383230213414,23.592383230213414,0.0428389023979632,1,0,0,0
hopper-medium-replay-v2,20.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau20_mpi2_seed1/params_1000000.pkl,33.02416722402576,0,12,4,-16.744639220843055,16.744639220843055,0.04258263998291177,0,0,0,0
hopper-medium-replay-v2,20.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau20_mpi3_seed0/params_1000000.pkl,100.11333711195589,0,12,4,-30.44443875672809,30.44443875672809,0.05524820865044082,0,0,0,0
hopper-medium-replay-v2,20.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau20_mpi3_seed1/params_1000000.pkl,99.6500877972906,0,12,4,-34.43307451970128,34.43307451970128,0.060170351828735445,0,0,0,0
hopper-medium-replay-v2,4.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau4_mpi2_seed0/params_1000000.pkl,98.62117710179572,0,12,4,-47.55384685622215,47.55384685622215,0.08969718588947209,0,0,0,0
hopper-medium-replay-v2,4.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau4_mpi2_seed1/params_1000000.pkl,99.1298822128758,0,12,4,-43.77721972097223,43.77721972097223,0.08134588397520237,1,0,0,0
hopper-medium-replay-v2,4.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau4_mpi3_seed0/params_1000000.pkl,99.54513946449767,0,12,4,-47.447321045018725,47.447321045018725,0.09348033515869554,0,0,0,0
hopper-medium-replay-v2,4.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau4_mpi3_seed1/params_1000000.pkl,98.35778305910094,0,12,4,-56.43384826148156,56.43384826148156,0.1001369317991982,0,0,0,0
hopper-medium-replay-v2,7.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau7_mpi2_seed0/params_1000000.pkl,101.23930272180854,0,12,4,-40.53290480905926,40.53290480905926,0.07724210663500275,0,0,0,0
hopper-medium-replay-v2,7.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau7_mpi2_seed1/params_1000000.pkl,99.64178300980952,0,12,4,-44.00575289514285,44.00575289514285,0.08165502604927571,0,0,0,0
hopper-medium-replay-v2,7.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau7_mpi3_seed0/params_1000000.pkl,99.1261234791178,0,12,4,-41.367003891851624,41.367003891851624,0.07728874011892796,0,0,0,0
hopper-medium-replay-v2,7.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau7_mpi3_seed1/params_1000000.pkl,96.83849982599703,0,12,4,-49.15630871515992,49.15630871515992,0.08648724347541722,0,0,0,0
hopper-medium-v2,10.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau10_mpi2_seed0/params_1000000.pkl,100.75236086239072,0,12,4,-19.74604863791302,19.74604863791302,0.03635149584360811,1,1,0,0
hopper-medium-v2,10.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau10_mpi2_seed1/params_1000000.pkl,0.8777013869923834,1,12,4,141759.06414324656,141759.06414324656,0.9997024237603842,5,3,0,0
hopper-medium-v2,10.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau10_mpi3_seed0/params_1000000.pkl,101.68562558904912,0,12,4,-14.901780714466042,14.901780714466042,0.027463501526426702,0,0,0,0
hopper-medium-v2,10.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau10_mpi3_seed1/params_1000000.pkl,97.38393610753971,0,12,4,-15.04339614786906,15.04339614786906,0.027451000187420978,1,0,0,0
hopper-medium-v2,14.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau14_mpi2_seed0/params_1000000.pkl,0.5808310974709244,1,12,4,286749442054.17114,286749442054.17114,1.0,0,0,0,0
hopper-medium-v2,14.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau14_mpi2_seed1/params_1000000.pkl,100.6182840931881,0,12,4,-19.10604173108581,19.10604173108581,0.03642079601774744,1,0,0,0
hopper-medium-v2,14.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau14_mpi3_seed0/params_1000000.pkl,89.85745474521019,0,12,4,-13.316165515625485,13.316165515625485,0.02725334661997376,0,0,0,0
hopper-medium-v2,14.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau14_mpi3_seed1/params_1000000.pkl,86.41817407564847,0,12,4,-27.163838516585628,27.163838516585628,0.05407652206110125,1,0,0,0
hopper-medium-v2,20.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau20_mpi2_seed0/params_1000000.pkl,0.5811757628824449,1,12,4,3201092550662.351,3201092550662.351,1.0,0,0,0,0
hopper-medium-v2,20.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau20_mpi2_seed1/params_1000000.pkl,0.7446291720255115,1,12,4,3313799528450.3965,3313799528450.3965,1.0,0,0,0,0
hopper-medium-v2,20.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau20_mpi3_seed0/params_1000000.pkl,0.7326837906838056,1,12,4,1697181925378.9092,1697181925378.9092,1.0,2,0,0,0
hopper-medium-v2,20.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau20_mpi3_seed1/params_1000000.pkl,102.31045708983757,0,12,4,-18.2430468799609,18.2430468799609,0.032174590742443165,0,0,0,0
hopper-medium-v2,4.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau4_mpi2_seed0/params_1000000.pkl,60.54528814168838,0,12,4,-19.448332680273836,19.448332680273836,0.03691877775026841,0,0,0,0
hopper-medium-v2,4.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau4_mpi2_seed1/params_1000000.pkl,58.504775047083236,0,12,4,-20.614095726363928,20.614095726363928,0.03683682209840683,0,0,0,0
hopper-medium-v2,4.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau4_mpi3_seed0/params_1000000.pkl,55.82887349601117,0,12,4,-20.892483291423304,20.892483291423304,0.040275466118095515,0,0,0,0
hopper-medium-v2,4.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau4_mpi3_seed1/params_1000000.pkl,60.40822056172398,0,12,4,-21.46336496416717,21.46336496416717,0.04028012858748806,0,0,0,0
hopper-medium-v2,7.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau7_mpi2_seed0/params_1000000.pkl,97.21316369147769,0,12,4,-15.545791007013975,15.545791007013975,0.031039129195762363,0,0,0,0
hopper-medium-v2,7.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau7_mpi2_seed1/params_1000000.pkl,69.27638683202647,0,12,4,-17.045152746917694,17.045152746917694,0.03270966173194359,0,0,0,0
hopper-medium-v2,7.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau7_mpi3_seed0/params_1000000.pkl,97.78300505490807,0,12,4,-17.01587735846033,17.01587735846033,0.032813047836081966,0,0,0,0
hopper-medium-v2,7.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau7_mpi3_seed1/params_1000000.pkl,91.05273365328065,0,12,4,-19.820059859492403,19.820059859492403,0.03367455242732881,0,0,0,0
