env,T,seed,n_checkpoints,n_states_per_checkpoint,first_route_error,final_route_error,delta,delta_final_checkpoint_only,delta_state_mean_aggregation,delta_state_median_aggregation,delta_state_trimmed_mean_aggregation
hopper-medium-v2,10.0,0,4,12,0.026565936882493996,0.04380868504696832,0.017242748164474322,-0.00098998887291369,0.0136978512498287,0.017242748164474322,0.015034408237085288
hopper-medium-v2,10.0,1,4,12,0.02679192819618336,0.053596365334180315,0.026804437137996955,0.00826385171975421,0.0253955219864579,0.026804437137996955,0.025935621012801592
hopper-medium-v2,20.0,0,4,12,0.9999979454126157,0.9999999999887436,2.0545761278967234e-06,-7.095324328076913e-12,2.059391772779584e-06,2.0545761278967234e-06,2.1210231294643833e-06
hopper-medium-v2,20.0,1,4,12,0.9976998543159386,1.0,0.00230014568406145,3.404254655947625e-10,0.001928211587957085,0.00230014568406145,0.001933753637493707
walker2d-medium-v2,4.0,0,4,12,0.07676833174665491,0.08151420279402405,0.004745871047369135,0.040072759233737654,0.0049331622404850395,0.004745871047369135,0.004424710980156149
walker2d-medium-v2,4.0,1,4,12,0.06715299589837341,0.07644619364290062,0.009293197744527207,-0.004497653269681386,0.007405766549620246,0.009293197744527207,0.0066705143140270845
walker2d-medium-v2,7.0,0,4,12,0.19730124611212974,1.0,0.8026987538878703,0.9271538285070657,0.7865112079508104,0.8026987538878703,0.7905419345452013
walker2d-medium-v2,7.0,1,4,12,0.06471473935536695,0.189745311095824,0.12503057174045704,0.02500781619275806,0.1325849494010991,0.12503057174045704,0.12970750803302475
