method,env,T,seed,checkpoint,score,n_source_rows,n_valid_rows,n_sampled_rows,d_critic_current,d_final_current,d_target_deterministic,d_target_smoothed,current_state_proxy,polyak_lag,target_noise_draws,n_nan,n_inf
td3,halfcheetah-medium-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau14_seed0/params_1000000.pkl,60.11737861542931,1000000,999000,4096,0.06669867617281924,0.06766479414932408,0.06807115991250612,0.09074400404243761,0.06669867629938868,0.0013061151012136263,64,0,0
mpi2,halfcheetah-medium-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed0/params_1000000.pkl,61.167643783172046,1000000,999000,4096,0.04508450255042098,0.0773641650845529,0.045554281863968704,0.06979072063192865,0.04508450252908097,0.001032645466940227,64,0,0
mpi3,halfcheetah-medium-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau14_mpi3_seed0/params_1000000.pkl,61.38748018124998,1000000,999000,4096,0.03841044220219119,0.08327269668351531,0.037901711544051864,0.06320017470656128,0.03841044214831027,0.0009331314351178652,64,0,0
td3,halfcheetah-medium-v2,14.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau14_seed1/params_1000000.pkl,60.51237144622035,1000000,999000,4096,0.0686477988968652,0.06942536184030966,0.0679493765753918,0.09041082618275126,0.06864779892206088,0.0013185453744715462,64,0,0
mpi2,halfcheetah-medium-v2,14.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed1/params_1000000.pkl,59.90783117530639,1000000,999000,4096,0.04543691356176424,0.07448373988809277,0.0444668121672791,0.0690611025634997,0.04543691362223258,0.0008459123507067656,64,0,0
mpi3,halfcheetah-medium-v2,14.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau14_mpi3_seed1/params_1000000.pkl,60.859146303990485,1000000,999000,4096,0.039546587072979145,0.07872807640142288,0.03848044063521883,0.06364274672728634,0.03954658707633818,0.0007988201523190341,64,0,0
td3,halfcheetah-medium-v2,20.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau20_seed0/params_1000000.pkl,62.65032610769574,1000000,999000,4096,0.08547864653328191,0.08504362429486337,0.08818526452382258,0.10899457362695168,0.08547864656133261,0.0017581755568842926,64,0,0
mpi2,halfcheetah-medium-v2,20.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed0/params_1000000.pkl,61.55777396316084,1000000,999000,4096,0.053115344608397355,0.0920029043700471,0.05431872573200902,0.0777560313419488,0.05311534464315579,0.0013545390012918684,64,0,0
mpi3,halfcheetah-medium-v2,20.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau20_mpi3_seed0/params_1000000.pkl,61.38309574057167,1000000,999000,4096,0.04421209597166318,0.10369013235908196,0.044390403919109644,0.06875439911234467,0.04421209596060869,0.0009228872539782814,64,0,0
td3,halfcheetah-medium-v2,20.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau20_seed1/params_1000000.pkl,63.04537054636425,1000000,999000,4096,0.09155100057764498,0.09290287151982377,0.08767213695669085,0.10893721042607796,0.0915510007520969,0.0025706839417084498,64,0,0
mpi2,halfcheetah-medium-v2,20.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed1/params_1000000.pkl,61.949621447087765,1000000,999000,4096,0.05476650336846167,0.09434934202127296,0.05361969392126653,0.07758652899374285,0.05476650335688636,0.0011246824757756846,64,0,0
mpi3,halfcheetah-medium-v2,20.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau20_mpi3_seed1/params_1000000.pkl,63.03312015817365,1000000,999000,4096,0.04619118267832284,0.10072102257189852,0.044711770249207916,0.06912281831157656,0.04619118268516299,0.0010022742872542486,64,0,0
td3,halfcheetah-medium-replay-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau4_seed0/params_1000000.pkl,48.78141366428188,202000,201798,4096,0.11089857304659859,0.10905849421333932,0.10747238256071512,0.13421758777215895,0.11089857308248645,0.0028914931442338143,64,0,0
mpi2,halfcheetah-medium-replay-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau4_mpi2_seed0/params_1000000.pkl,49.85010683760026,202000,201798,4096,0.097747550392087,0.13658267733712925,0.09815844971182486,0.12556900955795536,0.09774755056309593,0.0030240554727948214,64,0,0
mpi3,halfcheetah-medium-replay-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau4_mpi3_seed0/params_1000000.pkl,50.0417121873146,202000,201798,4096,0.09605402771372329,0.13939518517258295,0.09329019124732696,0.12092790245311312,0.09605402774035932,0.0031064677782307475,64,0,0
