method,source_method,env,T,seed,checkpoint,score,collapsed_10,collapsed_20,collapsed_30,collapsed_40,td_error_mean,td_error_p50,td_error_p90,td_error_p99,td_error_max,q_abs_mean,q_abs_p99,critic_loss,d_critic,d_final,joint_critic_gain,common_critic_gain,n_nan,n_inf
prox2,mpi2,halfcheetah-medium-replay-v2,10.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-replay-v2_tau10_mpi2_seed1/params_1000000.pkl,52.793863732197934,0,0,0,0,21.06339418923153,6.9917967319488525,56.05970611572268,159.80272232055663,,377.2869873046875,477.0783996582031,26.714197158813477,0.1263927528723281,0.17956009234146567,4.071183759719133,3.862078939564526,0,0
prox2,mpi2,halfcheetah-medium-replay-v2,14.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-replay-v2_tau14_mpi2_seed0/params_1000000.pkl,53.4693234120779,0,0,0,0,18.641457690973766,5.48454737663269,46.83872795104981,155.10582931518545,,393.44805908203125,494.80560302734375,27.940269470214844,0.1302428328775866,0.19849413648875863,4.167310077697039,4.408828224986792,0,0
prox2,mpi2,halfcheetah-medium-replay-v2,14.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-replay-v2_tau14_mpi2_seed1/params_1000000.pkl,51.637280733101235,0,0,0,0,16.848627352374024,7.130380392074585,42.55999832153323,160.7724583435056,,390.3257751464844,490.6669006347656,16.871551513671875,0.13031259848590304,0.1946174306286174,3.9584401845932007,3.8034136928617954,0,0
prox2,mpi2,halfcheetah-medium-replay-v2,20.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-replay-v2_tau20_mpi2_seed0/params_1000000.pkl,54.22534531854978,0,0,0,0,18.33107337789079,7.1829588413238525,42.967259979248084,169.08837432861327,,412.41448974609375,517.605712890625,39.09751892089844,0.1449678485236901,0.22163421177682008,4.229499034583569,4.13742658495903,0,0
prox2,mpi2,halfcheetah-medium-replay-v2,20.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-replay-v2_tau20_mpi2_seed1/params_1000000.pkl,54.06338495435655,0,0,0,0,19.134881520814815,7.805318117141724,43.02067680358889,168.99288146972646,,411.4957275390625,513.1802978515625,18.411754608154297,0.15482160755950683,0.22861220110605732,4.09363516420126,3.9159247893840075,0,0
prox2,mpi2,halfcheetah-medium-v2,4.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau4_mpi2_seed0/params_1000000.pkl,52.23684123647537,0,0,0,0,29.01687740975467,8.710566997528076,50.55203361511232,298.81229858398433,,469.8199462890625,504.3318786621094,30.36117935180664,0.03309475832356404,0.041679109398777156,1.9894235879182816,1.778266116976738,0,0
prox2,mpi2,halfcheetah-medium-v2,4.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau4_mpi2_seed1/params_1000000.pkl,55.93803171326817,0,0,0,0,25.815792312494523,7.649780750274658,45.14296646118165,282.01966735839835,,471.134033203125,504.79144287109375,28.610698699951172,0.032803284447370254,0.041374223435679064,1.9780014902353287,1.8736495077610016,0,0
prox2,mpi2,halfcheetah-medium-v2,7.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau7_mpi2_seed0/params_1000000.pkl,56.772331417694296,0,0,0,0,26.636900702222192,9.388893604278564,51.66293525695801,235.72621154785153,,501.798095703125,537.8815307617188,31.410381317138672,0.03837719698082699,0.05416045904936954,2.4505909979343414,2.2542698681354523,0,0
prox2,mpi2,halfcheetah-medium-v2,7.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau7_mpi2_seed1/params_1000000.pkl,57.44093148495861,0,0,0,0,23.776116427994566,7.328031301498413,49.78907356262207,233.51821685791003,,497.2030029296875,532.83251953125,23.410476684570312,0.03803999247279999,0.050489453380979814,2.4077929258346558,2.1855648159980774,0,0
prox2,mpi2,halfcheetah-medium-v2,10.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau10_mpi2_seed0/params_1000000.pkl,58.00806470122869,0,0,0,0,21.15399337213603,6.237339735031128,40.22665519714366,194.22949279785155,,517.9599609375,553.5377807617188,19.470733642578125,0.0426815527674954,0.06274616063749056,2.6097039878368378,2.5110671371221542,0,0
