tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,45.9492,31.0302,103.2052,42.6675,40.1509,93.7021,70.9467,12.6088,106.6649
0.1,47.3640,21.0465,104.7591,43.5372,40.3657,93.6308,69.7032,26.1498,107.1673
0.2,54.4974,21.8853,111.1527,43.7425,41.5792,93.9216,71.3135,26.6977,107.2124
0.4,49.5941,28.4972,99.3944,45.4692,43.1009,94.2985,80.6501,77.9103,107.8538
0.7,52.5202,22.8189,106.5527,46.7521,43.8581,95.9638,82.1417,11.1952,107.8849
1.5,45.8358,37.0056,105.1079,49.0216,44.8079,96.1752,84.8373,91.2068,109.9679
2.5,53.4208,28.9605,3.7730,51.2184,46.5639,86.2335,87.1033,28.5550,9.5212
4,0.9251,41.5083,2.4820,53.9014,47.9926,72.6814,88.5519,63.8182,2.3724
7,0.5804,76.5512,0.6807,56.1007,50.4489,35.4242,0.0282,89.6981,8.2663
10,0.5801,38.3181,1.8200,57.8435,43.2759,15.1560,1.6586,6.7708,7.5158
12,0.7434,41.5661,1.8200,59.2849,54.0581,7.6484,2.3272,5.8254,6.5136
14,0.7714,68.6526,1.8200,59.9542,47.3124,2.9721,-0.2178,8.3204,2.3280
17,0.7325,100.1663,1.8200,60.9324,54.7217,1.9377,2.3272,4.3507,2.3272
20,0.7325,14.6276,1.8200,61.5456,47.2541,6.0196,2.3272,4.1655,2.3272
24,,,,,,,,,
28,,,,,,,,,
34,,,,,,,,,
40,,,,,,,,,
