tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,53.5427,27.8122,100.3683,43.6503,40.6276,92.7637,75.8370,21.2021,106.4532
0.07,51.0956,29.9066,102.3052,43.3666,40.2345,93.9778,77.6624,19.9273,106.5429
0.1,54.3967,22.0736,101.5477,43.6376,40.4944,93.2173,79.9575,34.5424,105.6745
0.15,49.5692,26.8316,106.3746,44.0566,40.4367,94.2070,78.4232,11.4518,106.6488
0.2,55.7380,29.8587,103.3449,43.7617,41.9101,93.8278,80.5353,26.5702,107.6285
0.25,51.0224,36.2919,105.5402,44.4438,41.7575,93.2304,80.9525,21.6917,107.2230
0.3,54.7300,41.9805,106.9729,44.6513,42.6034,93.5834,77.4122,12.1788,107.6188
0.4,48.6840,36.0451,98.5864,45.8442,42.0862,95.3721,79.9441,16.0030,107.8782
0.5,54.3899,49.6876,100.5056,45.9215,41.6854,94.1856,80.6888,32.9919,108.3731
0.7,56.5248,44.4647,107.0513,46.7003,42.8191,96.2795,82.8827,42.3228,108.4191
1,44.6715,82.1931,106.8206,47.5143,42.9964,95.8316,83.0081,35.2887,108.9133
1.5,53.0965,74.7909,102.8752,48.6558,44.8372,96.4601,86.3959,74.3529,109.7429
2,54.3750,70.0355,103.2787,49.8308,44.8879,95.3061,86.0569,63.3364,110.1680
2.5,54.2331,94.6634,106.4193,51.3655,45.8349,69.4175,87.2239,75.4534,110.4012
3,62.5372,51.2282,8.4531,52.0223,47.2457,69.5061,88.8986,21.1934,7.9610
4,63.8638,79.9096,2.3597,52.5550,48.7814,85.4487,25.6541,39.9451,-0.0840
5,62.7147,53.3186,1.8196,53.1960,48.2840,60.5774,2.3019,80.6919,10.7219
7,0.6451,37.5660,1.8254,56.5341,49.3044,5.7890,2.3019,6.5932,-0.2673
8,0.7750,77.5622,1.8196,58.3520,51.5376,1.4019,1.8519,88.8634,-0.2620
10,0.8974,37.3000,1.8196,57.8696,52.6293,1.2699,2.3019,65.2992,-0.2699
12,0.7327,70.7863,0.6874,58.8373,51.9944,22.1663,2.3019,15.7291,8.6825
14,0.7401,30.7434,1.9789,60.1174,52.4645,2.1022,2.3019,6.5204,0.8345
17,0.7397,22.8329,1.8196,61.3543,54.2072,-0.9232,2.3019,4.0051,7.6771
20,0.7327,32.4342,1.8196,62.6503,55.0311,-1.2043,-0.2584,26.9850,2.3019
24,0.7327,2.1100,1.8196,62.6563,55.2845,2.6596,0.9113,81.2110,2.3019
28,0.7327,100.8124,0.6359,63.3157,44.3302,-1.8650,2.3019,66.1283,2.3019
34,0.7327,1.7003,0.6770,65.3008,40.0058,-1.4733,2.3019,21.3003,2.3019
40,0.7327,101.3631,1.8196,63.4069,45.5433,-0.5257,2.3019,0.9240,2.3019
