tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,39.2031,50.2257,104.3899,42.4816,40.4671,92.286,78.6091,56.6805,106.8435
0.07,48.7254,19.7796,95.5426,43.8803,40.8819,91.9785,81.5009,12.7355,106.7886
0.1,45.5146,25.0699,98.9768,43.9281,39.087,93.3513,73.3477,29.0324,106.6753
0.15,49.0909,25.2819,101.2913,44.7779,40.7319,93.121,80.6366,17.2252,106.8815
0.2,44.8474,20.0396,103.8948,44.6331,41.3975,94.2365,80.3559,48.0325,106.6713
0.25,48.0479,33.063,102.9784,44.0838,41.8559,94.2852,81.0162,46.4792,106.7283
0.3,51.5745,34.1439,101.998,44.9894,42.9887,93.8555,81.8738,76.5749,107.7391
0.4,47.3803,20.4646,106.6007,45.6752,42.6407,94.7692,82.2365,38.5977,107.1045
0.5,45.4331,23.8716,104.5571,46.2934,43.0154,94.9124,81.0838,72.0432,107.4857
0.7,45.7944,25.3319,104.44,46.3821,42.9988,92.2996,81.9666,69.374,108.4761
1,52.5627,20.3077,95.7562,48.0946,44.7752,97.464,83.2932,60.7446,109.0044
1.5,44.4019,60.3158,100.9545,48.8617,45.519,96.4382,85.3002,74.8474,109.9613
2,56.5561,91.0381,91.3005,49.5932,46.2123,97.96,40.3255,90.1976,110.3404
2.5,51.6016,52.951,103.1446,50.8397,46.7642,95.7962,89.3233,86.2573,110.7042
3,54.0592,57.1944,26.6259,51.7761,47.2419,85.4016,89.7433,91.069,13.6244
4,56.8054,62.8202,24.0752,53.214,47.4341,76.6415,77.7766,83.9421,3.7225
5,61.8911,91.8801,110.1496,55.5223,49.0219,49.6473,2.3685,91.6037,4.2749
7,95.5916,38.5185,1.8199,57.55,51.8414,49.7762,-0.1828,87.3221,3.7762
8,96.0453,50.96,1.8199,58.513,50.9854,38.967,2.3684,9.8665,-0.3749
10,0.5914,51.1972,1.8199,60.1307,53.0299,14.9594,2.3684,81.7968,3.5482
12,1.0453,39.0742,1.8199,60.178,50.6976,1.9085,2.3684,8.6595,-0.2713
14,0.5688,37.5763,1.8199,60.5124,51.6043,0.7421,20.1547,2.584,-0.2713
17,0.7395,1.8298,1.8199,61.918,50.5084,-0.2413,2.3684,3.5564,-0.2713
20,0.7418,36.6648,1.8199,63.0454,54.2656,-1.0224,2.3684,5.1077,2.3684
24,0.7329,29.5367,1.8199,61.8221,39.4137,-2.318,2.3684,11.1277,-0.2713
28,0.7329,9.3504,1.8199,64.959,54.0466,0.2091,2.3684,-0.3375,2.3684
34,0.7329,35.659,1.8199,64.5564,50.264,-1.5599,2.3684,5.8091,2.3684
40,0.7329,99.1451,1.8199,65.7319,48.9324,-5.9359,2.3684,-1.351,-0.2713
