tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,45.8386,38.2164,92.9833,43.0017,39.4461,93.1843,72.2119,45.4426,106.6150
0.1,41.8714,20.8383,100.1534,43.5388,40.9130,93.6517,75.2733,45.4165,106.4531
0.2,47.4592,26.1409,87.2938,44.7539,33.7327,94.1705,79.0853,66.3999,106.6044
0.4,46.2973,23.4095,88.9853,45.7214,42.4941,95.4994,74.3012,66.8486,107.5243
0.7,43.4798,38.5130,89.3156,46.5863,43.9708,96.2401,81.0821,75.5404,107.9801
1.5,51.4394,40.9153,105.6959,48.7990,45.9061,97.1653,85.7477,85.1848,109.6345
2.5,50.6957,34.1665,93.0522,51.2763,46.9582,93.0115,79.7724,89.5385,110.5047
4,72.9568,91.6904,17.1600,52.3953,49.2154,59.0442,2.4719,49.4014,0.0563
7,1.1022,29.1385,1.8137,56.1220,50.7230,42.4409,2.4618,45.2030,-0.2325
10,0.7980,31.7079,1.8137,57.3456,52.6024,35.8016,2.4618,11.8271,-0.2679
12,4.8770,60.0074,1.8137,59.1480,49.4015,14.1695,5.7335,6.8307,-0.2679
14,0.7558,32.8783,2.2690,59.6957,51.3189,0.9812,2.4618,7.4778,-0.2679
17,0.7542,39.2814,0.9585,62.7030,53.6000,-1.4630,2.4618,17.4553,-0.2679
20,0.7331,31.4929,1.8137,62.3486,51.1718,8.3244,2.4618,6.4415,-0.2679
24,0.7331,26.3924,1.8137,61.9413,39.5462,-1.9353,2.4618,4.6040,-0.2679
28,0.7331,39.5655,1.8137,60.9552,51.2336,-1.9413,-0.3244,5.2500,-0.2679
34,0.7331,76.4719,1.8137,65.4857,50.9168,-2.5506,2.4618,6.4552,2.4618
40,0.7331,29.3130,1.8137,62.2264,38.5639,-1.9319,2.4618,27.2491,2.4618
