environment,seed,method,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
halfcheetah-medium-v2,2,mpi4,implicit,0.1,0.1,0.2,0.0012834925962806251,0.004567207805697203,0.28097909548850103,0.2809896423299664,0.39453125,True
halfcheetah-medium-v2,2,mpi4,explicit,0.2,0.2,0.4,0.015949553624538912,0.061609914897611424,0.2601264062607285,0.2588747160589958,1.0,True
halfcheetah-medium-v2,2,mpi4,implicit,0.2,0.2,0.4,0.0014618362496480104,0.004555049450864068,0.3203408259629847,0.3202269022949227,0.255859375,True
halfcheetah-medium-v2,2,mpi4,explicit,1.5,2.5,4.0,0.11079736872001254,0.3752587577713285,0.31827148510053127,0.3018097484188099,1.0,True
halfcheetah-medium-v2,2,mpi4,implicit,1.5,2.5,4.0,0.003098126837765132,0.005881965273214822,0.5557977053936859,0.556207533429809,0.021484375,True
halfcheetah-medium-v2,2,mpi4,explicit,4.0,10.0,14.0,0.31319130857786515,0.6574919019540526,0.4354512070053179,0.3676526339519605,1.0,True
halfcheetah-medium-v2,2,mpi4,implicit,4.0,10.0,14.0,0.017548217986780842,0.034858091802471174,0.5258996142107656,0.5222105601390702,0.0078125,True
halfcheetah-medium-v2,2,mpi4,explicit,7.0,7.0,14.0,0.2987313206131943,0.6271356157841238,0.4354512070053179,0.35214197862115854,1.0,True
halfcheetah-medium-v2,2,mpi4,implicit,7.0,7.0,14.0,0.007861610199279662,0.01874687012837395,0.4364908434117388,0.43855039298237264,0.005859375,True
halfcheetah-medium-v2,2,mpi4,explicit,7.0,10.0,17.0,0.3471123684315049,0.6772162091792515,0.4751971320740334,0.3958850136607539,1.0,True
halfcheetah-medium-v2,2,mpi4,implicit,7.0,10.0,17.0,nan,nan,nan,nan,0.0,False
halfcheetah-medium-v2,2,mpi4,explicit,10.0,10.0,20.0,0.3586722484341008,0.6511942350143515,0.4843397280791286,0.3968296575144856,1.0,True
halfcheetah-medium-v2,2,mpi4,implicit,10.0,10.0,20.0,nan,nan,nan,nan,0.0,False
halfcheetah-medium-v2,3,mpi4,explicit,0.05,0.05,0.1,0.007408186840451241,0.02888751886816211,0.25543121647813605,0.2551665984164712,1.0,True
halfcheetah-medium-v2,3,mpi4,implicit,0.05,0.05,0.1,0.0006813692985464912,0.0024081041603590987,0.2810767851217941,0.2810770057874946,0.521484375,True
halfcheetah-medium-v2,3,mpi4,explicit,0.1,0.1,0.2,0.00506886984579896,0.01937669863444445,0.26176193309300244,0.26188823475102474,1.0,True
