environment,seed,tau,method,hop,n_hops,ref_method,hop_vs_mpi1_final_rms,relative_hop_vs_mpi1_final,hop_vs_prev_rms,hop_vs_aD_rms,is_final_hop,n_states
halfcheetah-medium-v2,0,20.0,mpi4,4,4,,nan,nan,0.10848778865258593,0.40764236752706734,True,512
halfcheetah-medium-v2,1,0.05,mpi1,1,1,mpi1,0.0,0.0,0.44883971228814334,0.44883971228814334,True,512
halfcheetah-medium-v2,1,0.05,mpi2,1,2,mpi1,0.34512061940234307,0.7689172993248526,0.3516184651036636,0.3516184651036636,False,512
halfcheetah-medium-v2,1,0.05,mpi2,2,2,mpi1,0.37877228355956977,0.8438920915188713,0.19124826339241993,0.4432974731890839,True,512
halfcheetah-medium-v2,1,0.05,mpi4,1,4,mpi1,0.38843443977266306,0.8654190552624237,0.24379485742378362,0.24379485742378362,False,512
halfcheetah-medium-v2,1,0.05,mpi4,2,4,mpi1,0.3825561005616552,0.8523223103664771,0.07089601455898878,0.2452344520752207,False,512
halfcheetah-medium-v2,1,0.05,mpi4,3,4,mpi1,0.3781759076350259,0.8425633857287719,0.05942459243702912,0.24821015987785766,False,512
halfcheetah-medium-v2,1,0.05,mpi4,4,4,mpi1,0.3829196040819261,0.8531321841595464,0.06061621324420142,0.2535943819588332,True,512
halfcheetah-medium-v2,1,0.1,mpi1,1,1,mpi1,0.0,0.0,0.5966985902509288,0.5966985902509288,True,512
halfcheetah-medium-v2,1,0.1,mpi4,1,4,mpi1,0.5636841345334097,0.9446714702247989,0.2419269783499425,0.2419269783499425,False,512
halfcheetah-medium-v2,1,0.1,mpi4,2,4,mpi1,0.5578306780349832,0.934861732789413,0.07576607823414512,0.24629959652695296,False,512
halfcheetah-medium-v2,1,0.1,mpi4,3,4,mpi1,0.5525476123047308,0.9260079063910119,0.057410640406856964,0.24978645733420587,False,512
halfcheetah-medium-v2,1,0.1,mpi4,4,4,mpi1,0.5581216136612163,0.9353493083107675,0.062337903345867106,0.25335460350614053,True,512
halfcheetah-medium-v2,1,0.2,mpi4,1,4,,nan,nan,0.24399519449143284,0.24399519449143284,False,512
halfcheetah-medium-v2,1,0.2,mpi4,2,4,,nan,nan,0.07838802294968839,0.2481767720487194,False,512
halfcheetah-medium-v2,1,0.2,mpi4,3,4,,nan,nan,0.0824477782085763,0.254875130159361,False,512
halfcheetah-medium-v2,1,0.2,mpi4,4,4,,nan,nan,0.06377552710800888,0.25871570356543094,True,512
halfcheetah-medium-v2,1,0.4,mpi4,1,4,,nan,nan,0.24683294313232482,0.24683294313232482,False,512
halfcheetah-medium-v2,1,0.4,mpi4,2,4,,nan,nan,0.07464382133819338,0.2527641519241837,False,512
halfcheetah-medium-v2,1,0.4,mpi4,3,4,,nan,nan,0.05788899645148008,0.25498671647264565,False,512
halfcheetah-medium-v2,1,0.4,mpi4,4,4,,nan,nan,0.06222488012296527,0.25996778131029913,True,512
halfcheetah-medium-v2,1,1.5,mpi4,1,4,,nan,nan,0.24486474324286583,0.24486474324286583,False,512
halfcheetah-medium-v2,1,1.5,mpi4,2,4,,nan,nan,0.07588965056185308,0.25089357253848094,False,512
halfcheetah-medium-v2,1,1.5,mpi4,3,4,,nan,nan,0.07819330371467355,0.2597099174147757,False,512
halfcheetah-medium-v2,1,1.5,mpi4,4,4,,nan,nan,0.06424959633162257,0.26779836395285583,True,512
halfcheetah-medium-v2,1,2.5,mpi4,1,4,,nan,nan,0.2527189124567058,0.2527189124567058,False,512
halfcheetah-medium-v2,1,2.5,mpi4,2,4,,nan,nan,0.08525411028119213,0.2654981717676232,False,512
halfcheetah-medium-v2,1,2.5,mpi4,3,4,,nan,nan,0.07026298684744928,0.27490795572273125,False,512
halfcheetah-medium-v2,1,2.5,mpi4,4,4,,nan,nan,0.07261243240228316,0.2847047668366328,True,512
halfcheetah-medium-v2,1,4.0,mpi4,1,4,,nan,nan,0.2506608528040632,0.2506608528040632,False,512
