tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,45.9871,17.6689,101.3542,43.4008,28.8252,93.0772,62.719,13.3057,107.18
0.1,49.1647,20.6432,96.1068,43.3901,37.9896,93.7082,76.4719,23.1631,106.5262
0.2,44.9491,16.7769,90.3776,44.3565,43.0265,94.0173,82.7382,65.8802,107.1345
0.4,45.63,36.0981,91.6008,45.3756,44.0318,89.1336,83.7669,62.3353,108.3434
0.7,52.8939,48.6777,97.911,46.7322,44.5082,95.8628,83.0078,74.1528,109.1863
1.5,44.8493,72.3986,102.8707,48.8345,47.5474,96.9382,85.5769,77.9669,110.1606
2.5,43.3327,99.7761,107.5772,50.2725,48.0044,94.8357,86.8444,76.2595,111.2943
4,55.8289,99.5451,97.3767,53.8975,50.0417,76.2125,88.5857,91.1652,112.074
7,97.783,99.1261,107.2691,56.5881,51.4476,39.44,2.6645,90.2201,5.3234
10,101.6856,99.2811,5.8448,57.5529,53.6393,20.7436,0.0342,88.52,2.3831
12,85.9721,101.9077,1.9336,60.1914,53.869,23.0846,2.3019,85.6589,2.3019
14,89.8575,100.7614,1.8918,61.3875,55.4957,6.5998,2.3019,7.6487,2.3019
17,0.8303,98.2824,0.6291,62.0707,34.7766,6.9814,2.3019,5.8956,-0.2699
20,0.7327,100.1133,1.8196,61.3831,56.0908,2.2307,2.3019,61.9404,2.3019
