method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.07,0.07,1,halfcheetah-medium-v2,43.8803,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,halfcheetah-medium-replay-v2,40.8819,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,halfcheetah-expert-v2,91.9785,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,walker2d-medium-v2,81.5009,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,walker2d-medium-replay-v2,12.7355,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,walker2d-expert-v2,106.7886,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,2,hopper-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,hopper-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,hopper-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,halfcheetah-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,halfcheetah-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,halfcheetah-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,walker2d-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,walker2d-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,2,walker2d-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.07,0.07,3,hopper-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,3,hopper-medium-replay-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,3,hopper-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,3,halfcheetah-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,3,halfcheetah-medium-replay-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,3,halfcheetah-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,3,walker2d-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,3,walker2d-medium-replay-v2,,missing,K=1/Imp/seed3.csv
