method,T,seeds,available_runs,expected_runs,status,mean_score,std_seed_task_means,score_below_20_runs,score_below_20_task_means
TD3+BC,20,"2,3",18,18,complete,16.96328888888889,1.862094997576653,13,6
TD3+BC,20,"0,1,2,3",36,36,complete,18.08863611111111,1.8208567177835626,24,6
TD3+BC,24,"0,1",18,18,complete,19.662166666666668,5.14261477124547,12,6
TD3+BC,24,"2,3",0,18,missing,,,,
TD3+BC,24,"0,1,2,3",18,36,partial,,,,
TD3+BC,28,"0,1",18,18,complete,23.011733333333332,11.24903179873223,12,5
TD3+BC,28,"2,3",0,18,missing,,,,
TD3+BC,28,"0,1,2,3",18,36,partial,,,,
TD3+BC,34,"0,1",18,18,complete,16.381422222222223,2.2918744991818385,12,7
TD3+BC,34,"2,3",0,18,missing,,,,
TD3+BC,34,"0,1,2,3",18,36,partial,,,,
TD3+BC,40,"0,1",18,18,complete,23.83556111111111,0.5260324480087004,12,6
TD3+BC,40,"2,3",0,18,missing,,,,
TD3+BC,40,"0,1,2,3",18,36,partial,,,,
I-MART-2,0.05,"0,1",18,18,complete,61.1124,0.6077818486558758,2,1
I-MART-2,0.05,"2,3",18,18,complete,59.78290555555556,2.1356588977337037,3,2
I-MART-2,0.05,"0,1,2,3",36,36,complete,60.447652777777776,1.4942102909601143,5,1
I-MART-2,0.1,"0,1",18,18,complete,66.49523888888889,0.16311382093570542,1,0
I-MART-2,0.1,"2,3",18,18,complete,61.887433333333334,1.5368101647468129,2,0
I-MART-2,0.1,"0,1,2,3",36,36,complete,64.19133611111111,2.8059617269222827,3,0
I-MART-2,0.2,"0,1",18,18,complete,68.8706611111111,0.49916239032360393,0,0
I-MART-2,0.2,"2,3",18,18,complete,66.93318333333333,0.04711688185306016,0,0
I-MART-2,0.2,"0,1,2,3",36,36,complete,67.90192222222223,1.1554513161317603,0,0
I-MART-2,0.4,"0,1",18,18,complete,70.11433333333333,1.3597034862856314,0,0
I-MART-2,0.4,"2,3",18,18,complete,69.11266666666666,1.3138829668647394,0,0
I-MART-2,0.4,"0,1,2,3",36,36,complete,69.6135,1.2353701378326136,0,0
I-MART-2,0.7,"0,1",18,18,complete,74.68837777777779,0.26191235175149974,0,0
I-MART-2,0.7,"2,3",18,18,complete,72.6055111111111,0.18343921252382026,0,0
I-MART-2,0.7,"0,1,2,3",36,36,complete,73.64694444444444,1.216632178844878,0,0
I-MART-2,1.5,"0,1",18,18,complete,78.52340000000001,1.3861178529339513,0,0
