env,tau,seed,method,critic_scope,hop,total_hops,tau_step,n_states,action_dim,q_scale,effective_action_step,q_weight,q1_gain_hop_mean,q1_gain_total_mean,q2_gain_hop_mean,q2_gain_total_mean,linear_gain_mean,transport_cost_mean,prox_margin_val_mean,prox_margin_val_nonnegative_fraction,linearization_error_mean,gradient_change_ratio_mean,effective_secant_curvature_mean,secant_grad_mean,secant_grad_p10,secant_grad_p50,secant_grad_p90,secant_q_mean,secant_q_p10,secant_q_p50,secant_q_p90,secant_q_positive_fraction,prox_residual_mean,saturation_fraction_mean,twin_gap_mean,grad_norm_mean,cos_step_grad_mean,step_norm_mean,step_norm_p50,step_norm_p90,step_norm_p99,total_norm_mean,total_norm_p50,total_norm_p90,total_norm_p99,prox_margin_val_p50,prox_margin_val_p90,prox_margin_val_p99,linearization_error_p50,linearization_error_p90,linearization_error_p99,gradient_change_ratio_p50,gradient_change_ratio_p90,gradient_change_ratio_p99,effective_secant_curvature_p50,effective_secant_curvature_p90,effective_secant_curvature_p99,eval_step,final_critic_loss,max_critic_loss,d4rl_score,cos_consecutive_steps_mean
halfcheetah-expert-v2,0.05,0,expl2,canonical_td3_tau1,1,2,0.025,4096,6,981.7508554921875,0.00015278825494356157,5.092941831452052e-05,0.3910079598426819,0.3910079598426819,0.3641948103904724,0.3641948103904724,0.7296101450920105,0.025507312268018723,-0.025487397508772602,0.0,0.3112384665413327,0.2622333724047792,0.0017031855309235684,-6.795749664306641,-21.641136169433594,-3.6206374168395996,5.197044372558594,-6.761922836303711,-22.960407257080078,-3.1808252334594727,6.100687026977539,0.28955078125,0.9914796352386475,0.003133138020833333,1.7074155807495117,14.142073631286621,-0.005743052810430527,0.34621244508525706,0.31092339754104614,0.5741780996322632,0.9329414635896686,0.34621244508525706,0.31092339754104614,0.5741780996322632,0.9329414635896686,-0.01609734818339348,-0.0038765594363212585,-0.001179441978456439,0.17639029026031494,0.9999999403953552,1.0,0.2224062830209732,0.5447354316711426,0.8140211284160629,0.0008611996308900416,0.003985114162787795,0.013496509427204812,1000000,77.39430236816406,200.53985595703125,90.52376165551931,
halfcheetah-expert-v2,0.05,0,expl2,canonical_td3_tau1,2,2,0.025,4096,6,981.7508554921875,0.00015278825494356157,5.092941831452052e-05,-0.025265881791710854,0.3657420873641968,-0.02084595337510109,0.343348890542984,0.0034500593319535255,0.0017422380624338984,-0.0017435248159198835,0.0,0.14389991339122252,0.11191506975075072,0.0028096445565125297,-8.177783966064453,-34.76043701171875,0.0,12.1295166015625,-7.715451240539551,-37.554588317871094,-0.026526492089033127,10.792930603027344,0.399658203125,0.9710149765014648,0.0034586588541666665,1.7065455913543701,13.985688209533691,-0.037256285548210144,0.08754936949731018,0.07480894401669502,0.14848773926496506,0.2816036954522133,0.3500415341159169,0.3142372965812683,0.5850920677185059,0.9460121780633944,-0.0009374967194162309,-0.00026941233954858035,-8.146460822899804e-05,0.023987257853150368,0.4764910042285919,1.0,0.05878647230565548,0.31127043068408966,0.6474171459674841,0.0005016650829929858,0.007431637961417437,0.033277385123074085,1000000,77.39430236816406,200.53985595703125,90.52376165551931,-0.08830775320529938
halfcheetah-expert-v2,0.05,0,expl2,own,1,2,0.025,4096,6,876.7999277578125,0.0001710766564312864,5.7025552143762125e-05,0.463817298412323,0.463817298412323,0.6086461544036865,0.6086461544036865,0.9703732132911682,0.025507312268018723,-0.025480861871413296,0.0,0.33450911493042534,0.2729034452710408,0.002561863983705361,-9.273115158081055,-29.007740020751953,-5.3797078132629395,5.991437911987305,-9.549284934997559,-31.023277282714844,-5.101682186126709,7.1899871826171875,0.27294921875,0.9883270263671875,0.003133138020833333,2.203040361404419,17.55467414855957,-0.0056559843942523,0.34621244508525706,0.31092339754104614,0.5741780996322632,0.9329414635896686,0.34621244508525706,0.31092339754104614,0.5741780996322632,0.9329414635896686,-0.016082639805972576,-0.0038953892653807998,-0.0011687748483382124,0.204689621925354,1.0,1.0,0.22814610600471497,0.5658624470233917,0.815725573897362,0.0013279147096909583,0.0058539987076073885,0.019028206821531106,1000000,77.39430236816406,200.53985595703125,90.52376165551931,
halfcheetah-expert-v2,0.05,0,expl2,own,2,2,0.025,4096,6,876.7999277578125,0.0001710766564312864,5.7025552143762125e-05,0.04359566420316696,0.5074129700660706,0.010256405919790268,0.6189025640487671,0.08533641695976257,0.0017422380624338984,-0.0017397519745796508,0.0,0.15931380785819066,0.11816266992593916,0.003836665681043849,-11.579124450683594,-45.91575622558594,0.0,15.708209037780762,-11.336905479431152,-47.19104766845703,-0.056771352887153625,14.887954711914062,0.376953125,0.9587746858596802,0.0034586588541666665,2.204785108566284,17.506454467773438,-0.007464596536010504,0.08754936949731018,0.07480894401669502,0.14848773926496506,0.2816036954522133,0.3500415341159169,0.3142372965812683,0.5850920677185059,0.9460121780633944,-0.0009340374381281435,-0.0002666737709660083,-7.672442588955152e-05,0.03791128285229206,0.5300344526767731,1.0,0.07149657607078552,0.3142189085483551,0.6720328927040109,0.001148747163824737,0.009865250438451767,0.03880137316882615,1000000,77.39430236816406,200.53985595703125,90.52376165551931,-0.08830775320529938
halfcheetah-expert-v2,0.05,1,expl2,canonical_td3_tau1,1,2,0.025,4096,6,980.3051157460937,0.00015301358484275332,5.1004528280917765e-05,0.38149285316467285,0.38149285316467285,0.3836384415626526,0.3836384415626526,0.7454649209976196,0.02520778402686119,-0.02518832516092573,0.0,0.3079218251348811,0.24914884105876212,0.001663406936306382,-6.628540515899658,-20.92625617980957,-3.8159470558166504,4.758868217468262,-6.662932395935059,-22.775514602661133,-3.435321569442749,5.511261463165283,0.2802734375,0.9914360046386719,0.002888997395833333,1.71830415725708,14.018807411193848,-0.00543248001486063,0.3441920675431902,0.31261400878429413,0.5791885554790497,0.9220391720533377,0.3441920675431902,0.31261400878429413,0.5791885554790497,0.9220391720533377,-0.016275404952466488,-0.0036627474473789334,-0.0009951369196642182,0.17436803132295609,0.9999999403953552,1.0,0.2074742391705513,0.5220242738723755,0.7889483720064171,0.0008657230355311185,0.00391019566450268,0.011667015776038172,1000000,142.66534423828125,321.7787780761719,92.81912650103713,
halfcheetah-expert-v2,0.05,1,expl2,canonical_td3_tau1,2,2,0.025,4096,6,980.3051157460937,0.00015301358484275332,5.1004528280917765e-05,-0.002291308715939522,0.3792015314102173,0.019075486809015274,0.40271395444869995,0.03228020668029785,0.0019074754090979695,-0.0019075922868636574,0.0,0.13830201287513672,0.10042409249040318,0.002223490581931881,-6.467297077178955,-31.246742248535156,0.0,10.328893661499023,-6.573946952819824,-29.999645233154297,-0.032237887382507324,9.305990219116211,0.406494140625,0.966776967048645,0.0037027994791666665,1.7144219875335693,14.016313552856445,0.00034061449696309865,0.08668933759577158,0.07278765738010406,0.145890474319458,0.30444609820842766,0.34751997248258704,0.31484292447566986,0.5838128626346588,0.9447767794132246,-0.0008839105721563101,-0.0002104050145135261,-6.275160558288902e-05,0.02635667659342289,0.4425729364156723,1.0,0.05369171127676964,0.27791543304920197,0.5792148500680926,0.0005324622907210141,0.005915156798437238,0.022546151187270966,1000000,142.66534423828125,321.7787780761719,92.81912650103713,-0.09511818736791611
halfcheetah-expert-v2,0.05,1,expl2,own,1,2,0.025,4096,6,881.2819223867187,0.00017020660039611924,5.673553346537308e-05,0.553446888923645,0.553446888923645,0.6023972034454346,0.6023972034454346,1.0597128868103027,0.02520778402686119,-0.02517638293100788,0.0,0.33378919340502433,0.27367846157868314,0.0026087229254145006,-9.673025131225586,-29.003252029418945,-5.949430465698242,6.452941417694092,-9.807119369506836,-31.860828399658203,-5.183712959289551,7.492885589599609,0.277099609375,0.98792564868927,0.002888997395833333,2.310324192047119,17.683822631835938,-0.0075846221297979355,0.3441920675431902,0.31261400878429413,0.5791885554790497,0.9220391720533377,0.3441920675431902,0.31261400878429413,0.5791885554790497,0.9220391720533377,-0.016286347061395645,-0.0036561699816957116,-0.0009967813617549808,0.20133160799741745,1.0,1.0,0.23834753781557083,0.5387817025184631,0.8051233083009726,0.0014090905897319317,0.006011744728311896,0.018822726514190445,1000000,142.66534423828125,321.7787780761719,92.81912650103713,
halfcheetah-expert-v2,0.05,1,expl2,own,2,2,0.025,4096,6,881.2819223867187,0.00017020660039611924,5.673553346537308e-05,0.036496445536613464,0.5899432897567749,-0.02403990924358368,0.5783573389053345,0.07055806368589401,0.0019074754090979695,-0.0019054047773072735,0.0,0.15139480203918038,0.10569432537226575,0.0033916527208881202,-9.767230987548828,-43.79039001464844,0.0,13.780065536499023,-9.820808410644531,-42.68376541137695,-0.02730032242834568,13.21661376953125,0.406494140625,0.9549560546875,0.0037027994791666665,2.336082935333252,17.599082946777344,0.007952423766255379,0.08668933759577158,0.07278765738010406,0.145890474319458,0.30444609820842766,0.34751997248258704,0.31484292447566986,0.5838128626346588,0.9447767794132246,-0.0008797370246611536,-0.00021237641340121627,-5.940210558037487e-05,0.027334459125995636,0.5261571407318115,1.0,0.06420613080263138,0.2806072533130646,0.5684931218624133,0.0008050590404309332,0.009347833227366209,0.030746612139046267,1000000,142.66534423828125,321.7787780761719,92.81912650103713,-0.09511818736791611
halfcheetah-expert-v2,0.05,2,expl2,own,1,2,0.025,4096,6,862.4519663320312,0.00017392272944537787,5.797424314845929e-05,0.4317684471607208,0.4317684471607208,0.46072351932525635,0.46072351932525635,0.8840911388397217,0.02536787837743759,-0.02534284639557427,0.0,0.3167628544048741,0.26949162260677895,0.0026078865139049353,-9.283173561096191,-31.293418884277344,-4.70383358001709,7.396045207977295,-9.290236473083496,-33.57984924316406,-4.378900527954102,8.453055381774902,0.293701171875,0.9881680607795715,0.0029703776041666665,2.1454880237579346,17.6440486907959,-0.007113797124475241,0.3451621018457445,0.31143490970134735,0.5776558816432953,0.9088665783405306,0.3451621018457445,0.31143490970134735,0.5776558816432953,0.9088665783405306,-0.01612066477537155,-0.0037205357803031802,-0.0009564142470480827,0.18234411627054214,1.0,1.0,0.23078960180282593,0.5446236431598663,0.8284189432859421,0.0013431986444629729,0.006397675024345517,0.01879879524931312,1000000,89.66648864746094,89.66648864746094,90.9437855260168,
halfcheetah-expert-v2,0.05,2,expl2,own,2,2,0.025,4096,6,862.4519663320312,0.00017392272944537787,5.797424314845929e-05,-0.020200811326503754,0.4115676283836365,0.02699112333357334,0.48771464824676514,0.014941179193556309,0.00193994608707726,-0.0019411172243124497,0.0,0.1459487667500433,0.1104368707297545,0.0037235534706126913,-10.543492317199707,-46.02747344970703,0.0,15.54490852355957,-10.082633972167969,-46.21762466430664,-0.02050778456032276,15.491861343383789,0.40771484375,0.9613412618637085,0.003255208333333333,2.140695571899414,17.602210998535156,-0.061334531754255295,0.08979200210342242,0.07678528875112534,0.15087217837572098,0.28599891364574465,0.3494189041621212,0.3169783055782318,0.5863507986068726,0.9288926571607591,-0.0009840994025580585,-0.00027087728085462004,-8.482100020046342e-05,0.027849022299051285,0.4851131737232208,1.0,0.06149037927389145,0.3047700375318527,0.6124062657356264,0.0008271410479210317,0.010122453793883324,0.03672637566924104,1000000,89.66648864746094,89.66648864746094,90.9437855260168,-0.10057441890239716
