critic_scope,method,hop,cells,positive_q_gain_cells,positive_q_gain_fraction,q1_gain_hop_median,secant_q_median,prox_residual_median,step_norm_median
own,expl2,1,64,64,1.0,1.633697271347046,-7.354480266571045,0.8079057931900024,0.512497866565127
own,expl2,2,64,61,0.953125,0.806042343378067,-7.58587121963501,0.7472952306270599,0.1928946261565443
