comparison,mean_score_difference,mean_score_ci_low,mean_score_ci_high,positive_tasks,tasks,raw_collapse_risk_difference,raw_collapse_risk_ci_low,raw_collapse_risk_ci_high,bootstrap_unit,bootstrap_samples,bootstrap_seed
K4-K1,37.63964206349206,20.462671428571426,54.27016507936507,8,9,-0.30952380952380953,-0.4841269841269841,-0.14285714285714285,D4RL dataset/task,100000,20260830
K4-K3,10.827115873015876,2.257635714285715,22.038569841269844,6,9,-0.09523809523809525,-0.20634920634920634,0.0,D4RL dataset/task,100000,20260830
