h,beta,q_scale,converged,iterations,fixed_point_residual_max,explicit_implicit_rms,explicit_move_rms,implicit_move_rms,relative_difference,projection_fraction_explicit,projection_fraction_implicit,projection_fraction_union,environment,seed,checkpoint,n_states,local_loglog_slope_when_identifiable,local_points_eligible,local_max_relative_difference,local_exact_agreement_fraction
0.1,0.0033230090458477063,180.55924366192596,False,200,0.16208991408348083,0.009685035794973373,0.022716855630278587,0.020569438114762306,0.4708459093990809,0.00390625,0.0078125,0.0078125,halfcheetah-medium-replay-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau1_seed0/params_1000000.pkl,512,,1,0.01683165987608444,0.0
0.001,2.975305530237111e-05,201.65996194420552,False,200,0.0001461505889892578,7.144143182813423e-06,0.00019627502479124814,0.00019629586313385516,0.0363947719975219,0.0,0.0,0.0,halfcheetah-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,0,,
0.003,8.925916590711333e-05,201.65996194420552,False,200,0.00043833255767822266,3.073562038480304e-05,0.0005888244486413896,0.0005899899988435209,0.052095154909489995,0.0,0.0,0.0,halfcheetah-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,0,,
0.01,0.0002975305530237111,201.65996194420552,False,200,0.010781824588775635,0.00039453941280953586,0.0019627485889941454,0.0019104373641312122,0.2065178478065184,0.0,0.0,0.0,halfcheetah-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,0,,
0.03,0.0008925916590711333,201.65996194420552,False,200,0.009551942348480225,0.0013146174605935812,0.005887463688850403,0.005729462951421738,0.22944863624039413,0.001953125,0.0,0.001953125,halfcheetah-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,0,,
0.1,0.0029753055302371113,201.65996194420552,False,200,0.05594682693481445,0.006045753136277199,0.01913207396864891,0.01902616210281849,0.3177599929825887,0.005859375,0.00390625,0.005859375,halfcheetah-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,0,,
0.001,6.221287973226478e-06,964.4305207894573,True,3,0.0,4.7567030492245976e-07,3.2702246244298294e-05,3.266676139901392e-05,0.014561293637661257,0.0,0.0,0.0,halfcheetah-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed0/params_1000000.pkl,512,1.2685220207506227,3,0.02681592753751174,0.0
0.003,1.8663863919679438e-05,964.4305207894573,True,3,0.0,1.4258107512432616e-06,9.810655319597572e-05,9.800012048799545e-05,0.014549071410763385,0.0,0.0,0.0,halfcheetah-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed0/params_1000000.pkl,512,1.2685220207506227,3,0.02681592753751174,0.0
0.01,6.221287973226479e-05,964.4305207894573,True,3,0.0,8.749184416956268e-06,0.0003270217275712639,0.0003262682002969086,0.02681592753751174,0.0,0.0,0.0,halfcheetah-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed0/params_1000000.pkl,512,1.2685220207506227,3,0.02681592753751174,0.0
0.03,0.00018663863919679436,964.4305207894573,False,200,0.001340031623840332,6.991231202846393e-05,0.0009810661431401968,0.000972541281953454,0.0718862153471136,0.0,0.0,0.0,halfcheetah-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed0/params_1000000.pkl,512,1.2685220207506227,3,0.02681592753751174,0.0
0.1,0.0006221287973226479,964.4305207894573,False,200,0.007123500108718872,0.00039181564352475107,0.0032702190801501274,0.0032220815774053335,0.12160326612222866,0.0,0.0,0.0,halfcheetah-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed0/params_1000000.pkl,512,1.2685220207506227,3,0.02681592753751174,0.0
0.001,6.170928696583192e-06,972.3009768889675,True,2,0.0,0.0,2.9646214898093604e-05,2.9646214898093604e-05,0.0,0.0,0.0,0.0,halfcheetah-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed1/params_1000000.pkl,512,,2,0.001740060548498603,0.5
0.003,1.8512786089749577e-05,972.3009768889675,True,3,0.0,1.547537493706841e-07,8.893881022231653e-05,8.893584163160995e-05,0.001740060548498603,0.0,0.0,0.0,halfcheetah-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed1/params_1000000.pkl,512,,2,0.001740060548498603,0.5
0.01,6.170928696583192e-05,972.3009768889675,False,200,5.882978439331055e-05,4.332589469413506e-06,0.0002964616287499666,0.00029633534722961485,0.01462056251445565,0.0,0.0,0.0,halfcheetah-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed1/params_1000000.pkl,512,,2,0.001740060548498603,0.5
0.03,0.00018512786089749573,972.3009768889675,False,200,0.00027871131896972656,2.8479045795393176e-05,0.000889386108610779,0.0008876542560756207,0.03208348926450368,0.0,0.0,0.0,halfcheetah-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed1/params_1000000.pkl,512,,2,0.001740060548498603,0.5
0.1,0.0006170928696583193,972.3009768889675,False,200,0.0039435625076293945,0.00023949415481183678,0.0029646202456206083,0.002940658014267683,0.08144236890173658,0.0,0.0,0.0,halfcheetah-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau1_seed1/params_1000000.pkl,512,,2,0.001740060548498603,0.5
0.001,1.3286854550336819e-05,225.7870731281506,True,2,0.0,0.0,3.073815969401039e-05,3.073815969401039e-05,0.0,0.0,0.0,0.0,hopper-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.0,1.0
0.003,3.986056365101046e-05,225.7870731281506,False,200,5.042552947998047e-05,1.4817128430877347e-06,9.221283107763156e-05,9.215342288371176e-05,0.016078760796085736,0.0,0.0,0.0,hopper-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.0,1.0
0.01,0.0001328685455033682,225.7870731281506,False,200,0.00039196014404296875,1.1610800356720574e-05,0.00030737652559764683,0.0003065836208406836,0.03787156119065518,0.0,0.0,0.0,hopper-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.0,1.0
0.03,0.00039860563651010456,225.7870731281506,True,3,0.0,3.761390325962566e-05,0.0009221285581588745,0.0009181350469589233,0.040967724066532096,0.0,0.0,0.0,hopper-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.0,1.0
0.1,0.001328685455033682,225.7870731281506,False,200,0.003188394010066986,0.0003279545926488936,0.0030737610068172216,0.0030823908746242523,0.10639617296715223,0.0,0.0,0.0,hopper-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.0,1.0
0.001,1.327298618994904e-05,226.02298812544143,True,2,0.0,0.0,3.1939860491547734e-05,3.1939860491547734e-05,0.0,0.0,0.0,0.0,hopper-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed1/params_1000000.pkl,512,,3,0.006801503156475255,0.6666666666666666
0.003,3.9818958569847125e-05,226.02298812544143,True,2,0.0,0.0,9.581884660292417e-05,9.581884660292417e-05,0.0,0.0,0.0,0.0,hopper-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed1/params_1000000.pkl,512,,3,0.006801503156475255,0.6666666666666666
0.01,0.0001327298618994904,226.02298812544143,True,3,0.0,2.170315610783291e-06,0.0003193947777617723,0.0003190935240127146,0.006801503156475255,0.0,0.0,0.0,hopper-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed1/params_1000000.pkl,512,,3,0.006801503156475255,0.6666666666666666
0.03,0.0003981895856984712,226.02298812544143,False,200,9.202957153320312e-05,2.064371801679954e-05,0.0009581850026734173,0.0009569810354150832,0.02157171067433482,0.0,0.0,0.0,hopper-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed1/params_1000000.pkl,512,,3,0.006801503156475255,0.6666666666666666
0.1,0.0013272986189949041,226.02298812544143,False,200,0.0024501383304595947,0.00016995253099594265,0.0031939512118697166,0.00318553252145648,0.05335137213361032,0.0,0.0,0.0,hopper-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau1_seed1/params_1000000.pkl,512,,3,0.006801503156475255,0.6666666666666666
0.001,1.8231005247977297e-05,164.55483168339526,True,3,0.0,2.5176274220939376e-07,0.00010495561582501978,0.00010496911272639409,0.002398445939670108,0.0,0.0,0.0,hopper-medium-replay-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed0/params_1000000.pkl,512,,2,0.012851674091272447,0.0
0.003,5.46930157439319e-05,164.55483168339526,True,3,0.0,4.045479727210477e-06,0.00031486706575378776,0.00031478231539949775,0.012851674091272447,0.0,0.0,0.0,hopper-medium-replay-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed0/params_1000000.pkl,512,,2,0.012851674091272447,0.0
0.01,0.00018231005247977298,164.55483168339526,False,200,0.0006203651428222656,3.9437847590306774e-05,0.0010495567694306374,0.001046257559210062,0.037694205640992316,0.0,0.0,0.0,hopper-medium-replay-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed0/params_1000000.pkl,512,,2,0.012851674091272447,0.0
0.03,0.0005469301574393189,164.55483168339526,False,200,0.002513207495212555,0.0001940628862939775,0.0031486700754612684,0.0031279860995709896,0.062040840373489406,0.0,0.0,0.0,hopper-medium-replay-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed0/params_1000000.pkl,512,,2,0.012851674091272447,0.0
0.1,0.00182310052479773,164.55483168339526,False,200,0.018532872200012207,0.0014896639622747898,0.01049556490033865,0.010114550590515137,0.1472793031132509,0.0,0.0,0.0,hopper-medium-replay-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed0/params_1000000.pkl,512,,2,0.012851674091272447,0.0
0.001,1.8028717948482147e-05,166.40118329947984,True,2,0.0,0.0,0.00010821707110153511,0.00010821707110153511,0.0,0.0,0.0,0.0,hopper-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010864509293605443,0.5
0.003,5.408615384544645e-05,166.40118329947984,True,3,0.0,3.5253890473541105e-06,0.0003246510459575802,0.0003244867257308215,0.010864509293605443,0.0,0.0,0.0,hopper-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010864509293605443,0.5
