family,K,integrator,environment,T,seed,tag,score_column,target_d4rl,deployment_d4rl,delta_endpoint_minus_first,host_run_dir
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,4,1,halfcheetah-expert-v2_tau4_mpi4_seed1,d4rl_pi4,96.85074511755613,80.42960611315895,-16.421139004397176,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau4_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,2.5,0,halfcheetah-expert-v2_tau2.5_mpi4_seed0,d4rl_pi4,95.82744338006427,89.70937987587696,-6.118063504187305,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau2.5_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,0.4,3,halfcheetah-expert-v2_tau0.4_mpi4_seed3,d4rl_pi4,92.02700633421608,93.47946495317431,1.4524586189582323,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau0.4_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,0.2,2,halfcheetah-expert-v2_tau0.2_mpi4_seed2,d4rl_pi4,91.8843587659406,93.29667430614211,1.4123155402015044,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau0.2_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,10,0,halfcheetah-expert-v2_tau10_mpi4_seed0,d4rl_pi4,96.09190773798673,7.917398844494439,-88.17450889349229,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau10_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,10,1,halfcheetah-expert-v2_tau10_mpi4_seed1,d4rl_pi4,85.64202646996588,45.26171542444366,-40.38031104552223,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau10_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,7,1,halfcheetah-expert-v2_tau7_mpi4_seed1,d4rl_pi4,97.50519267758065,56.207144868945704,-41.29804780863495,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau7_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,1.5,2,halfcheetah-expert-v2_tau1.5_mpi4_seed2,d4rl_pi4,93.7006033346718,96.96762339711705,3.267020062445255,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau1.5_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,17,3,halfcheetah-expert-v2_tau17_mpi4_seed3,d4rl_pi4,42.511431114171224,1.2382199850987394,-41.273211129072486,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau17_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,7,0,halfcheetah-expert-v2_tau7_mpi4_seed0,d4rl_pi4,95.1382334109178,52.6069051862063,-42.53132822471151,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau7_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,1.5,3,halfcheetah-expert-v2_tau1.5_mpi4_seed3,d4rl_pi4,93.89351286616247,88.46873367813272,-5.424779188029746,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau1.5_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,0.7,2,halfcheetah-expert-v2_tau0.7_mpi4_seed2,d4rl_pi4,92.50850379436287,96.41748252607682,3.908978731713958,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau0.7_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,14,0,halfcheetah-expert-v2_tau14_mpi4_seed0,d4rl_pi4,67.38416371349444,22.08456656940834,-45.29959714408611,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau14_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,14,1,halfcheetah-expert-v2_tau14_mpi4_seed1,d4rl_pi4,78.46243314710617,24.376513664544028,-54.08591948256214,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau14_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,12,1,halfcheetah-expert-v2_tau12_mpi4_seed1,d4rl_pi4,82.7137091145982,10.664850420380352,-72.04885869421786,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau12_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,12,0,halfcheetah-expert-v2_tau12_mpi4_seed0,d4rl_pi4,86.70147454008242,20.405965645708505,-66.29550889437391,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau12_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.05,3,walker2d-medium-v2_tau0.05_mpi4_seed3,d4rl_pi4,69.38550815690175,72.17970950975958,2.794201352857826,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.05_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,4,3,halfcheetah-expert-v2_tau4_mpi4_seed3,d4rl_pi4,94.8922110408905,94.45510845726989,-0.4371025836206144,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau4_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,2.5,2,halfcheetah-expert-v2_tau2.5_mpi4_seed2,d4rl_pi4,94.98662828905712,89.69959771303282,-5.287030576024307,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau2.5_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,4,2,halfcheetah-expert-v2_tau4_mpi4_seed2,d4rl_pi4,97.3314989176596,73.4128517119374,-23.918647205722195,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau4_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,20,1,halfcheetah-expert-v2_tau20_mpi4_seed1,d4rl_pi4,41.06607103975715,12.40788243914519,-28.658188600611957,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau20_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,20,0,halfcheetah-expert-v2_tau20_mpi4_seed0,d4rl_pi4,32.530382790775704,2.639984529456229,-29.890398261319476,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau20_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,17,1,halfcheetah-expert-v2_tau17_mpi4_seed1,d4rl_pi4,70.207090407312,4.5540034250396,-65.6530869822724,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau17_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,17,0,halfcheetah-expert-v2_tau17_mpi4_seed0,d4rl_pi4,48.59013123504848,4.635759228069221,-43.95437200697926,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau17_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,10,3,halfcheetah-expert-v2_tau10_mpi4_seed3,d4rl_pi4,92.99251223096981,42.881528134902034,-50.110984096067774,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau10_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,7,2,halfcheetah-expert-v2_tau7_mpi4_seed2,d4rl_pi4,97.50619176183679,60.16790316917311,-37.33828859266368,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau7_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.1,0,walker2d-medium-v2_tau0.1_mpi4_seed0,d4rl_pi4,77.74914218882007,75.16220028151707,-2.586941907303,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.1_mpi4_seed0
