env,tau,method,d4rl_score_mean,d4rl_seed_gap,critic_displacement_mean,final_displacement_mean,decoupling_displacement_ratio_mean,canonical_q1_gain_total_mean,own_q1_gain_total_mean,own_secant_q_final_mean,own_prox_residual_final_mean,own_saturation_final_mean,twin_gap_final_mean,path_length_mean,chord_length_mean,path_tortuosity_mean,td_residual_mean,td_target_abs_p99_mean,max_critic_loss_mean
hopper-medium-replay-v2,4.0,mpi2,99.75290883836206,0.40241158768291996,0.1287734742992983,0.16924598101108446,1.1464328274262228,2.482739567756653,2.36272394657135,-0.5370612740516663,0.5913437902927399,0.04585774739583333,1.8865745067596436,0.7823056596118931,0.6114049785602447,1.4922142028808594,17.647392484893345,275.2096275329591,19.97568416595459
hopper-medium-replay-v2,7.0,mpi2,99.49124030416941,2.1868211604271437,0.13878243952977165,0.20075926517053544,1.2027451231178266,2.782829761505127,2.553582191467285,-0.15971318632364273,0.5630719363689423,0.054728190104166664,1.7641491889953613,0.834212469387694,0.6653646815734646,1.4535731077194214,18.88910483644142,284.0773696899414,18.933717727661133
hopper-medium-replay-v2,10.0,mpi2,97.59390200343708,5.232087381816271,0.14565968285756337,0.22612381808930593,1.2459030789359047,2.748776435852051,2.6315412521362305,0.40293437242507935,0.547459602355957,0.06245930989583333,1.6737897396087646,0.873869337708129,0.7091059473640371,1.4234271049499512,18.08974298136556,289.00133285522463,17.264065742492676
hopper-medium-v2,4.0,mpi2,66.95148703888756,11.377734395301218,0.05428122412757597,0.059033247880769135,1.0428826671481208,0.4687538295984268,0.38614507019519806,-0.43725892901420593,0.6429299116134644,0.07430013020833333,0.6746363043785095,0.42015579714734486,0.34620663808362906,1.3886498808860779,2.616671353107165,303.50302581787105,3.0900944471359253
hopper-medium-v2,7.0,mpi2,83.23146453640243,12.063433299012772,0.05678205577796558,0.06576621031152044,1.0762329618093578,0.6083638072013855,0.5194092690944672,-0.35494737327098846,0.5945930778980255,0.07820638020833333,0.6172361671924591,0.4467715952182516,0.367097995565274,1.3891648054122925,2.076961826348139,312.2393997192383,2.6184499859809875
hopper-medium-v2,10.0,mpi2,2.448527788608572,3.525659021524686,0.3936265658252651,0.593568340550017,1.3495933490356207,-1.3371163606643677,16929105302.75,-16746642060.085938,0.6269080936908722,0.49458821614583326,2947928301.328125,1.2628143449262552,1.1793579971588315,1.1119638681411743,9.045350060641064e+20,157220107822.95,7.967761423957669e+20
walker2d-expert-v2,4.0,mpi2,111.84362476743928,0.4337963769624622,0.02551687703603367,0.027230402118769703,1.0330124578110245,0.4196048676967621,0.26532262563705444,-0.8437974452972412,0.6463337540626526,0.06962076822916666,0.374720498919487,0.45074088392357226,0.37047193589796734,1.270973563194275,0.8639795604603933,524.7913772583008,1.0866570472717285
walker2d-expert-v2,7.0,mpi2,5.23826488043758,11.746621002891839,0.4819589127423214,0.5404276978801477,1.058141508465276,-3.777109146118164,387343245312.0,-180572673024.0,0.8854610025882721,0.7764892578125,147242102784.0,1.7196036106561223,1.5899103130732328,1.1313174366950989,3.404511764653632e+23,3077448037171.202,2.6304684151060674e+23
walker2d-expert-v2,10.0,mpi2,3.0340730506106546,6.604731356530346,0.5531177021371043,0.6584060770578049,1.0889300762825327,-5.472506999969482,615963672576.0,253450825728.0,0.9063925743103027,0.8542683919270834,345629425664.0,1.9742824970126094,1.8491182152320107,1.0783543586730957,6.065676656660244e+23,4571840570982.402,4.731588413754619e+23
walker2d-medium-v2,4.0,mpi2,88.61032629592502,2.321092603506912,0.03482495531299179,0.044449098607607596,1.1297681612771098,0.9300327301025391,1.0929458141326904,-1.1534219682216644,0.5871056914329529,0.09857177734375,1.523447334766388,0.5772202642983757,0.46289183773387776,1.3118146657943726,11.162309200882447,382.88215255737305,9.76616907119751
walker2d-medium-v2,7.0,mpi2,47.0630857172389,89.47186125996537,0.31115231098018015,0.41212610655788495,1.1773986326504833,-1.79704949259758,162744500224.64957,33925259263.43467,0.7493170201778412,0.5469767252604166,20063412224.752327,1.4175969983643881,1.288305541493628,1.175506353378296,1.1089667357963717e+23,1161648891689.208,8.62906802282771e+22
walker2d-medium-v2,10.0,mpi2,48.5434941710337,92.43267816755497,0.38681137992577064,0.43656440234986604,1.1672327565043341,-2.103894054889679,119754440704.80412,3475992575.6160383,0.7656528651714325,0.5585734049479167,23829970944.75106,1.4271770991672383,1.3454419928748393,1.1502965688705444,6.328721311997757e+22,897334427854.7379,4.8871005011194914e+22
