task,T,training_seed,method,actor_index,actor_role,checkpoint_hash,checkpoint_step,evaluation_seed,raw_return,normalized_score,episode_length,host_run_dir
hopper-medium-v2,4,0,MART4,2,mu2,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10006,1453.384680599182,45.27958968172876,449,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,2,mu2,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10007,2418.4031129067534,74.93074940016591,730,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,2,mu2,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10008,1571.8326522834154,48.91902247301325,492,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,2,mu2,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10009,1654.9425644595483,51.47265792454251,513,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10000,1488.1133009670261,46.346661392333885,454,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10001,1535.0791117835045,47.789733059364444,471,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10002,1543.5811134907638,48.05096559348875,469,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10003,1459.4685624003578,45.46652305518091,445,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10004,1801.7525439368999,55.983541866245304,550,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10005,1887.2920792745272,58.611829927512616,579,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10006,1346.8622628157038,42.006581501212146,421,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10007,1563.2822089358174,48.65630152087886,479,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10008,2421.271987306249,75.01889844497552,734,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,3,mu3,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10009,1535.2865114632782,47.796105622648874,467,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10000,1453.6429935420113,45.28752660611149,445,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10001,2321.8509639606186,71.96408773473595,698,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10002,1809.3341174045918,56.216493319068896,545,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10003,1543.442562742767,48.04670848272234,471,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10004,2946.8224098547325,91.16696256206642,878,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10005,1878.349923042782,58.337073203933066,574,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10006,1464.954951433914,45.63509786377027,448,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10007,3312.4382622999883,102.40087652008665,1000,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10008,2632.2252774474255,81.50064997395795,791,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,MART4,4,mu4,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,1000000,10009,1907.5287818480467,59.23362292140093,584,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10000,1540.9928402681205,47.97143830141824,480,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10001,1827.241257836148,56.76670817845443,561,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10002,1552.6598328075963,48.32991835489721,487,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
