tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,46.5879,23.6707,108.8640,43.6729,41.5336,92.1255,71.9189,16.6758,107.0936
0.1,48.3954,18.7153,104.1623,43.6086,41.3202,91.3443,68.5558,15.1054,107.0036
0.2,47.4540,37.6303,98.4462,44.8160,43.1802,91.9995,82.0019,62.6696,107.6377
0.4,53.6522,31.8854,107.1823,46.2142,43.4793,91.8590,82.5737,55.9615,108.4523
0.7,52.2228,50.5092,97.3191,46.9757,44.9350,92.0572,83.1096,50.7630,108.8523
1.5,52.1596,85.4662,109.4239,49.1335,46.0549,91.3646,84.2202,84.8177,110.3792
2.5,50.5200,87.6701,109.8806,51.0303,48.5638,93.5687,87.8201,87.0704,111.0540
4,54.0744,97.8094,108.2545,53.1137,49.6378,73.8016,89.5797,87.2417,112.5599
7,80.3117,99.5648,2.3523,56.4619,51.9299,49.6549,92.3969,88.4373,6.9769
10,99.2923,101.4194,2.4252,59.1683,53.5620,36.8176,5.4649,78.0677,-0.0834
12,101.3753,99.3159,2.1272,58.6862,52.0804,30.6874,2.4618,97.0406,-0.2679
14,101.0334,99.2562,0.6240,61.1475,54.7665,16.7530,-0.1257,86.7555,-0.2679
17,101.5387,100.8666,1.8137,62.2637,49.0948,5.1094,2.4618,6.9657,2.4618
20,101.4921,100.8000,1.8137,61.1455,55.0306,2.2157,8.2843,6.5377,-0.2679
24,0.7411,101.1363,1.8137,62.6721,49.0680,10.8533,2.4618,6.0082,2.4618
28,32.0792,6.8180,1.8137,67.3351,55.3940,0.5309,2.4618,80.4571,-0.2679
34,0.7331,103.3694,1.8137,64.9960,57.8769,1.7032,2.4618,50.8502,2.4618
40,0.7331,101.9449,1.8137,61.9993,42.2024,3.4959,-0.3950,0.5777,2.4618
