tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,44.9813,12.6743,105.0056,43.0247,40.6085,91.9116,77.4540,40.5746,107.2525
0.1,42.2153,16.9809,98.2201,43.8935,38.1873,92.4903,78.9489,41.2110,106.8669
0.2,43.0321,23.2735,91.1509,44.6472,43.3093,93.5265,80.6536,73.5286,107.1911
0.4,42.7392,44.2963,106.8026,45.7480,44.2823,94.3721,78.6990,86.1604,108.1677
0.7,41.0674,50.8667,107.1258,47.1187,45.1088,94.5304,77.7761,86.1952,108.3913
1.5,44.0396,98.5209,109.0722,49.6952,47.2906,95.5512,83.1989,84.4779,109.7477
2.5,53.9159,98.6708,102.9287,51.7552,48.0456,92.9249,86.2409,90.1155,111.0775
4,68.6840,98.2945,111.1743,53.6987,49.5453,78.0862,89.7326,81.9301,111.7807
7,94.7767,98.6305,106.4862,56.3217,52.5011,52.6777,88.4376,90.5588,112.4991
10,0.6735,98.6301,4.2465,58.6092,54.9247,36.0223,90.2965,88.8845,2.3272
12,6.4430,99.2703,6.9228,58.1246,54.6861,33.0355,84.8324,57.3936,-0.2683
14,0.7325,98.5111,7.4429,58.9212,53.9552,27.4305,2.3272,82.2600,2.3272
17,0.7325,99.6175,1.8200,59.8521,55.3855,1.9570,2.3272,96.2606,2.3272
20,0.7325,100.8730,1.8200,62.5266,40.7364,9.1003,2.3272,5.8811,-0.2683
24,,,,,,,,,
28,,,,,,,,,
34,,,,,,,,,
40,,,,,,,,,
