tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,50.4554,60.6307,100.8052
0.1,44.3188,51.7496,107.7722
0.2,50.6930,81.3334,108.4221
0.4,54.9967,72.1634,109.5034
0.7,88.3601,71.2553,109.5482
1.5,103.1347,72.9954,110.5099
2.5,109.3802,60.9786,111.7978
4,108.6099,66.5024,111.7756
7,78.7108,74.9839,114.1796
10,69.4129,70.0381,3.6291
12,48.1888,34.4600,2.4618
14,69.4419,32.2646,104.1866
17,1.0368,55.4084,-0.2679
20,0.7350,57.1237,11.4707
24,1.9503,58.9415,-0.3021
28,0.7953,40.4527,2.4618
34,0.7331,39.5290,2.4618
40,1.8137,34.9151,-0.2679
