tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,50.7541,60.7965,87.7884
0.1,53.0472,68.8054,106.9553
0.2,50.4546,82.5211,107.8232
0.4,57.1113,92.1988,108.7170
0.7,71.3288,87.6506,109.6027
1.5,101.6292,56.6026,110.3673
2.5,109.2406,57.6332,110.7131
4,95.9522,51.4152,111.4629
7,107.0126,68.1724,112.5608
10,0.7129,58.0030,112.7623
12,10.8291,54.7150,3.9176
14,2.0004,33.6992,0.2355
17,1.8200,48.8027,-0.2683
20,1.3096,37.0120,-0.2683
24,28.4612,33.5561,-0.2683
28,2.1661,24.2188,-0.3404
34,1.8246,27.2701,-0.2683
40,0.6422,29.1397,7.6840
