tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,40.2281,48.0389,105.1431
0.1,42.0096,57.4361,107.4295
0.2,43.5371,65.5957,108.2420
0.4,65.8186,90.7010,108.4341
0.7,77.6082,78.4189,109.9549
1.5,99.4927,80.3112,111.2714
2.5,97.5693,60.5960,110.4587
4,104.2263,51.3064,111.6623
7,99.6102,63.4032,46.2614
10,84.6017,65.9359,113.6784
12,85.8472,68.2420,112.1240
14,4.9579,54.5098,112.1633
17,5.9580,46.6812,109.2683
20,1.8199,30.1283,0.1621
24,2.6141,47.6990,-0.2671
28,0.6187,54.3394,-0.2774
34,1.8199,32.8791,2.3684
40,2.1985,60.9156,2.3685
