task,hop,contrast,held_fixed,metric,n,mean,std,n_negative,n_positive,n_zero
hopper-medium-replay-v2,3,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,-4.23581060262738,17.192819648966484,9.0,11.0,0.0
hopper-medium-replay-v2,3,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,-0.16433222339399123,1.9799321240634522,10.0,10.0,0.0
hopper-medium-replay-v2,3,cont_mart_polyak_minus_two_polyak,mart_mu3,normalized_score,20.0,-7.9238744487572585,27.539455017528724,12.0,8.0,0.0
hopper-medium-replay-v2,3,cont_mart_polyak_minus_two_polyak,mart_mu3,discounted_return,20.0,0.3365997442135466,1.3735799980035421,9.0,11.0,0.0
hopper-medium-replay-v2,3,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-12.698708356259157,24.0867961255665,13.0,7.0,0.0
hopper-medium-replay-v2,3,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,0.020369733355354924,1.8918328695644997,10.0,10.0,0.0
hopper-medium-replay-v2,4,first_mart_hop_minus_two_deploy,mart_polyak_mu1,normalized_score,20.0,1.430496443894595,27.497696653073707,9.0,11.0,0.0
hopper-medium-replay-v2,4,first_mart_hop_minus_two_deploy,mart_polyak_mu1,discounted_return,20.0,0.2043642976946259,1.094420110334954,10.0,10.0,0.0
hopper-medium-replay-v2,4,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,0.5364250417942025,14.839203538215791,7.0,13.0,0.0
hopper-medium-replay-v2,4,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,-0.36236393316120113,1.8630980450324202,9.0,11.0,0.0
hopper-medium-replay-v2,4,cont_mart_polyak_minus_two_polyak,mart_mu4,normalized_score,20.0,-11.804636954158763,24.473175059719964,11.0,9.0,0.0
hopper-medium-replay-v2,4,cont_mart_polyak_minus_two_polyak,mart_mu4,discounted_return,20.0,0.587097964211182,1.6333517551750054,10.0,10.0,0.0
hopper-medium-replay-v2,4,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-12.698708356259157,24.0867961255665,13.0,7.0,0.0
hopper-medium-replay-v2,4,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,0.020369733355354924,1.8918328695644997,10.0,10.0,0.0
hopper-expert-v2,2,first_mart_hop_minus_two_deploy,mart_polyak_mu1,normalized_score,20.0,0.5247529356868099,16.57921819798823,12.0,8.0,0.0
hopper-expert-v2,2,first_mart_hop_minus_two_deploy,mart_polyak_mu1,discounted_return,20.0,0.04344499054452342,1.093005195422653,5.0,15.0,0.0
hopper-expert-v2,2,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,-3.2738981293186433,13.972814194250677,11.0,9.0,0.0
hopper-expert-v2,2,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,0.24225918448660763,0.4936088409990764,7.0,13.0,0.0
hopper-expert-v2,2,cont_mart_polyak_minus_two_polyak,mart_mu2,normalized_score,20.0,1.0512692321612847,16.186254896291942,9.0,11.0,0.0
hopper-expert-v2,2,cont_mart_polyak_minus_two_polyak,mart_mu2,discounted_return,20.0,0.0020981679575015734,0.7317167238068937,13.0,7.0,0.0
hopper-expert-v2,2,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-2.7473818328441686,15.824528608438886,9.0,11.0,0.0
hopper-expert-v2,2,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,0.20091236189958578,1.1605666941458619,11.0,9.0,0.0
hopper-expert-v2,3,first_mart_hop_minus_two_deploy,mart_polyak_mu1,normalized_score,20.0,-1.1252247887515323,16.834161738403523,11.0,9.0,0.0
hopper-expert-v2,3,first_mart_hop_minus_two_deploy,mart_polyak_mu1,discounted_return,20.0,0.2770232237602954,0.5348191495850753,7.0,13.0,0.0
hopper-expert-v2,3,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,-1.4259900766345006,15.219154367924759,9.0,11.0,0.0
hopper-expert-v2,3,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,0.20074959532625486,0.505388895478094,5.0,15.0,0.0
hopper-expert-v2,3,cont_mart_polyak_minus_two_polyak,mart_mu3,normalized_score,20.0,-2.4466165449612007,18.898456509025806,10.0,10.0,0.0
hopper-expert-v2,3,cont_mart_polyak_minus_two_polyak,mart_mu3,discounted_return,20.0,0.27718599033362634,1.2907626572013688,10.0,10.0,0.0
hopper-expert-v2,3,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-2.7473818328441686,15.824528608438886,9.0,11.0,0.0
hopper-expert-v2,3,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,0.20091236189958578,1.1605666941458619,11.0,9.0,0.0
hopper-expert-v2,4,first_mart_hop_minus_two_deploy,mart_polyak_mu1,normalized_score,20.0,-1.3371834208341966,20.315865003093016,11.0,9.0,0.0
hopper-expert-v2,4,first_mart_hop_minus_two_deploy,mart_polyak_mu1,discounted_return,20.0,0.4271036561099919,0.8191039979396569,5.0,15.0,0.0
hopper-expert-v2,4,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,-3.7543721991538055,10.615458143612344,10.0,10.0,0.0
hopper-expert-v2,4,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,0.11140583127096022,0.7610498668351435,8.0,12.0,0.0
hopper-expert-v2,4,cont_mart_polyak_minus_two_polyak,mart_mu4,normalized_score,20.0,-0.33019305452455966,18.20446076479992,9.0,11.0,0.0
hopper-expert-v2,4,cont_mart_polyak_minus_two_polyak,mart_mu4,discounted_return,20.0,0.5166101867386175,0.9836340822503359,5.0,15.0,0.0
hopper-expert-v2,4,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-2.7473818328441686,15.824528608438886,9.0,11.0,0.0
hopper-expert-v2,4,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,0.20091236189958578,1.1605666941458619,11.0,9.0,0.0
