tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,52.7203,17.9815,99.6157,43.2510,40.3901,91.9786,,,
0.1,50.9787,24.1508,102.9732,43.6226,41.2550,92.0153,,,
0.2,54.2305,22.0045,103.7949,44.5109,42.4459,93.1143,,,
0.4,49.1318,32.1019,101.1614,45.5589,42.7645,94.1601,,,
0.7,51.6905,37.1445,103.3277,47.0686,44.8533,95.7652,,,
1.5,49.3054,46.7920,107.9438,48.7308,45.9087,95.4094,,,
2.5,63.3804,59.2943,106.1971,51.2402,47.6629,95.6962,,,
4,72.6404,99.9541,111.8382,53.1199,49.6628,78.5579,,,
7,89.2632,100.5847,13.6422,57.9684,49.8377,,,,
10,4.2114,94.9779,7.7132,58.1648,55.4903,,,,
12,0.7960,100.4138,1.7321,58.2432,48.3998,,,,
14,0.5810,65.6994,1.8137,60.7946,55.3689,,,,
17,0.7477,82.2673,1.8137,60.0056,48.9630,,,,
20,0.5816,72.4185,1.8137,62.8272,40.7347,,,,
