tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,49.3081,15.5548,103.7121,42.8948,37.3176,91.1934,78.7101,21.131,106.3218
0.1,47.922,19.7378,106.229,43.8502,41.6249,91.6703,80.0238,61.6803,106.7569
0.2,54.9218,23.3868,109.2187,44.3796,42.3233,92.0599,82.9741,67.6675,99.7276
0.4,48.919,46.2069,107.2489,45.0619,43.7431,86.2369,83.2348,71.098,107.9326
0.7,48.3318,65.136,103.2952,46.8302,44.1184,94.6801,83.7784,75.9385,108.42
1.5,45.5355,97.9654,109.8136,49.1802,46.0723,96.4118,74.62,86.2467,109.6863
2.5,62.6948,98.6965,109.7937,51.1875,48.3941,94.5015,80.479,84.6972,110.7184
4,60.5453,98.6212,99.5597,52.2368,49.8501,73.1934,2.3936,17.7488,111.6714
7,97.2132,101.2393,6.703,56.7723,52.1342,44.1866,92.1003,78.2205,6.9846
10,100.7524,99.1942,3.6337,58.0081,53.4455,34.1007,0.8882,90.8711,0.1291
12,0.7389,100.52,1.8196,58.0717,53.7383,1.439,2.3019,4.8884,1.4159
14,0.5808,101.7199,0.681,61.1676,53.4693,3.8245,2.3019,9.2644,-0.1989
17,0.5701,70.0655,1.8196,61.3403,53.4096,0.5433,2.3019,4.3656,7.1576
20,0.5812,96.4462,1.8195,61.5578,54.2253,9.2847,3.1757,87.4868,2.3019
