tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,44.1637,13.4385,98.2061,42.7276,33.1600,94.1459,77.0455,14.4560,
0.1,44.2373,18.9399,96.2590,43.5943,41.9501,93.9407,73.4123,47.0700,
0.2,44.9608,22.1425,105.1441,44.2995,42.9930,95.1078,77.4770,61.9513,
0.4,50.9352,43.9064,96.4905,45.7323,43.5803,95.8997,80.3968,65.5932,
0.7,46.6792,42.0425,108.2329,46.3899,44.4557,96.7102,82.7710,78.2796,
1.5,48.2445,98.3211,105.0280,49.2305,46.2248,96.4724,84.4670,82.7718,
2.5,50.8670,99.6403,106.8985,51.4721,47.6714,90.8214,85.5258,82.0249,
4,61.2626,99.5517,76.1725,54.3455,49.7149,72.4413,89.7709,14.3359,
7,77.1997,98.3978,2.4715,57.4273,51.3336,41.7369,2.3272,83.8433,
10,0.6857,100.2099,0.7345,58.0742,52.5412,14.7659,2.3272,10.3109,
12,0.8118,99.0055,1.8200,59.9305,54.1755,1.9911,2.3272,79.0265,
14,0.5801,99.6854,1.8200,58.2386,55.8256,10.0487,2.3272,3.7012,
17,0.9393,101.2365,0.7325,61.3356,56.2666,3.3190,2.3272,,
20,0.7819,100.0807,1.8200,63.0407,45.0134,7.1451,2.3272,,
