tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,47.0922,19.3836,93.0292,42.7689,41.1946,92.9256,77.0053,33.8954,106.5847
0.1,56.6338,39.5469,105.9862,43.8236,41.6031,93.1932,71.6491,38.5618,106.4214
0.2,51.1569,47.3745,94.5529,44.3824,42.3188,93.9907,68.2322,73.5692,107.435
0.4,50.6356,53.993,100.1394,45.6116,43.0591,95.2286,74.3997,51.6699,107.639
0.7,47.9702,60.2071,100.7044,46.7517,44.4703,96.6486,83.5274,85.3991,108.1834
1.5,48.1323,91.1654,90.6029,49.4628,45.729,97.2413,78.4473,86.894,110.2144
2.5,54.9875,97.5235,96.4927,51.2117,47.5646,90.5112,87.2567,90.4858,111.0522
4,58.5048,99.1299,104.329,55.938,49.571,69.7286,90.1465,92.8547,112.2371
7,69.2764,99.6418,15.4541,57.4409,51.2029,51.4744,74.7134,94.544,112.9948
10,0.8777,99.1461,1.8199,58.3039,52.7939,25.2645,32.6618,92.3475,-0.2654
12,0.7071,101.3248,1.8199,62.1104,52.6828,24.6329,2.3684,77.5128,-0.2653
14,100.6183,67.5414,1.8199,59.9078,51.6373,7.344,2.3684,29.3941,-0.2713
17,0.5822,101.1335,1.8199,62.2394,53.687,0.0689,2.3684,6.3362,2.3684
20,0.7446,33.0242,1.8199,61.9496,54.0634,-1.5405,30.1434,0.1664,-0.2713
