key,condition,environment,T,seed,tag,score_column,deployment_d4rl,target_d4rl,return_deploy_col,host_run_dir
two_actor_p4|hopper-medium-v2|T=14|seed=1,two_actor_p4,hopper-medium-v2,14,1,hopper-medium-v2_tau14_mcep4_seed1,d4rl_eval,99.12217542444908,58.411682992937486,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau14_mcep4_seed1
bar_p4|hopper-medium-v2|T=20|seed=0,bar_p4,hopper-medium-v2,20,0,hopper-medium-v2_tau20_mpi4_seed0,d4rl_pi4,101.31860077558706,68.99723413561341,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau20_mpi4_seed0
two_actor_p4|hopper-medium-v2|T=20|seed=0,two_actor_p4,hopper-medium-v2,20,0,hopper-medium-v2_tau20_mcep4_seed0,d4rl_eval,100.82821498138934,62.87670773091517,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau20_mcep4_seed0
bar_p4|hopper-medium-v2|T=20|seed=1,bar_p4,hopper-medium-v2,20,1,hopper-medium-v2_tau20_mpi4_seed1,d4rl_pi4,47.233420930053626,55.44099099931372,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau20_mpi4_seed1
two_actor_p4|hopper-medium-v2|T=20|seed=1,two_actor_p4,hopper-medium-v2,20,1,hopper-medium-v2_tau20_mcep4_seed1,d4rl_eval,15.634261821320617,60.45870647085797,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau20_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=4|seed=0,bar_p4,hopper-medium-replay-v2,4,0,hopper-medium-replay-v2_tau4_mpi4_seed0,d4rl_pi4,98.9611680180423,47.68773689425502,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau4_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=4|seed=0,two_actor_p4,hopper-medium-replay-v2,4,0,hopper-medium-replay-v2_tau4_mcep4_seed0,d4rl_eval,97.00050424194858,42.39191839948107,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau4_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=4|seed=1,bar_p4,hopper-medium-replay-v2,4,1,hopper-medium-replay-v2_tau4_mpi4_seed1,d4rl_pi4,98.91208114778853,23.133319644243088,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau4_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=4|seed=1,two_actor_p4,hopper-medium-replay-v2,4,1,hopper-medium-replay-v2_tau4_mcep4_seed1,d4rl_eval,98.3311355640236,44.948373211605826,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau4_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=7|seed=0,bar_p4,hopper-medium-replay-v2,7,0,hopper-medium-replay-v2_tau7_mpi4_seed0,d4rl_pi4,99.53983432161964,41.61032965858831,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau7_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=7|seed=0,two_actor_p4,hopper-medium-replay-v2,7,0,hopper-medium-replay-v2_tau7_mcep4_seed0,d4rl_eval,98.508904365612,44.307039598382474,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau7_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=7|seed=1,bar_p4,hopper-medium-replay-v2,7,1,hopper-medium-replay-v2_tau7_mpi4_seed1,d4rl_pi4,100.34107052377894,91.16402114668509,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau7_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=7|seed=1,two_actor_p4,hopper-medium-replay-v2,7,1,hopper-medium-replay-v2_tau7_mcep4_seed1,d4rl_eval,98.40749143409008,62.97241724041044,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau7_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=10|seed=0,bar_p4,hopper-medium-replay-v2,10,0,hopper-medium-replay-v2_tau10_mpi4_seed0,d4rl_pi4,100.89999788204062,49.110371506504706,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau10_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=10|seed=0,two_actor_p4,hopper-medium-replay-v2,10,0,hopper-medium-replay-v2_tau10_mcep4_seed0,d4rl_eval,100.24767372969312,71.69369455439974,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau10_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=10|seed=1,bar_p4,hopper-medium-replay-v2,10,1,hopper-medium-replay-v2_tau10_mpi4_seed1,d4rl_pi4,100.10534849491484,44.55676446731693,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau10_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=10|seed=1,two_actor_p4,hopper-medium-replay-v2,10,1,hopper-medium-replay-v2_tau10_mcep4_seed1,d4rl_eval,99.18307627374551,68.1642830399579,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-medium-replay-v2_tau10_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=14|seed=0,bar_p4,hopper-medium-replay-v2,14,0,hopper-medium-replay-v2_tau14_mpi4_seed0,d4rl_pi4,97.39560230161861,62.587263607987886,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau14_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=14|seed=0,two_actor_p4,hopper-medium-replay-v2,14,0,hopper-medium-replay-v2_tau14_mcep4_seed0,d4rl_eval,98.843842852362,37.57545113565288,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-medium-replay-v2_tau14_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=14|seed=1,bar_p4,hopper-medium-replay-v2,14,1,hopper-medium-replay-v2_tau14_mpi4_seed1,d4rl_pi4,100.11317909454237,84.23632263998601,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau14_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=14|seed=1,two_actor_p4,hopper-medium-replay-v2,14,1,hopper-medium-replay-v2_tau14_mcep4_seed1,d4rl_eval,99.40337210386619,68.44177362158752,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-medium-replay-v2_tau14_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=20|seed=0,bar_p4,hopper-medium-replay-v2,20,0,hopper-medium-replay-v2_tau20_mpi4_seed0,d4rl_pi4,101.47993276053194,94.98366495827065,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau20_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=20|seed=0,two_actor_p4,hopper-medium-replay-v2,20,0,hopper-medium-replay-v2_tau20_mcep4_seed0,d4rl_eval,100.47301324371732,79.81205655539334,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-medium-replay-v2_tau20_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=20|seed=1,bar_p4,hopper-medium-replay-v2,20,1,hopper-medium-replay-v2_tau20_mpi4_seed1,d4rl_pi4,99.62939967816308,35.38046255276953,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau20_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=20|seed=1,two_actor_p4,hopper-medium-replay-v2,20,1,hopper-medium-replay-v2_tau20_mcep4_seed1,d4rl_eval,99.62314250859929,77.51406888966834,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-medium-replay-v2_tau20_mcep4_seed1
bar_p4|hopper-expert-v2|T=4|seed=0,bar_p4,hopper-expert-v2,4,0,hopper-expert-v2_tau4_mpi4_seed0,d4rl_pi4,86.94955591873018,109.95714507956211,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau4_mpi4_seed0
two_actor_p4|hopper-expert-v2|T=4|seed=0,two_actor_p4,hopper-expert-v2,4,0,hopper-expert-v2_tau4_mcep4_seed0,d4rl_eval,110.02914030239307,106.25560665590193,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau4_mcep4_seed0
bar_p4|hopper-expert-v2|T=4|seed=1,bar_p4,hopper-expert-v2,4,1,hopper-expert-v2_tau4_mpi4_seed1,d4rl_pi4,104.9943709308524,103.44171563015074,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau4_mpi4_seed1
two_actor_p4|hopper-expert-v2|T=4|seed=1,two_actor_p4,hopper-expert-v2,4,1,hopper-expert-v2_tau4_mcep4_seed1,d4rl_eval,99.34457012655672,104.7393906470744,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau4_mcep4_seed1
bar_p4|hopper-expert-v2|T=7|seed=0,bar_p4,hopper-expert-v2,7,0,hopper-expert-v2_tau7_mpi4_seed0,d4rl_pi4,74.98773707841463,110.28432345824267,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau7_mpi4_seed0
two_actor_p4|hopper-expert-v2|T=7|seed=0,two_actor_p4,hopper-expert-v2,7,0,hopper-expert-v2_tau7_mcep4_seed0,d4rl_eval,99.49869827831587,107.1461601050655,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau7_mcep4_seed0
bar_p4|hopper-expert-v2|T=7|seed=1,bar_p4,hopper-expert-v2,7,1,hopper-expert-v2_tau7_mpi4_seed1,d4rl_pi4,102.9978027148157,102.6123102419026,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau7_mpi4_seed1
two_actor_p4|hopper-expert-v2|T=7|seed=1,two_actor_p4,hopper-expert-v2,7,1,hopper-expert-v2_tau7_mcep4_seed1,d4rl_eval,99.15639842641357,101.34575281108226,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau7_mcep4_seed1
bar_p4|hopper-expert-v2|T=10|seed=0,bar_p4,hopper-expert-v2,10,0,hopper-expert-v2_tau10_mpi4_seed0,d4rl_pi4,81.39103032972368,104.27715817516233,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau10_mpi4_seed0
two_actor_p4|hopper-expert-v2|T=10|seed=0,two_actor_p4,hopper-expert-v2,10,0,hopper-expert-v2_tau10_mcep4_seed0,d4rl_eval,108.16737517961369,101.7478838574452,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau10_mcep4_seed0
bar_p4|hopper-expert-v2|T=10|seed=1,bar_p4,hopper-expert-v2,10,1,hopper-expert-v2_tau10_mpi4_seed1,d4rl_pi4,38.803137656180745,94.3566339848375,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau10_mpi4_seed1
two_actor_p4|hopper-expert-v2|T=10|seed=1,two_actor_p4,hopper-expert-v2,10,1,hopper-expert-v2_tau10_mcep4_seed1,d4rl_eval,81.62472913557953,101.09359793627554,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau10_mcep4_seed1
bar_p4|hopper-expert-v2|T=14|seed=0,bar_p4,hopper-expert-v2,14,0,hopper-expert-v2_tau14_mpi4_seed0,d4rl_pi4,45.30764331021571,81.27445936950608,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau14_mpi4_seed0
two_actor_p4|hopper-expert-v2|T=14|seed=0,two_actor_p4,hopper-expert-v2,14,0,hopper-expert-v2_tau14_mcep4_seed0,d4rl_eval,1.818401049624143,11.715466551785923,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau14_mcep4_seed0
bar_p4|hopper-expert-v2|T=14|seed=1,bar_p4,hopper-expert-v2,14,1,hopper-expert-v2_tau14_mpi4_seed1,d4rl_pi4,1.7686955716754882,14.573313538078194,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau14_mpi4_seed1
two_actor_p4|hopper-expert-v2|T=14|seed=1,two_actor_p4,hopper-expert-v2,14,1,hopper-expert-v2_tau14_mcep4_seed1,d4rl_eval,66.60117032833058,110.20342443895301,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau14_mcep4_seed1
bar_p4|hopper-expert-v2|T=20|seed=0,bar_p4,hopper-expert-v2,20,0,hopper-expert-v2_tau20_mpi4_seed0,d4rl_pi4,0.7850109539935497,23.657836667682457,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau20_mpi4_seed0
two_actor_p4|hopper-expert-v2|T=20|seed=0,two_actor_p4,hopper-expert-v2,20,0,hopper-expert-v2_tau20_mcep4_seed0,d4rl_eval,1.8196078126231339,1.8196078126231339,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau20_mcep4_seed0
bar_p4|hopper-expert-v2|T=20|seed=1,bar_p4,hopper-expert-v2,20,1,hopper-expert-v2_tau20_mpi4_seed1,d4rl_pi4,7.796362944909135,12.172725850162342,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-expert-v2_tau20_mpi4_seed1
two_actor_p4|hopper-expert-v2|T=20|seed=1,two_actor_p4,hopper-expert-v2,20,1,hopper-expert-v2_tau20_mcep4_seed1,d4rl_eval,1.819903610444258,1.8199036114981197,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-expert-v2_tau20_mcep4_seed1
bar_p4|halfcheetah-medium-v2|T=4|seed=0,bar_p4,halfcheetah-medium-v2,4,0,halfcheetah-medium-v2_tau4_mpi4_seed0,d4rl_pi4,52.74645367754266,47.526490925164254,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/halfcheetah-medium-v2_tau4_mpi4_seed0
two_actor_p4|halfcheetah-medium-v2|T=4|seed=0,two_actor_p4,halfcheetah-medium-v2,4,0,halfcheetah-medium-v2_tau4_mcep4_seed0,d4rl_eval,52.962581912272455,47.21985618291307,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/halfcheetah-medium-v2_tau4_mcep4_seed0
bar_p4|halfcheetah-medium-v2|T=4|seed=1,bar_p4,halfcheetah-medium-v2,4,1,halfcheetah-medium-v2_tau4_mpi4_seed1,d4rl_pi4,53.07063486494371,47.44150127481657,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/halfcheetah-medium-v2_tau4_mpi4_seed1
two_actor_p4|halfcheetah-medium-v2|T=4|seed=1,two_actor_p4,halfcheetah-medium-v2,4,1,halfcheetah-medium-v2_tau4_mcep4_seed1,d4rl_eval,53.16662390378315,47.59257770493433,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/halfcheetah-medium-v2_tau4_mcep4_seed1
bar_p4|halfcheetah-medium-v2|T=7|seed=0,bar_p4,halfcheetah-medium-v2,7,0,halfcheetah-medium-v2_tau7_mpi4_seed0,d4rl_pi4,56.355928183990834,49.051611837940435,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/halfcheetah-medium-v2_tau7_mpi4_seed0
two_actor_p4|halfcheetah-medium-v2|T=7|seed=0,two_actor_p4,halfcheetah-medium-v2,7,0,halfcheetah-medium-v2_tau7_mcep4_seed0,d4rl_eval,56.30589004601343,49.469575000481115,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/halfcheetah-medium-v2_tau7_mcep4_seed0
