environment,T,seed,bar_p4_deployment_d4rl,two_actor_p4_deployment_d4rl,delta_bar_minus_control
halfcheetah-medium-replay-v2,4,0,49.79160761637971,48.65895464532098,1.1326529710587252
halfcheetah-medium-replay-v2,4,1,50.69703860963962,49.33354581794247,1.3634927916971478
halfcheetah-medium-replay-v2,7,0,52.64773847558395,50.30766102138726,2.3400774541966882
halfcheetah-medium-replay-v2,7,1,52.90975951400368,49.66572482881482,3.244034685188865
halfcheetah-medium-replay-v2,10,0,52.47841857874139,52.79990355060611,-0.32148497186472014
halfcheetah-medium-v2,4,0,52.74645367754266,52.962581912272455,-0.21612823472979414
halfcheetah-medium-v2,4,1,53.07063486494371,53.16662390378315,-0.09598903883943422
halfcheetah-medium-v2,7,0,56.355928183990834,56.30589004601343,0.05003813797740264
halfcheetah-medium-v2,7,1,57.16246090628708,56.133838026397676,1.0286228798894044
halfcheetah-medium-v2,10,0,57.82220343076596,58.346323127458014,-0.524119696692054
halfcheetah-medium-v2,10,1,59.00766321134182,58.025305696200334,0.9823575151414872
halfcheetah-medium-v2,14,0,57.55367298081483,59.41278169974219,-1.8591087189273594
halfcheetah-medium-v2,14,1,59.480857334604394,59.385104412122416,0.09575292248197798
halfcheetah-medium-v2,20,0,61.09680394023715,60.462339677218225,0.634464263018927
halfcheetah-medium-v2,20,1,59.085122796780546,59.688496937973625,-0.6033741411930791
hopper-expert-v2,4,0,86.94955591873018,110.02914030239307,-23.07958438366289
hopper-expert-v2,4,1,104.9943709308524,99.34457012655672,5.64980080429568
hopper-expert-v2,7,0,74.98773707841463,99.49869827831587,-24.510961199901246
hopper-expert-v2,7,1,102.9978027148157,99.15639842641357,3.8414042884021313
hopper-expert-v2,10,0,81.39103032972368,108.16737517961369,-26.77634484989001
hopper-expert-v2,10,1,38.803137656180745,81.62472913557953,-42.82159147939878
hopper-expert-v2,14,0,45.30764331021571,1.818401049624143,43.48924226059157
hopper-expert-v2,14,1,1.7686955716754882,66.60117032833058,-64.83247475665509
hopper-expert-v2,20,0,0.7850109539935497,1.8196078126231339,-1.0345968586295842
hopper-expert-v2,20,1,7.796362944909135,1.819903610444258,5.976459334464877
hopper-medium-replay-v2,4,0,98.9611680180423,97.00050424194858,1.9606637760937247
hopper-medium-replay-v2,4,1,98.91208114778853,98.3311355640236,0.5809455837649296
hopper-medium-replay-v2,7,0,99.53983432161964,98.508904365612,1.0309299560076397
hopper-medium-replay-v2,7,1,100.34107052377894,98.40749143409008,1.9335790896888625
hopper-medium-replay-v2,10,0,100.89999788204062,100.24767372969312,0.6523241523475036
hopper-medium-replay-v2,10,1,100.10534849491484,99.18307627374551,0.9222722211693224
hopper-medium-replay-v2,14,0,97.39560230161861,98.843842852362,-1.4482405507433924
hopper-medium-replay-v2,14,1,100.11317909454237,99.40337210386619,0.709806990676185
hopper-medium-replay-v2,20,0,101.47993276053194,100.47301324371732,1.0069195168146194
hopper-medium-replay-v2,20,1,99.62939967816308,99.62314250859929,0.006257169563795628
hopper-medium-v2,4,0,58.43276895306132,75.49907526614189,-17.066306313080567
hopper-medium-v2,4,1,70.98385541587153,57.867585638127984,13.116269777743547
hopper-medium-v2,7,0,97.42622666302383,98.89577782514104,-1.469551162117213
hopper-medium-v2,7,1,83.4861315173573,100.49764317272498,-17.011511655367684
hopper-medium-v2,10,0,100.62532829809756,99.59075623653766,1.0345720615598992
hopper-medium-v2,10,1,100.74766430811697,97.84462648280717,2.903037825309795
hopper-medium-v2,14,0,101.22063075861216,100.19772054831577,1.0229102102963878
hopper-medium-v2,14,1,100.9527563985614,99.12217542444908,1.8305809741123227
hopper-medium-v2,20,0,101.31860077558706,100.82821498138934,0.49038579419772077
hopper-medium-v2,20,1,47.233420930053626,15.634261821320617,31.59915910873301
