tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,45.058,24.9271,75.4872,44.0255,40.9484,91.9755,80.2259,10.5832,106.935
0.1,40.1699,21.7832,92.9698,43.6365,42.3329,92.6722,79.389,23.6708,107.3176
0.2,42.3448,30.045,107.4744,44.4277,42.8711,92.8032,79.2173,14.2935,107.2562
0.4,48.0861,65.4921,109.6164,45.7989,43.3133,93.6668,76.3388,48.8087,108.7267
0.7,58.0452,87.9915,107.3202,47.0269,44.2349,95.4518,83.1913,79.786,109.1451
1.5,54.1591,98.5958,106.1309,49.0059,46.0576,97.4309,84.7073,83.0408,110.4152
2.5,60.9641,98.3671,101.9309,51.9696,46.962,85.3586,87.9581,82.6302,111.5027
4,76.4401,96.3971,101.3342,53.997,50.2893,61.7337,88.6585,-0.4038,112.121
7,88.1768,98.6833,81.8581,56.0667,52.5331,37.7349,-0.1419,90.6449,-0.4588
10,100.9813,98.8269,2.7704,56.5496,49.1586,10.7618,92.7728,91.4212,-0.2713
12,100.4714,98.1167,1.8199,55.6505,49.7005,5.8138,0.2815,22.545,-0.6633
14,1.345,100.2297,1.8199,56.1792,50.4834,14.3072,2.3685,87.5257,-0.2713
17,14.6668,101.451,3.8208,55.8859,48.7833,1.7155,2.3684,4.45,-0.2713
20,0.5807,102.0291,2.4253,55.4028,38.5632,6.3137,2.3684,0.4154,-0.2713
