tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,44.1862,16.7510,105.7711,42.7225,37.0222,,,10.4902,107.0497
0.1,53.0216,18.9250,104.6121,42.9724,39.2804,,,54.9637,107.2012
0.2,49.3898,32.4361,105.4518,44.9576,42.8395,,,23.9258,107.9690
0.4,52.2758,32.5140,104.8603,45.6907,43.5250,,,79.4980,108.3702
0.7,50.1113,34.3682,109.9467,47.1026,44.5928,,,82.6546,108.8269
1.5,47.6576,68.6314,102.6240,49.1407,,,,84.9429,110.1364
2.5,52.5195,80.0171,107.4318,51.4397,,,,84.8241,111.2991
4,57.0265,100.0965,109.7884,54.9255,,,,89.1485,111.8835
7,76.1133,99.4296,2.1954,55.7007,,,,90.2342,114.1426
10,93.2925,100.1483,0.6765,55.2914,,,,89.0066,-0.2588
12,92.2801,99.6185,31.8855,54.9810,,,,95.2055,-0.2699
14,99.7425,98.9646,2.8614,56.1248,,,,85.9723,-0.2679
17,0.7499,98.9458,1.8943,57.1764,,,,35.6478,0.4051
20,1.3959,100.1052,1.8137,53.2571,,,,7.8286,-0.2679
