tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,40.7843,12.1395,101.4071,43.8078,42.0634,,,37.1438,106.7007
0.1,41.1160,19.7170,99.3669,44.0440,42.3771,,,73.3228,106.7770
0.2,43.9054,13.2306,103.1494,45.1014,42.7003,,,83.2985,107.5339
0.4,42.2077,44.4078,105.9179,45.9773,43.4245,,,75.5872,108.5939
0.7,44.6440,84.9631,103.0460,47.0999,44.9002,,,86.2998,108.8148
1.5,43.8958,94.5551,109.6864,49.7951,,,,87.1544,110.0749
2.5,51.4477,98.5835,104.3457,50.7874,,,,84.3259,110.7485
4,56.9797,99.2990,107.3876,53.5615,,,,90.1045,111.3448
7,91.0925,98.6490,108.1000,57.6291,,,,9.8906,112.9907
10,99.7675,99.2976,1.8198,58.2154,,,,44.2852,-0.5212
12,93.6376,98.8334,2.8194,57.5053,,,,86.7890,-0.2683
14,100.6601,101.2078,1.8200,56.8509,,,,43.7386,-0.2683
17,0.5802,100.1680,1.8200,55.2183,,,,0.5178,-0.2683
20,0.5801,84.4308,1.8200,55.2650,,,,87.8381,-0.2683
