tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,47.1545,11.9428,84.7857,43.3606,32.897,93.9489,71.8016,36.2711,107.3928
0.1,45.0278,17.6181,79.0584,43.2423,40.707,94.0972,77.3696,31.479,106.9353
0.2,48.7933,21.1341,94.7614,44.2,42.1988,93.522,75.7121,57.7462,107.6542
0.4,44.8165,24.4857,101.7149,45.5136,43.4994,94.6341,82.7136,83.8487,108.2468
0.7,47.1841,21.9803,87.0229,46.392,44.7574,96.8954,70.7479,81.9901,108.9532
1.5,46.0021,40.9895,104.5475,49.1263,45.7176,96.5596,85.1001,80.6206,110.2471
2.5,46.6107,42.9078,90.1429,51.6564,48.0914,95.2897,87.7054,83.5654,111.2402
4,52.8783,99.2351,95.55,54.2905,50.0376,75.8044,90.0119,85.23,111.979
7,60.3502,98.0395,85.2928,56.4949,51.482,51.5026,84.9854,89.3485,113.849
10,69.726,99.6806,2.1261,57.5322,51.4441,13.6955,-0.2359,24.8646,2.3019
12,0.5812,99.2404,2.6153,56.3184,49.9886,3.1231,-0.0718,3.8354,
14,81.0447,101.0081,1.8196,58.5667,51.003,7.7922,2.3019,92.6742,
17,0.7988,98.7405,3.2891,55.1446,47.4412,12.1632,2.3022,10.737,
20,0.7373,100.1799,1.8176,53.2069,47.7139,10.4825,2.3019,5.6984,
