env,tau,seed,method,total_hops,checkpoint,eval_step,final_critic_loss,max_critic_loss,d4rl_score,q_data_abs_mean,q_data_abs_p99,td_residual_mean,td_residual_p50,td_residual_p90,td_residual_p99,td_target_abs_mean,td_target_abs_p50,td_target_abs_p90,td_target_abs_p99,path_length_mean,path_length_p50,path_length_p90,path_length_p99,chord_length_mean,chord_length_p50,chord_length_p90,chord_length_p99,critic_displacement_sq_mean_metric_mean,critic_displacement_sq_mean_metric_p50,critic_displacement_sq_mean_metric_p90,critic_displacement_sq_mean_metric_p99,final_displacement_sq_mean_metric_mean,final_displacement_sq_mean_metric_p50,final_displacement_sq_mean_metric_p90,final_displacement_sq_mean_metric_p99,decoupling_displacement_ratio,path_tortuosity_mean
hopper-medium-v2,4.0,0,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau4_mpi4_seed0/params_1000000.pkl,1000000,5.517874717712402,5.517874717712402,51.73192109247461,235.1748046875,299.62699127197266,2.815191105352852,0.9210458695888519,5.1804375648498535,31.446962451934844,235.5393480786588,254.7144775390625,292.3593292236328,299.9930587768555,0.5750618422475782,0.5283723473548889,0.9785312116146088,1.4091179847717288,0.3531570089301397,0.29394111037254333,0.6862130761146545,1.143325632810593,0.053710733264673405,0.025456923060119152,0.1390601173043251,0.3682203263044358,0.06185420561338897,0.028800463303923607,0.1569627970457077,0.4357312440872194,1.0731341727807424,2.167860984802246
hopper-medium-v2,4.0,1,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau4_mpi4_seed1/params_1000000.pkl,1000000,3.230926752090454,3.230926752090454,70.612343063339,234.4403839111328,298.79662017822267,3.024952324874903,0.9592019319534302,5.597113847732544,33.47688484191904,234.3135867251549,253.4684829711914,290.888916015625,298.63078918457035,0.5805231876374819,0.5397264361381531,0.9730501770973206,1.4113671302795414,0.35815407540746946,0.30326806008815765,0.685804545879364,1.1295230567455297,0.05366603846325635,0.024928776547312737,0.1392190307378769,0.37250716686248864,0.06259307307711137,0.030657172203063965,0.15677595883607864,0.4252742201089863,1.0799740468482864,2.1045734882354736
hopper-medium-v2,4.0,2,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau4_mpi4_seed2/params_1000000.pkl,1000000,2.425649642944336,2.425649642944336,63.08167627484863,234.20108032226562,297.85889587402346,2.584087355851807,0.7752137184143066,4.742153167724609,31.3811381340027,234.1912997154286,252.6690216064453,290.07220458984375,297.8912384033203,0.5893896789575592,0.5543883442878723,0.976739913225174,1.4157249212265015,0.3538998371806201,0.3019797205924988,0.6830025315284729,1.1328636348247532,0.05266848805751012,0.024650879204273224,0.1360914260149002,0.36830159425735476,0.06103464357791133,0.03039724938571453,0.1554974764585495,0.4277934163808826,1.0764967963102134,2.1369194984436035
hopper-medium-v2,4.0,3,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau4_mpi4_seed3/params_1000000.pkl,1000000,2.89982008934021,2.89982008934021,64.81843803095956,232.87640380859375,297.1432678222656,3.168493700433629,0.8598841428756714,6.259394645690918,32.58204784393331,233.0004190254258,251.34894561767578,289.1572265625,297.1279769897461,0.5542684106949309,0.5045564770698547,0.9437522888183594,1.3755321264266969,0.3558020179086725,0.2996109127998352,0.6896505951881409,1.1166879534721383,0.05359729135747848,0.025071955285966396,0.14241923391819,0.37280610203743003,0.061521240980112246,0.029922237619757652,0.1585393249988556,0.4156644135713584,1.0713739493893435,1.93682861328125
hopper-medium-v2,7.0,0,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau7_mpi4_seed0/params_1000000.pkl,1000000,3.3107852935791016,3.3107852935791016,83.86846770798115,238.244140625,303.05532684326175,2.655776444451817,0.8869455456733704,4.779500722885132,32.80465679168706,238.55607009865344,258.1167907714844,295.40406799316406,303.24622802734376,0.5985433356963767,0.5517335534095764,1.0149762034416199,1.4782986640930194,0.37554651011316764,0.3133251965045929,0.7260002493858337,1.2150410056114203,0.054157261686023084,0.025645392015576363,0.14029249548912048,0.3669467985630044,0.0694638888690301,0.032724225893616676,0.175692118704319,0.49210843443870594,1.1325337120239736,2.0423381328582764
hopper-medium-v2,7.0,1,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau7_mpi4_seed1/params_1000000.pkl,1000000,3.1504411697387695,3.1504411697387695,76.08704185232398,237.1885986328125,301.1171081542969,2.6382448509667853,0.8617249727249146,4.9460015296936035,35.48751068115244,237.2678711594781,256.83319091796875,293.5702667236328,301.19453735351567,0.6042863632665103,0.5593258738517761,0.9969728589057922,1.4697676420211794,0.38096816562762115,0.321075439453125,0.7222338616847992,1.2038054525852204,0.054458609620759546,0.02609892748296261,0.1405583992600441,0.3792746618390088,0.0703287412757233,0.034363146871328354,0.1738739237189293,0.48304916620254523,1.1364049231860645,2.005488157272339
hopper-medium-v2,7.0,2,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau7_mpi4_seed2/params_1000000.pkl,1000000,2.6045522689819336,2.6045522689819336,83.86025939728582,237.2035369873047,301.1381286621094,2.541492778388374,0.7069973051548004,4.636296510696411,33.972904205322315,237.3022834986332,256.7042541503906,293.2793731689453,301.0693023681641,0.6156569387940181,0.575779527425766,1.015795111656189,1.4757036983966827,0.3828160402774756,0.32532890141010284,0.7287331223487854,1.1906081855297093,0.05337201260764146,0.02500435709953308,0.13565462082624435,0.37592677175998734,0.07049858572912182,0.03527963161468506,0.17701733112335205,0.4725160166621212,1.1492999288671975,2.0106871128082275
hopper-medium-v2,7.0,3,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau7_mpi4_seed3/params_1000000.pkl,1000000,3.232210636138916,3.232210636138916,95.43474075264157,237.29232788085938,301.05660247802734,3.032374683657963,0.887544572353363,5.4046735763549805,34.17438430786141,237.35657669778448,257.1012268066406,293.56671142578125,301.0434967041016,0.5812089388696222,0.5323187410831451,0.9773548543453217,1.448808145523072,0.3838063208809217,0.32618822157382965,0.7323643565177917,1.1859672486782078,0.05452719331624023,0.024786842055618763,0.1416563019156456,0.39436264336109256,0.07081804279706949,0.03546626679599285,0.17878587543964386,0.4688395217061046,1.1396338823860985,1.894791603088379
hopper-medium-v2,10.0,0,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau10_mpi4_seed0/params_1000000.pkl,1000000,3.3176097869873047,3.3176097869873047,98.90420918117341,242.54519653320312,308.3419128417969,2.305113993428222,0.6691879630088806,4.504717588424683,28.616605758666996,242.68098543048836,262.66937255859375,299.97605895996094,308.55674743652344,0.6244496801882633,0.5742138922214508,1.0350770950317383,1.593730509281159,0.4069215114711824,0.34069645404815674,0.7624169886112213,1.3248765528202058,0.05517504083994407,0.02639341540634632,0.14026787132024765,0.380864651501179,0.08097108907469908,0.038691358640789986,0.19375989586114883,0.5850992888212204,1.2114169075840404,1.922242522239685
hopper-medium-v2,10.0,1,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau10_mpi4_seed1/params_1000000.pkl,1000000,2.83756685256958,2.83756685256958,100.77754799476534,241.76220703125,307.68860931396483,2.4806118785413673,0.6999730467796326,4.79437780380249,29.60442466735854,241.61285370250698,261.55690002441406,298.88270568847656,307.398046875,0.6287742901158708,0.5807718634605408,1.0481840372085571,1.5168267130851762,0.4042431895707068,0.34521499276161194,0.7556402385234833,1.2608477532863622,0.055008278136823296,0.026718725450336933,0.13854648917913437,0.376918762922287,0.07905065262465927,0.03972446545958519,0.1903308629989624,0.5299124807119373,1.1987776791645735,1.9616916179656982
hopper-medium-v2,10.0,2,mpi4,4,/home/offrl/MPI_sweep/results/mpi4_norm/hopper-medium-v2_tau10_mpi4_seed2/params_1000000.pkl,1000000,1.8729265928268433,1.8729265928268433,100.86507376931652,240.5865478515625,304.9203796386719,2.6849933407441995,0.7151128351688385,4.609270811080933,31.01305093765281,240.44339021015912,260.39479064941406,296.8185272216797,304.623957824707,0.6376340438491752,0.5981521010398865,1.0478594303131104,1.5478735446929943,0.4052786203192227,0.34058617055416107,0.7622637450695038,1.2743417143821731,0.05435546485813536,0.0256282277405262,0.1415415108203888,0.3798944771289829,0.07919086659996166,0.03866633586585522,0.19368203729391098,0.5413165062665951,1.2070239753975545,2.0513086318969727
