critic_scope,method,hop,cells,positive_q_gain_cells,positive_q_gain_fraction,q1_gain_hop_median,secant_q_median,prox_residual_median,step_norm_median
own,mpi4,1,42,42,1.0,0.5235119462013245,-0.6944933235645294,0.7906630039215088,0.40433373138398565
own,mpi4,2,42,42,1.0,0.39138633012771606,-0.6498664319515228,0.6355974078178406,0.1419695369747842
own,mpi4,3,42,42,1.0,0.3376060724258423,-0.7079207301139832,0.6261900961399078,0.13486410376049207
own,mpi4,4,42,42,1.0,0.26761481165885925,-0.8304135799407959,0.6516512334346771,0.1367364812509777
