env,tau,seed,method,critic_scope,hop,total_hops,tau_step,n_states,action_dim,q_scale,effective_action_step,q_weight,q1_gain_hop_mean,q1_gain_total_mean,q2_gain_hop_mean,q2_gain_total_mean,linear_gain_mean,transport_cost_mean,prox_margin_val_mean,prox_margin_val_nonnegative_fraction,linearization_error_mean,gradient_change_ratio_mean,effective_secant_curvature_mean,secant_grad_mean,secant_grad_p10,secant_grad_p50,secant_grad_p90,secant_q_mean,secant_q_p10,secant_q_p50,secant_q_p90,secant_q_positive_fraction,prox_residual_mean,saturation_fraction_mean,twin_gap_mean,grad_norm_mean,cos_step_grad_mean,step_norm_mean,step_norm_p50,step_norm_p90,step_norm_p99,total_norm_mean,total_norm_p50,total_norm_p90,total_norm_p99,prox_margin_val_p50,prox_margin_val_p90,prox_margin_val_p99,linearization_error_p50,linearization_error_p90,linearization_error_p99,gradient_change_ratio_p50,gradient_change_ratio_p90,gradient_change_ratio_p99,effective_secant_curvature_p50,effective_secant_curvature_p90,effective_secant_curvature_p99,eval_step,final_critic_loss,max_critic_loss,d4rl_score,cos_consecutive_steps_mean
hopper-medium-replay-v2,10.0,0,mpi4,own,1,4,2.5,4096,3,189.08401589257812,0.039664907499430725,0.026443271666287148,1.3251639604568481,1.3251639604568481,1.2704417705535889,1.2704417705535889,1.476691722869873,0.1278221607208252,-0.09278049172685887,0.11669921875,0.30844797301910093,0.32950858759861035,0.19819647559162398,-0.7982932329177856,-7.309435606002808,-0.2752896696329117,6.034908771514893,-0.7537604570388794,-7.988011598587036,-0.1592591404914856,6.567213535308838,0.455810546875,0.7257288694381714,0.036865234375,1.7159466743469238,5.723210334777832,0.17435762286186218,0.5372344232191608,0.48771727085113525,0.9538792073726654,1.483862572908402,0.5372344232191608,0.48771727085113525,0.9538792073726654,1.483862572908402,-0.0559450201690197,0.0028830545488744974,0.12705261185765374,0.17145750671625137,0.9999999403953552,1.0,0.2725958079099655,0.7070249617099762,0.9634005188941961,0.11567332223057747,0.44378672540187836,1.2078086972236663,1000000,15.660888671875,15.660888671875,100.34815828470234,
hopper-medium-replay-v2,10.0,0,mpi4,own,2,4,2.5,4096,3,189.08401589257812,0.039664907499430725,0.026443271666287148,1.0657685995101929,2.39093279838562,0.9642753005027771,2.2347168922424316,1.0187784433364868,0.028568046167492867,-0.00038563852647732766,0.4072265625,0.19115641521768106,0.2196681586819551,0.2619209418677761,-0.6285121440887451,-10.688965320587158,0.0,9.473771572113037,-0.7145851850509644,-11.142436027526855,-0.0006251211161725223,9.974425792694092,0.484375,0.5813459157943726,0.043619791666666664,1.8017914295196533,5.8306684494018555,0.3615560829639435,0.2462224212874844,0.21284805238246918,0.4479813724756241,0.7633191317319877,0.6310313415406199,0.5639448165893555,1.133870542049408,1.7541227698326132,-0.0024479052517563105,0.027771073393523693,0.13356329351663618,0.08182421326637268,0.5980196297168732,1.0,0.16893891245126724,0.5030052363872528,0.9076500058174138,0.1430901437997818,0.6584858298301697,1.681143653392793,1000000,15.660888671875,15.660888671875,100.34815828470234,0.12969495356082916
hopper-medium-replay-v2,10.0,0,mpi4,own,3,4,2.5,4096,3,190.1441660390625,0.039443755526315905,0.026295837017543934,0.9030815362930298,3.2940142154693604,0.8330059051513672,3.067722797393799,0.8524684906005859,0.020931493490934372,0.0028157904525070165,0.478271484375,0.16984099748894116,0.1974064980531267,0.2778721449266588,-0.801024317741394,-11.960932731628418,0.0,9.239764213562012,-0.7079534530639648,-12.330843448638916,-0.0011536211241036654,10.56833267211914,0.47705078125,0.5776656866073608,0.06583658854166666,1.904557228088379,5.86668586730957,0.38356584310531616,0.2059682480848153,0.1758519411087036,0.3781261146068573,0.7248310387134568,0.7194783181258799,0.6318472623825073,1.3030822277069092,2.068486869335175,-0.00045995405525900424,0.027074879966676235,0.13013648763299007,0.06411826238036156,0.5210573673248291,1.0,0.1398077830672264,0.4803517758846283,0.8653724372386947,0.14027240872383118,0.6989574730396271,1.9447170317173017,1000000,15.660888671875,15.660888671875,100.34815828470234,0.24369704723358154
hopper-medium-replay-v2,10.0,0,mpi4,own,4,4,2.5,4096,3,191.04769997460937,0.03925721168586047,0.02617147445724031,0.5833730697631836,3.877387285232544,0.521851658821106,3.5895745754241943,0.5556454658508301,0.01632584258913994,-0.001058109536286267,0.43603515625,0.17116417917395066,0.1822265275565229,0.269024879313134,-0.8821420669555664,-11.739640235900879,0.0,9.330921173095703,-0.8833866119384766,-12.388139724731445,-4.0026267924986314e-05,10.359106063842773,0.4990234375,0.620398998260498,0.09285481770833333,1.9942386150360107,5.876193046569824,0.3068777322769165,0.18333507969726526,0.1555495485663414,0.3423259109258652,0.5834659576416018,0.7908392979807104,0.6896695792675018,1.4688469767570496,2.207243156433109,-0.0010530180879868567,0.020317334681749344,0.0777847386896611,0.06073794513940811,0.5512796342372894,1.0,0.12270062044262886,0.4657069593667984,0.8887682437896732,0.12086539342999458,0.6963964700698853,1.958102273941042,1000000,15.660888671875,15.660888671875,100.34815828470234,0.19204747676849365
hopper-medium-replay-v2,10.0,1,mpi4,own,1,4,2.5,4096,3,189.13699440820312,0.039653797098061085,0.02643586473204072,1.3348276615142822,1.3348276615142822,1.2532919645309448,1.2532919645309448,1.5368359088897705,0.13314223289489746,-0.09785491288677761,0.11669921875,0.30749267023397175,0.32727662836656357,0.18883008106459997,-0.7189614772796631,-7.242600917816162,-0.30536235868930817,5.7428367137908936,-0.7776435613632202,-8.196620464324951,-0.19975564628839493,6.117810487747192,0.4609375,0.7272887229919434,0.037353515625,1.7903316020965576,5.617214202880859,0.1806178092956543,0.546118394868472,0.48932623863220215,0.9781208634376526,1.5255767464637766,0.546118394868472,0.48932623863220215,0.9781208634376526,1.5255767464637766,-0.05844900757074356,0.002826183568686247,0.11279373243451137,0.18144491314888,0.9999999403953552,1.0,0.27337366342544556,0.6943138241767883,0.954173418879509,0.11145025119185448,0.42982740700244904,1.1004327833652543,1000000,14.058874130249023,14.058874130249023,100.57373205726077,
hopper-medium-replay-v2,10.0,1,mpi4,own,2,4,2.5,4096,3,189.13699440820312,0.039653797098061085,0.02643586473204072,1.0155003070831299,2.350327968597412,0.9627916216850281,2.2160837650299072,0.9359975457191467,0.028839530423283577,-0.001993900700966833,0.390625,0.19249823463834076,0.21754013240459713,0.254989992120888,-0.4360365569591522,-9.96930742263794,0.0,9.129316806793213,-0.4600639343261719,-10.86827039718628,-0.0010576352360658348,9.857198238372803,0.4833984375,0.5928467512130737,0.045084635416666664,1.8406500816345215,5.762914657592773,0.3391646444797516,0.246569643182454,0.20880641788244247,0.44763414561748505,0.7894708842039112,0.6254999835941817,0.55281662940979,1.1187406778335571,1.7874885618686678,-0.003239386831410229,0.024914031848311424,0.13889169171452567,0.08643706142902374,0.5691915452480316,1.0,0.16954895108938217,0.49873243272304535,0.8885808944702153,0.1448231115937233,0.6256270706653595,1.690342199802399,1000000,14.058874130249023,14.058874130249023,100.57373205726077,0.07121902704238892
hopper-medium-replay-v2,10.0,1,mpi4,own,3,4,2.5,4096,3,190.14773659570312,0.03944301485926539,0.02629534323951026,0.8419686555862427,3.1922967433929443,0.7978547811508179,3.0139384269714355,0.8297057747840881,0.020728491246700287,0.001411362546766437,0.457763671875,0.1761020263704309,0.19471194929343483,0.26477379436184495,-0.7086140513420105,-11.13593339920044,0.0,8.846274852752686,-0.5988355875015259,-11.90079927444458,-0.00010157048018299975,9.818920135498047,0.4970703125,0.576758623123169,0.06722005208333333,1.9174859523773193,5.737238883972168,0.38830363750457764,0.2084630512308081,0.1791263222694397,0.3774366080760956,0.6548350453376779,0.7167164013212641,0.6298430562019348,1.2995254397392273,2.057629728317261,-0.0008353257435373962,0.02573441807180643,0.11757910251617452,0.06896062940359116,0.5414569973945618,1.0,0.14520347863435745,0.4643567353487015,0.8492282032966626,0.14127742499113083,0.6632539629936218,1.713787305355072,1000000,14.058874130249023,14.058874130249023,100.57373205726077,0.25962790846824646
hopper-medium-replay-v2,10.0,1,mpi4,own,4,4,2.5,4096,3,190.9893351064453,0.03926920838705458,0.026179472258036386,0.620062530040741,3.81235933303833,0.5730171799659729,3.5869555473327637,0.6024379730224609,0.021274738013744354,-0.005041830331997232,0.35302734375,0.19609500201857574,0.20627182586527226,0.26354628246885536,-1.1005405187606812,-10.998285293579102,0.0,8.831369400024414,-1.151033639907837,-12.15406322479248,-0.0016217991942539811,9.342113971710205,0.475830078125,0.6390065550804138,0.09236653645833331,1.9804885387420654,5.777849197387695,0.24916185438632965,0.21504917616236696,0.18993961066007614,0.38333752751350403,0.6526407003402717,0.7940760233123001,0.6804284751415253,1.4757537245750427,2.2721457242965712,-0.0037159163039177656,0.01616143062710762,0.07227433659136306,0.08003658801317215,0.6174011528491974,1.0,0.15015535056591034,0.4896344244480133,0.8713541209697736,0.13505616039037704,0.6546558439731598,1.741594505310059,1000000,14.058874130249023,14.058874130249023,100.57373205726077,0.06795544922351837
hopper-medium-replay-v2,10.0,2,mpi4,own,1,4,2.5,4096,3,188.315674828125,0.03982674308362924,0.026551162055752826,1.5092694759368896,1.5092694759368896,1.3285412788391113,1.3285412788391113,1.646125078201294,0.13444024324417114,-0.09436738615574569,0.122314453125,0.313111197747444,0.33406546441441165,0.20623938764036337,-0.79404616355896,-7.361997127532959,-0.33817049860954285,6.263038635253906,-0.8160109519958496,-8.565971374511719,-0.29326045513153076,6.889275550842285,0.455810546875,0.7183965444564819,0.034423828125,1.8313167095184326,5.8855390548706055,0.19181431829929352,0.5465118005213299,0.4878848046064377,0.9886168539524078,1.532339674234392,0.5465118005213299,0.4878848046064377,0.9886168539524078,1.532339674234392,-0.05532962083816528,0.0032223908929154277,0.13514030426740647,0.17882052809000015,0.9999999403953552,1.0,0.27780357003211975,0.6981736123561859,0.9519591063261033,0.12326963990926743,0.4700785130262375,1.2741742670536047,1000000,13.467208862304688,13.467208862304688,99.54725259042434,
hopper-medium-replay-v2,10.0,2,mpi4,own,2,4,2.5,4096,3,188.315674828125,0.03982674308362924,0.026551162055752826,1.1010586023330688,2.610328197479248,0.9430649280548096,2.271606206893921,1.0010627508163452,0.029638543725013733,-0.0004041572188686615,0.41455078125,0.1973793119419313,0.22129468334023628,0.27427459638834184,-0.33718258142471313,-11.041975021362305,0.0,9.403141975402832,-0.17815203964710236,-11.566455364227295,0.00012792786947102286,10.404140949249268,0.50244140625,0.5908883213996887,0.04703776041666666,1.8541311025619507,6.09442663192749,0.3515876233577728,0.24840068897378842,0.21435514092445374,0.4559175819158554,0.8134815037250523,0.6331114222198266,0.5578848719596863,1.157817542552948,1.8346322178840653,-0.0025277395034208894,0.03146869130432606,0.16798884794116153,0.08116887137293816,0.6356991529464722,1.0,0.16254643350839615,0.5238982439041138,0.9045863240957274,0.14195359498262405,0.6848982572555542,1.8296957671642327,1000000,13.467208862304688,13.467208862304688,99.54725259042434,0.09492138028144836
