env,tau,method,d4rl_score_mean,d4rl_seed_gap,critic_displacement_mean,final_displacement_mean,decoupling_displacement_ratio_mean,canonical_q1_gain_total_mean,own_q1_gain_total_mean,own_secant_q_final_mean,own_prox_residual_final_mean,own_saturation_final_mean,twin_gap_final_mean,path_length_mean,chord_length_mean,path_tortuosity_mean,td_residual_mean,td_target_abs_p99_mean,max_critic_loss_mean
walker2d-expert-v2,4.0,mpi4,112.33945513642195,0.528733809808557,0.025223653505443977,0.029391679470037957,1.0793497431494048,,0.36491839587688446,-1.0113147795200348,0.732092022895813,0.08040364583333334,0.5357043147087097,0.6207550366380019,0.3856926454202494,1.7437562942504883,2.014267511412413,517.2024536132812,2.4214600324630737
walker2d-expert-v2,7.0,mpi4,113.42512953507568,0.2996658814760309,0.025397632689025507,0.03137596514617602,1.1114767482155021,,0.4144938290119171,-0.8079656362533569,0.6587623059749603,0.10642496744791666,0.43142879009246826,0.6234173749653564,0.3992543373990429,1.6864349246025085,1.107804876002092,522.7605178833007,1.4300664067268372
walker2d-expert-v2,10.0,mpi4,114.63325179253508,1.1505989003179167,0.025670870206539576,0.03466135248261715,1.1617138488046508,,0.46208004653453827,-0.7327628433704376,0.6533789038658142,0.13332112630208331,0.45081326365470886,0.6565354881277017,0.4202744758972585,1.681079387664795,1.0856052270065675,525.320085144043,1.3090329766273499
