method,hop,tau,environment,stability,n_seed_cells,r_before_mean,slack_before_mean,r_after_mean,slack_after_mean
p3,3,4.0,halfcheetah-medium-v2,stable,2,0.0017129905073880458,0.0017129905073880458,0.0016196400921177911,0.0016196400921177911
p3,3,4.0,hopper-expert-v2,stable,2,0.002908694363710884,0.002908694363710884,0.0026929172535823387,0.0026929172535823387
p3,3,4.0,hopper-medium-replay-v2,stable,2,0.0005194194462869728,0.0007521421729252964,0.00034278199399806475,0.0006347073250503321
p3,3,4.0,hopper-medium-v2,stable,2,0.0021236181936818976,0.0021236181936818976,0.0019083407652469297,0.0019083407652469297
p3,3,4.0,walker2d-expert-v2,stable,2,0.0013337201616350214,0.0013337201616350214,0.00118206471656368,0.00118206471656368
p3,3,4.0,walker2d-medium-replay-v2,stable,2,0.005044734367500858,0.005044734367500858,0.004776019859621616,0.004776019859621616
p3,3,4.0,walker2d-medium-v2,stable,2,0.0014964651494306924,0.0014964651494306924,0.0013905560411386908,0.0013905560411386908
p3,3,7.0,halfcheetah-expert-v2,stable,2,0.0010646663595967887,0.0010646663595967887,0.0009671825943056156,0.0009671825943056156
p3,3,7.0,halfcheetah-medium-replay-v2,stable,2,0.006260082743993145,0.006260082743993145,0.006034563848853924,0.006034563848853924
p3,3,7.0,halfcheetah-medium-v2,stable,2,0.0008733361192856393,0.0008733361192856393,0.0008030277572870226,0.0008030277572870226
p3,3,7.0,hopper-expert-v2,stable,2,0.0028845321373136557,0.0028845321373136557,0.0026786317223499445,0.0026786317223499445
p3,3,7.0,hopper-medium-replay-v2,stable,2,-0.002065209004143753,0.0,-0.002239579682009385,0.0
p3,3,7.0,hopper-medium-v2,stable,2,0.0015503396256830726,0.0015503396256830726,0.0013054075563325718,0.0013054075563325718
p3,3,7.0,walker2d-expert-v2,collapsed,1,-0.012842784212060643,0.0,-0.012907400193665097,0.0
p3,3,7.0,walker2d-expert-v2,stable,1,0.0013405109619917255,0.0013405109619917255,0.0011499317619616534,0.0011499317619616534
p3,3,7.0,walker2d-medium-replay-v2,stable,2,0.004883307488594113,0.004883307488594113,0.004601202313479824,0.004601202313479824
p3,3,7.0,walker2d-medium-v2,collapsed,1,-0.004681665232491028,0.0,-0.004677963189454459,0.0
p3,3,7.0,walker2d-medium-v2,stable,1,0.0010318765647889805,0.0010318765647889805,0.0008545817912546383,0.0008545817912546383
p3,3,10.0,halfcheetah-expert-v2,stable,2,0.0005645883183755807,0.0005645883183755807,0.0004918345422013637,0.0004918345422013637
p3,3,10.0,halfcheetah-medium-replay-v2,stable,2,0.005137344829363677,0.005137344829363677,0.005024935049859458,0.005024935049859458
p3,3,10.0,halfcheetah-medium-v2,stable,2,0.0006551229387716795,0.0006551229387716795,0.0005069526009373604,0.0005069526009373604
p3,3,10.0,hopper-expert-v2,collapsed,2,-0.01994982866518935,0.0,-0.020235879514950206,0.0
p3,3,10.0,hopper-medium-replay-v2,stable,2,-0.004493741155043196,0.0,-0.004571631177026525,0.0
p3,3,10.0,hopper-medium-v2,stable,2,0.0007925594499638144,0.0007925594499638144,0.0005523759064733902,0.0005523759064733902
p3,3,10.0,walker2d-expert-v2,collapsed,2,-0.004471049351443934,0.0,-0.004521133503306629,0.0
p3,3,10.0,walker2d-medium-replay-v2,stable,2,0.004901024607235627,0.004901024607235627,0.00452765616820372,0.00452765616820372
p3,3,10.0,walker2d-medium-v2,collapsed,1,-0.01960981395314043,0.0,-0.019824564769662878,0.0
p3,3,10.0,walker2d-medium-v2,stable,1,0.0005487551282357117,0.0005487551282357117,0.0004448582000184942,0.0004448582000184942
p3,3,14.0,halfcheetah-expert-v2,collapsed,2,6.617863492319742e-05,0.00013661250286922666,-3.977674177058077e-05,9.419907143648487e-05
p3,3,14.0,halfcheetah-medium-replay-v2,stable,2,0.005995123550299297,0.005995123550299297,0.005775104044976054,0.005775104044976054
p3,3,14.0,halfcheetah-medium-v2,stable,2,0.0007536385545607871,0.0007536385545607871,0.0005090954604582976,0.0005090954604582976
p3,3,14.0,hopper-expert-v2,collapsed,2,-0.024890332751253297,0.0,-0.02499791410175245,0.0
p3,3,14.0,hopper-medium-replay-v2,stable,2,-0.005294293800798933,0.0,-0.005408788633294748,0.0
p3,3,14.0,hopper-medium-v2,stable,2,-0.00028004517442870025,0.0,-0.0005972055014291655,0.0
p3,3,14.0,walker2d-expert-v2,collapsed,2,0.19519693508125968,0.19519693508125968,0.1951668367395749,0.1951668367395749
p3,3,14.0,walker2d-medium-replay-v2,collapsed,1,0.0042766303176478004,0.0042766303176478004,0.0040515843304813615,0.0040515843304813615
p3,3,14.0,walker2d-medium-replay-v2,stable,1,0.00786164205292117,0.00786164205292117,0.007435388136826759,0.007435388136826759
p3,3,14.0,walker2d-medium-v2,collapsed,2,-0.0020402078998325024,0.0,-0.002064044851194602,0.0
p3,3,20.0,halfcheetah-expert-v2,collapsed,2,-0.0009117901204120926,0.0,-0.0010154923946705807,0.0
p3,3,20.0,halfcheetah-medium-replay-v2,stable,2,0.00628231710977456,0.00628231710977456,0.0059980206306526895,0.0059980206306526895
p3,3,20.0,halfcheetah-medium-v2,stable,2,-0.00014281363645007872,0.0003176532357649364,-0.00043307462520747464,9.430625201023446e-05
p3,3,20.0,hopper-expert-v2,collapsed,2,-0.012681470212783097,0.0,-0.012691439367349844,0.0
p3,3,20.0,hopper-medium-replay-v2,stable,2,-0.006028745571502903,0.0,-0.006155168416113632,0.0
p3,3,20.0,hopper-medium-v2,collapsed,1,-0.008076901497220845,0.0,-0.008105128543780538,0.0
p3,3,20.0,hopper-medium-v2,stable,1,-0.0015020861299817057,0.0,-0.002073045207074742,0.0
p3,3,20.0,walker2d-expert-v2,collapsed,2,0.23197112398183162,0.23197112398183162,0.23194815481861486,0.23194815481861486
p3,3,20.0,walker2d-medium-replay-v2,stable,2,0.01124034110165617,0.01124034110165617,0.010859014327315286,0.010859014327315286
p3,3,20.0,walker2d-medium-v2,collapsed,2,-0.0010639064273272325,0.0,-0.0010800628198559536,0.0
p4,2,4.0,halfcheetah-expert-v2,stable,2,0.0014028028881666321,0.0014028028881666321,0.0012822358533224332,0.0012822358533224332
p4,2,4.0,halfcheetah-medium-replay-v2,stable,2,0.015158968270800766,0.015158968270800766,0.014867576822322759,0.014867576822322759
p4,2,4.0,halfcheetah-medium-v2,stable,2,0.0013049067468496878,0.0013049067468496878,0.0011707023863335442,0.0011707023863335442
p4,2,4.0,hopper-expert-v2,stable,2,0.004027930606598562,0.004027930606598562,0.0036824068401107857,0.0036824068401107857
