tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,48.6251,12.4160,105.7126,42.8299,36.0795,90.5238,80.0776,28.6038,106.4999
0.1,48.7814,18.7170,106.0511,43.2811,40.4862,91.1382,78.6797,28.3426,106.6283
0.2,45.1112,22.0075,104.3079,44.3146,42.3206,92.7386,80.8069,51.7517,107.2900
0.4,52.0778,28.3548,99.3751,45.4173,43.4045,92.4457,83.2415,75.7539,107.3795
0.7,49.1550,24.6491,109.8363,46.4777,44.0867,95.0399,83.5858,79.8565,108.4673
1.5,46.0443,56.4863,103.5809,48.6172,46.0761,94.8649,85.3001,79.6537,109.9887
2.5,49.7281,98.0723,111.4795,51.3714,47.7240,93.3408,82.0193,77.8766,110.5871
4,57.1858,98.0629,109.6438,53.0559,49.2034,76.6780,2.3018,82.5920,111.2832
7,51.8255,99.9862,4.1529,55.6585,49.2869,25.9181,2.3019,90.3429,2.3165
10,49.1057,99.3448,1.8196,55.0602,50.0000,9.1363,2.3012,78.5048,9.4333
12,0.5812,100.2533,1.8196,55.1786,46.2259,5.2508,2.3019,21.5189,3.0569
14,0.7429,100.1907,1.8196,53.8984,41.6374,4.5366,2.3019,8.8133,9.2557
17,0.5812,96.8529,1.8196,49.4980,44.7551,1.5568,2.3019,21.9594,12.3964
20,0.7327,52.6380,1.8196,48.2073,41.9908,1.3813,2.3019,13.2544,0.7780
24,,,,,,,,,
28,,,,,,,,,
34,,,,,,,,,
40,,,,,,,,,
