tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,42.2679,21.7160,106.7969,43.2942,40.5795,92.6686,68.7270,38.6802,107.2825
0.1,45.7746,29.6809,109.7926,44.2271,41.6738,92.6738,78.4929,25.0852,107.8821
0.2,43.3381,38.0194,110.4167,44.6822,42.4458,92.7990,79.5185,30.9609,108.1582
0.4,48.9822,53.0191,101.9167,45.2890,43.3384,93.8857,78.8772,70.0091,107.9349
0.7,46.8833,57.7725,110.0027,46.9454,43.4766,95.2423,82.7870,76.3335,109.8876
1.5,47.5348,99.4217,99.2004,49.9347,46.2045,95.8853,84.7364,85.6860,110.9457
2.5,54.2982,98.6795,107.7687,51.8081,47.5676,94.4105,87.1059,0.5277,111.6790
4,57.8403,99.6887,108.2570,54.1506,48.8548,85.2748,3.1615,86.3557,111.8493
7,58.0705,99.0363,1.8137,54.2442,50.3041,30.4315,2.4123,93.7070,113.9514
10,94.6767,100.1281,5.4229,57.7308,50.3703,26.3547,2.4618,7.8950,-0.2440
12,1.8137,100.5032,1.8137,55.5225,41.4780,16.5614,2.4632,4.7048,-0.2424
14,31.9841,99.7664,1.8137,51.9511,46.3753,9.5640,2.4618,45.3972,-0.2679
17,0.5810,100.3399,1.8137,54.1962,45.7041,2.5016,2.4618,75.8897,-0.2679
20,0.5810,100.4911,1.8137,50.8668,41.4600,-0.0633,2.4618,82.5729,-0.2679
24,0.7426,71.1997,1.8137,48.7094,35.1983,-0.2987,2.4618,0.3028,-0.2679
28,0.7331,25.4242,1.8137,42.5333,33.8108,0.8700,2.4618,1.4616,2.4618
34,0.7371,6.7095,1.8137,29.8745,21.8605,2.2778,2.4618,25.8734,2.4618
40,0.7399,15.6841,1.8137,24.7553,25.5649,1.2365,2.4618,26.5093,2.4618
