tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,40.8175,60.6372,99.8208,43.3804,41.0564,90.9438,78.6934,20.2759,106.9985
0.1,40.4413,36.3238,105.9171,43.4831,42.1301,90.1032,74.9663,31.4564,107.6820
0.2,41.6589,54.4841,91.7260,44.1609,42.2825,91.7587,81.2090,62.0739,107.0331
0.4,42.6776,67.1398,92.3317,45.1771,42.2810,92.1472,80.9909,67.8212,107.5795
0.7,45.2381,57.2738,101.9661,46.8000,44.3543,92.4199,82.3991,83.3105,108.4821
1.5,44.0281,56.9259,103.7367,49.2354,45.9007,96.6961,85.5661,84.7903,109.6423
2.5,43.7257,100.3549,107.5960,51.4932,48.1758,94.0763,86.1494,85.9002,110.2004
4,54.8807,100.5433,104.1714,52.8117,50.6332,67.3133,88.9650,88.9909,111.0295
7,71.5629,100.9878,106.3549,55.5526,50.0753,46.7315,2.3258,95.1417,-0.3922
10,53.9839,100.2608,3.9663,54.1077,49.8103,10.0045,2.3283,22.3357,-0.2508
12,0.7795,30.8042,3.1957,53.2367,41.9894,8.6067,2.3272,83.9801,-0.2627
14,0.7981,101.1627,4.2203,53.4726,48.4769,3.3331,2.3272,22.3585,11.5394
17,0.5801,101.4555,2.2428,48.5667,40.1331,3.1705,2.3272,69.3019,-0.2683
20,0.7779,100.2479,1.8200,47.0659,39.0652,4.2332,2.3317,1.1776,-0.2683
24,0.8041,98.8040,1.8200,48.6573,32.4234,1.4187,2.3272,76.7121,-0.2683
28,0.7325,1.5600,1.8200,49.1962,27.4158,1.5109,2.3272,63.7354,-0.2683
34,0.7325,8.2689,1.7259,38.3184,18.6843,1.2160,2.3272,0.7072,-0.2683
40,0.7325,1.8413,1.8200,41.1680,25.3066,-1.4118,2.3272,70.6117,-0.2683
