environment,T,seed,hop_index,ref_actor,new_actor,delta_L,q_term,transport_mean_sq,mean_q_gain,return_delta,j_ref,j_new,label,optimizer_diverged,c_k
halfcheetah-expert-v2,10,0,2,mart_mu1,mart_mu2,-2.7106139601627832e-05,-0.0029682305223401886,0.0029411243827385607,0.6148517062538303,-21.73341193970323,97.89240884034699,76.15899690064376,objective_up_return_down,False,0.004827555152160232
halfcheetah-expert-v2,10,0,3,mart_mu2,mart_mu3,0.0007538846689092559,-0.00173285623927419,0.002486740908183446,0.3591591626754962,-31.223315999163717,76.15899690064376,44.93568090148004,objective_not_up_return_down,False,0.004824758545391316
halfcheetah-expert-v2,10,0,4,mart_mu3,mart_mu4,0.0014618796926777512,-0.0010303695563797129,0.002492249249057464,0.2136325123719871,-24.66038828911776,44.93568090148004,20.275292612362282,objective_not_up_return_down,False,0.004823093380962465
halfcheetah-expert-v2,10,1,2,mart_mu1,mart_mu2,0.0002634408341226184,-0.0028840477395666816,0.0031474885736893,0.5989668648689985,-25.861795114817326,92.05886600364889,66.19707088883156,objective_not_up_return_down,False,0.004815037206102308
halfcheetah-expert-v2,10,1,3,mart_mu2,mart_mu3,0.0009251753607813309,-0.0015258988398803445,0.0024510742006616753,0.3170824870467186,-5.543059056865481,66.19707088883156,60.65401183196608,objective_not_up_return_down,False,0.004812308790978797
halfcheetah-expert-v2,10,1,4,mart_mu3,mart_mu4,0.0018659645841776083,-0.0011517400081074885,0.003017704592285097,0.23940097074955702,-25.123166160772506,60.65401183196608,35.530845671193575,objective_not_up_return_down,False,0.004810924552650836
halfcheetah-expert-v2,14,0,2,mart_mu1,mart_mu2,-0.0009401468139626371,-0.004885989640873043,0.003945842826910406,0.749050909653306,-14.216792126236271,69.77673909513113,55.55994696889486,objective_up_return_down,False,0.006522907292288712
halfcheetah-expert-v2,14,0,3,mart_mu2,mart_mu3,0.0005389343530035427,-0.0025367101919643756,0.0030756445449679182,0.3891640082001686,-10.570725664775104,55.55994696889486,44.98922130411976,objective_not_up_return_down,False,0.006518357655160147
halfcheetah-expert-v2,14,0,4,mart_mu3,mart_mu4,0.0016253531924019214,-0.0015845218329506954,0.0032098750253526168,0.24317381158471107,-27.324131182877238,44.98922130411976,17.66509012124252,objective_not_up_return_down,False,0.006516005250009077
halfcheetah-expert-v2,14,1,2,mart_mu1,mart_mu2,-0.0006170986898922362,-0.004802735225730265,0.004185636535838029,0.7323026321828365,-47.55052855483771,80.46524819709614,32.91471964225843,objective_up_return_down,False,0.006558402243365349
halfcheetah-expert-v2,14,1,3,mart_mu2,mart_mu3,0.0004885946265223181,-0.0028047694172292316,0.0032933640437515497,0.42795291543006897,-27.028113210657303,32.91471964225843,5.886606431601129,objective_not_up_return_down,False,0.006553920574207547
halfcheetah-expert-v2,14,1,4,mart_mu3,mart_mu4,0.0013565206832990406,-0.001982844003550073,0.0033393646868491137,0.30266400054097176,8.224786320509569,5.886606431601129,14.111392752110698,other_obj_not_up_return_up,False,0.006551304416798835
halfcheetah-expert-v2,20,0,2,mart_mu1,mart_mu2,-0.001132334471436949,-0.006825381530789037,0.005693047059352088,0.7517896145582199,-28.23370854516,48.44814012464906,20.21443157948906,objective_up_return_down,False,0.00907884519633846
halfcheetah-expert-v2,20,0,3,mart_mu2,mart_mu3,0.000340185379089886,-0.003931981291575646,0.004272166670665532,0.43338804692029953,-18.61534394892206,20.21443157948906,1.599087630566997,objective_not_up_return_down,False,0.009072657447561633
halfcheetah-expert-v2,20,0,4,mart_mu3,mart_mu4,0.002309351439185033,-0.00214483591738508,0.004454187356570113,0.2364993691444397,3.2804586304760104,1.599087630566997,4.879546261043007,other_obj_not_up_return_up,False,0.009069097837952973
halfcheetah-expert-v2,20,1,2,mart_mu1,mart_mu2,-0.003921153627568052,-0.010688145500113901,0.006766991872545849,1.3500035852193832,-40.17590786456547,49.67812234172869,9.502214477163221,objective_up_return_down,False,0.007917123789250543
halfcheetah-expert-v2,20,1,3,mart_mu2,mart_mu3,0.0007273211961202767,-0.005551437027740743,0.00627875822386102,0.7019422799348831,4.8102313017785825,9.502214477163221,14.312445778941804,other_obj_not_up_return_up,False,0.00790868022404311
halfcheetah-expert-v2,20,1,4,mart_mu3,mart_mu4,0.003019096968788707,-0.0024969548040355977,0.005516051772824305,0.31589843332767487,-10.696476788132369,14.312445778941804,3.615968990809435,objective_not_up_return_down,False,0.007904296256656514
halfcheetah-expert-v2,4,0,2,mart_mu1,mart_mu2,0.001282370133749868,-0.0008980185998227048,0.002180388733572573,0.4404688058421016,-0.712980411480487,95.94425747122946,95.23127705974898,other_obj_not_up_return_flat,False,0.002038779109693922
halfcheetah-expert-v2,4,0,3,mart_mu2,mart_mu3,0.0010845088932331932,-0.0005662394807343029,0.0016507483739674961,0.27785719372332096,-6.477359782926442,95.23127705974898,88.75391727682253,objective_not_up_return_down,False,0.0020378795061830987
halfcheetah-expert-v2,4,0,4,mart_mu3,mart_mu4,0.0016056007498110483,-0.00043783038275279105,0.0020434311325638393,0.21490475721657276,1.5746931078861621,88.75391727682253,90.3286103847087,other_obj_not_up_return_up,False,0.0020373228979364212
halfcheetah-expert-v2,4,1,2,mart_mu1,mart_mu2,0.0011245240047958018,-0.0008946529832922829,0.0020191769880880846,0.441986259073019,1.664836607144025,95.88598843542908,97.55082504257311,other_obj_not_up_return_up,False,0.002024164699528544
halfcheetah-expert-v2,4,1,3,mart_mu2,mart_mu3,0.0013607416784656668,-0.0005336188902373139,0.0018943605687029806,0.2637408599257469,-11.27969667360253,97.55082504257311,86.27112836897058,objective_not_up_return_down,False,0.0020232696988534424
halfcheetah-expert-v2,4,1,4,mart_mu3,mart_mu4,0.0019540132101327212,-0.00040130226449326217,0.0023553154746259832,0.19839606061577797,9.211425043001626,86.27112836897058,95.4825534119722,other_obj_not_up_return_up,False,0.0020227330283056413
