source,environment,T,seed,actor_id,n_episodes,normalized_score_mean,raw_return_mean,episode_length_mean,n_timeout,timeout_rate,reward_per_step_pooled,reward_per_step_episode_mean
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,4,1,mart_mu4,10,52.757146393140246,6269.715182204548,1000.0,10,1.0,6.269715182204548,6.269715182204548
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,4,1,two_actor_deploy,10,52.66217264182417,6257.924021020279,1000.0,10,1.0,6.257924021020279,6.257924021020278
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,4,1,two_actor_target,10,47.87936730780519,5664.130179828193,1000.0,10,1.0,5.664130179828193,5.664130179828193
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,0,mart_mu1,10,48.99770645079939,5802.97398573237,1000.0,10,1.0,5.80297398573237,5.80297398573237
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,0,mart_mu2,10,52.98048478614457,6297.443043366789,1000.0,10,1.0,6.297443043366789,6.297443043366789
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,0,mart_mu3,10,55.341044638593964,6590.510773341053,1000.0,10,1.0,6.5905107733410535,6.5905107733410535
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,0,mart_mu4,10,56.50028061417741,6734.4319941972935,1000.0,10,1.0,6.734431994197293,6.734431994197294
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,0,two_actor_deploy,10,56.2003590487717,6697.196195133534,1000.0,10,1.0,6.697196195133534,6.697196195133536
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,0,two_actor_target,10,49.67286099202137,5886.795630234384,1000.0,10,1.0,5.886795630234384,5.886795630234384
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,1,mart_mu1,10,49.240942918082844,5833.172228424566,1000.0,10,1.0,5.833172228424566,5.833172228424566
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,1,mart_mu2,10,54.29198316470418,6460.267914030657,1000.0,10,1.0,6.460267914030657,6.460267914030657
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,1,mart_mu3,10,56.056479396558174,6679.333278834272,1000.0,10,1.0,6.679333278834273,6.679333278834274
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,1,mart_mu4,10,57.04646570951049,6802.24185119751,1000.0,10,1.0,6.80224185119751,6.80224185119751
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,1,two_actor_deploy,10,56.33117924166404,6713.437756187779,1000.0,10,1.0,6.713437756187779,6.71343775618778
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,7,1,two_actor_target,10,49.27836096246116,5837.817745594846,1000.0,10,1.0,5.837817745594847,5.837817745594846
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,0,mart_mu1,10,50.889636153734784,6037.86044401676,1000.0,10,1.0,6.03786044401676,6.03786044401676
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,0,mart_mu2,10,55.56656661479302,6618.509730264508,1000.0,10,1.0,6.618509730264508,6.618509730264508
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,0,mart_mu3,10,57.14771594554097,6814.812249191028,1000.0,10,1.0,6.814812249191029,6.814812249191029
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,0,mart_mu4,10,58.08364292668374,6931.0092587693125,1000.0,10,1.0,6.931009258769313,6.931009258769313
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,0,two_actor_deploy,10,58.44630480664813,6976.034380161206,1000.0,10,1.0,6.976034380161206,6.976034380161207
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,0,two_actor_target,10,50.946840347172,6044.962447000611,1000.0,10,1.0,6.044962447000611,6.04496244700061
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,1,mart_mu1,10,51.063204872730815,6059.409311086546,1000.0,10,1.0,6.059409311086546,6.059409311086546
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,1,mart_mu2,10,55.38849290596738,6596.4015606455605,1000.0,10,1.0,6.59640156064556,6.59640156064556
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,1,mart_mu3,10,56.74229506758421,6764.478521679873,1000.0,10,1.0,6.764478521679873,6.764478521679872
