env,tau,method,seed,checkpoint,d4rl_score,collapsed,n_states,dead_zone,action_l2_mean,action_l2_max,degenerate_mu1_eq_muk,delta_qhat_q1_mean,delta_qhat_q1_median,delta_mc_rho_mean,delta_mc_rho_median,critic_error_rho_at_ak_mean,critic_error_rho_at_ak_median,actual_policy_value_difference_mean,target_lag_smoothing_at_ak_mean,deployment_continuation_at_ak_mean,learned_positive_outside_dead_zone,mc_negative_outside_dead_zone,wrong_positive_ranking_count,sign_discordance_outside_dead_zone_count,both_outside_dead_zone_count,near_degenerate_mu1_muk_max_l2_lt_1e-3
halfcheetah-medium-v2,10.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau10_mpi2_seed0/params_1000000.pkl,58.00806470122869,0,12,1.0,0.19458547420799732,0.40726128220558167,0,0.1504058837890625,0.147705078125,-1.4842953387901237,-2.357611528091354,-46.1984668563097,-43.717952042482466,52.396976547830384,-52.88324409850807,46.98443246561555,1,6,0,0,0,0
halfcheetah-medium-v2,10.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau10_mpi2_seed1/params_1000000.pkl,58.30389896668813,0,12,1.0,0.20908749476075172,0.2879679203033447,0,0.3742319742838542,0.303131103515625,5.244247120361507,3.698505202917545,-60.11709167296336,-60.70256541120483,45.74431042185074,-42.3946899789598,40.28017659418203,2,2,1,1,2,0
halfcheetah-medium-v2,10.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau10_mpi3_seed0/params_1000000.pkl,57.55291286234537,0,12,1.0,0.2705965538819631,0.470912903547287,0,0.8771082560221354,0.877960205078125,4.447865947918189,4.939479042714538,-59.92353282256167,-65.62989217216762,60.58333031037421,-39.647606765020775,68.4648541250685,6,5,1,1,6,0
halfcheetah-medium-v2,10.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau10_mpi3_seed1/params_1000000.pkl,60.66763713855035,0,12,1.0,0.22807225212454796,0.5485401153564453,0,0.9137293497721354,0.709381103515625,-7.45339615843407,-3.8269973803132302,-48.99560966801855,-52.07596318870492,80.16305097473547,-73.79215465825907,71.39668869734668,5,8,4,4,5,0
halfcheetah-medium-v2,14.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed0/params_1000000.pkl,61.167643783172046,0,12,1.0,0.20787462902565798,0.4254130423069,0,0.5088221232096354,0.146881103515625,-1.6124991490385838,0.35604871105221036,-48.476783222655094,-49.305433478859925,65.82789476622523,-55.23824725788162,68.09393834071138,3,6,1,1,3,0
halfcheetah-medium-v2,14.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed1/params_1000000.pkl,59.90783117530639,0,12,1.0,0.19464110086361566,0.3486487865447998,0,0.2375768025716146,0.0843505859375,-3.748482700987779,-1.38616326688458,-46.90568089185401,-49.107916711025666,36.040692111446496,-72.35160219966478,43.54069032352691,1,7,1,1,1,0
halfcheetah-medium-v2,14.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau14_mpi3_seed0/params_1000000.pkl,61.38748018124998,0,12,1.0,0.25825975835323334,0.5448923110961914,0,0.8411509195963541,0.587646484375,6.955665625059353,3.0749503905088886,-50.07363244907057,-50.89676700636079,66.93162884211205,-68.9586118602262,57.05181403497954,4,3,0,0,4,0
halfcheetah-medium-v2,14.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau14_mpi3_seed1/params_1000000.pkl,60.859146303990485,0,12,1.0,0.2923605926334858,0.5709244608879089,0,0.8035532633463541,0.34759521484375,-3.7165041450919034,-0.07378546422228283,-49.97347244684777,-54.514951892822126,74.58146756598613,-62.3458383607553,68.61516276294796,4,6,3,3,4,0
halfcheetah-medium-v2,20.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed0/params_1000000.pkl,61.55777396316084,0,12,1.0,0.2630270092437665,0.5413740873336792,0,0.5642903645833334,0.4342041015625,4.646927410622671,5.1845040317706435,-45.332751039855715,-41.925442979053855,21.328679823621105,-66.50980821365697,21.77548395702927,2,4,1,1,2,0
halfcheetah-medium-v2,20.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed1/params_1000000.pkl,61.949621447087765,0,12,1.0,0.19269259460270405,0.30502569675445557,0,0.1860020955403646,0.200469970703125,-2.387182848012524,0.8433490176215628,-46.274053524789736,-47.13450775642934,62.22207766288866,-81.32942500081833,44.960079063718304,1,5,1,1,1,0
halfcheetah-medium-v2,20.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau20_mpi3_seed0/params_1000000.pkl,61.38309574057167,0,12,1.0,0.37283294399579364,0.9334738850593567,0,0.6379547119140625,0.342498779296875,-2.608953493249762,0.9506410995606984,-45.79515211836004,-47.27165280886294,62.21996347617553,-59.35431088999237,63.06646448273022,2,5,2,2,3,0
halfcheetah-medium-v2,20.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau20_mpi3_seed1/params_1000000.pkl,63.03312015817365,0,12,1.0,0.33757753546039265,0.8175194263458252,0,0.9340845743815104,0.52545166015625,-2.223476970102098,-1.108482110833279,-52.324322206797575,-54.14956133061327,59.85051361347166,-70.0503908595833,58.23832839506489,4,6,2,2,4,0
halfcheetah-medium-v2,4.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau4_mpi2_seed0/params_1000000.pkl,52.23684123647537,0,12,1.0,0.14455470132331052,0.44563812017440796,0,0.29211680094401044,0.15191650390625,2.9034455606462806,5.620182960033077,-57.04454546839921,-61.089050495036986,27.428407565227847,-47.712899920475046,33.575092109513456,1,5,0,0,1,0
halfcheetah-medium-v2,4.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau4_mpi2_seed1/params_1000000.pkl,55.93803171326817,0,12,1.0,0.15419892718394598,0.30745866894721985,0,0.5520299275716146,0.3130340576171875,-2.962443187613848,-7.718493435713015,-66.31383110935973,-66.21787240803957,51.89679683863159,-40.33746801461211,60.573767809605606,2,7,1,1,2,0
halfcheetah-medium-v2,4.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau4_mpi3_seed0/params_1000000.pkl,53.89746372095229,0,12,1.0,0.1900100422402223,0.3031104803085327,0,1.0306905110677083,0.9673614501953125,3.0259470342782655,2.2764006354522053,-73.36390110669048,-72.9938586891758,81.01757165288653,-41.372231797362,80.21346787613558,5,4,1,1,5,0
halfcheetah-medium-v2,4.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau4_mpi3_seed1/params_1000000.pkl,53.27348125692657,0,12,1.0,0.16143319942057133,0.3255646824836731,0,0.3039347330729167,0.292144775390625,0.44457110950519524,-0.4040541500130246,-65.68337954164879,-64.84260540368646,50.22620479362691,-51.41856251158229,50.315586987252566,1,6,0,0,1,0
halfcheetah-medium-v2,7.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau7_mpi2_seed0/params_1000000.pkl,56.772331417694296,0,12,1.0,0.17924574514230093,0.4248904585838318,0,0.4628651936848958,0.271820068359375,2.7107869319635305,0.5043412510776193,-51.58574999624434,-51.555783284990184,46.43386518247686,-53.11864288657168,40.258303671098865,2,5,1,1,2,0
halfcheetah-medium-v2,7.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau7_mpi2_seed1/params_1000000.pkl,57.44093148495861,0,12,1.0,0.22357832298924527,0.9592676758766174,0,0.9702377319335938,0.2098388671875,3.2231877588436455,10.054043945210026,-62.30797048926627,-64.87206458789649,30.933185105659067,-60.580876824758015,28.2018998444217,2,5,1,1,2,0
halfcheetah-medium-v2,7.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau7_mpi3_seed0/params_1000000.pkl,56.58806324844725,0,12,1.0,0.21244359388947487,0.6344866156578064,0,0.9263534545898438,0.556854248046875,11.201642025983048,1.5748273126890808,-64.45522295365467,-64.37667174380044,61.15297177337926,-43.65698025742754,57.40805129541092,3,5,2,2,3,0
halfcheetah-medium-v2,7.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau7_mpi3_seed1/params_1000000.pkl,57.49236408610612,0,12,1.0,0.23534130429228148,0.4863572120666504,0,0.8393681844075521,0.5155181884765625,-2.276254754667955,-2.776309909060842,-57.495061550399924,-60.07599817531832,53.13746061704334,-51.12186128676441,54.76168457872891,3,6,2,2,3,0
hopper-medium-replay-v2,10.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau10_mpi2_seed0/params_1000000.pkl,99.19416291686012,0,12,1.0,0.1670212515940269,0.3289930820465088,0,0.11698277791341145,0.114776611328125,-0.09688464352951105,-0.05308110194420124,-34.95232951409539,-36.104232618654834,-1.2862443347816044,-14.119011640497527,-1.370341110641159,0,1,0,0,0,0
hopper-medium-replay-v2,10.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau10_mpi2_seed1/params_1000000.pkl,99.14608499889266,0,12,1.0,0.16725312856336436,0.34658533334732056,0,0.11274083455403645,0.029693603515625,-0.04109391838688955,-0.0009109427510907153,-33.85553958723559,-35.72129661987816,-1.9879990824838387,-10.888234455656336,-1.8968056953111159,0,2,0,0,0,0
hopper-medium-replay-v2,10.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau10_mpi3_seed0/params_1000000.pkl,99.281114953505,0,12,1.0,0.22203972128530344,0.5147300958633423,0,0.40427907307942706,0.299713134765625,0.20075768027568586,-0.08119449957044367,-33.86204052282828,-35.29966644040442,4.612485066966826,-10.849266425520023,3.954232440205852,1,1,0,0,0,0
hopper-medium-replay-v2,10.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau10_mpi3_seed1/params_1000000.pkl,100.05549483118752,0,12,1.0,0.23500999715179205,0.4448167681694031,0,0.3293596903483073,0.22480010986328125,-0.0033220010239839817,-0.020950614773681764,-43.79707244080199,-42.89337098932438,1.3016775016567312,-5.859718820277441,1.798826456891419,1,1,0,0,0,0
hopper-medium-replay-v2,14.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau14_mpi2_seed0/params_1000000.pkl,101.71993324985573,0,12,1.0,0.19749520470698675,0.42693865299224854,0,0.04282379150390625,0.01153564453125,-0.14935207229873035,0.0707752080019759,-26.621603787554232,-26.018591991308625,-0.12755121672683836,-16.203632633371736,-0.061853918230421336,0,2,0,0,0,0
hopper-medium-replay-v2,14.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau14_mpi2_seed1/params_1000000.pkl,67.54142728784716,0,12,1.0,0.16711543189982572,0.3454289734363556,0,0.06332906087239583,0.0527496337890625,-0.06794054566110219,0.011943396868844047,-30.60622185096265,-26.00174617776554,9.56433086772349,-12.673793840584144,10.219844176940464,1,3,0,0,1,0
hopper-medium-replay-v2,14.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau14_mpi3_seed0/params_1000000.pkl,100.76144225906218,0,12,1.0,0.2641618239382903,0.5634890198707581,0,0.16362635294596353,0.03228759765625,0.3123230147240624,0.1647693992519521,-34.349019018387835,-33.4479837835855,3.064386740186606,-12.17221457578537,3.0885372864259417,1,2,0,0,1,0
hopper-medium-replay-v2,14.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau14_mpi3_seed1/params_1000000.pkl,100.23296510840105,0,12,1.0,0.28840310499072075,0.6087470054626465,0,0.22859827677408853,0.31568145751953125,-0.051170690692700305,-0.19704123925311023,-35.37595594367041,-36.74420737346193,-2.0460835739227434,-6.284069779760661,-1.5377982456822725,0,1,0,0,0,0
hopper-medium-replay-v2,20.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau20_mpi2_seed0/params_1000000.pkl,96.44617335362732,0,12,1.0,0.2430861092483004,0.4246763288974762,0,0.2910321553548177,-0.0068206787109375,0.2232890712258353,0.3437822720792383,-26.277010760145647,-23.592383230213414,-2.767709858802789,-7.518455823361587,-2.9950791627467575,2,1,0,0,1,0
hopper-medium-replay-v2,20.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau20_mpi2_seed1/params_1000000.pkl,33.02416722402576,0,12,1.0,0.2849551203350226,0.5889528393745422,0,0.31185468037923175,0.2829132080078125,0.7154242387223597,-0.04371455010731751,-18.109185009007543,-16.744639220843055,6.256823622851603,-11.846899234604479,4.465448159356808,1,3,0,0,0,0
hopper-medium-replay-v2,20.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau20_mpi3_seed0/params_1000000.pkl,100.11333711195589,0,12,1.0,0.2108253991852204,0.2984350621700287,0,0.26558812459309894,0.23740386962890625,-0.0391771220473629,-0.040780562725785785,-32.02957418639514,-30.44443875672809,-3.4141261434822923,-12.657056395380351,-2.210191814914628,0,1,0,0,0,0
hopper-medium-replay-v2,20.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau20_mpi3_seed1/params_1000000.pkl,99.6500877972906,0,12,1.0,0.24068769440054893,0.43321287631988525,0,-0.0035158793131510415,0.0582122802734375,-0.2206519280683731,0.07525336256961168,-33.406077560429246,-34.43307451970128,-1.0923199573457747,-7.9278285116574665,-1.103854862307524,0,1,0,0,0,0
hopper-medium-replay-v2,4.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau4_mpi2_seed0/params_1000000.pkl,98.62117710179572,0,12,1.0,0.1435264820853869,0.3430081307888031,0,0.0715497334798177,0.0777740478515625,0.5260439378126094,0.2608185941131751,-46.1502761477061,-47.55384685622215,1.615843604271679,-10.15813925683696,1.5741360038637282,0,0,0,0,0,0
hopper-medium-replay-v2,4.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau4_mpi2_seed1/params_1000000.pkl,99.1298822128758,0,12,1.0,0.16112236368159452,0.2576087713241577,0,0.3652051289876302,0.31170654296875,1.0030754180245463,0.5683084145994144,-44.292319344783245,-43.77721972097223,-1.7331102005313757,-14.647177353071768,-1.7682600133492816,1,1,0,0,1,0
hopper-medium-replay-v2,4.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau4_mpi3_seed0/params_1000000.pkl,99.54513946449767,0,12,1.0,0.20851810524861017,0.4351499080657959,0,0.03246307373046875,0.00489044189453125,-0.07352417089832859,-0.1810090006035523,-48.96354816545079,-47.447321045018725,11.280563759149743,-10.75772821893664,9.427753779544394,0,1,0,0,0,0
hopper-medium-replay-v2,4.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau4_mpi3_seed1/params_1000000.pkl,98.35778305910094,0,12,1.0,0.15729428175836802,0.28668928146362305,0,0.013322194417317709,0.012420654296875,0.2507700208407897,-0.05322670125488571,-54.47542679287219,-56.43384826148156,-5.582178751159854,-13.242589689625282,-5.511003662716358,0,2,0,0,0,0
hopper-medium-replay-v2,7.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau7_mpi2_seed0/params_1000000.pkl,101.23930272180854,0,12,1.0,0.10949215494717161,0.2237207591533661,0,0.05551910400390625,0.03466033935546875,-0.6089341176673125,-0.27304171738859395,-41.08513123853756,-40.53290480905926,12.298266846734089,-8.566230562159452,12.463247086111679,0,3,0,0,0,0
hopper-medium-replay-v2,7.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-replay-v2_tau7_mpi2_seed1/params_1000000.pkl,99.64178300980952,0,12,1.0,0.16390856293340525,0.2976647615432739,0,0.15835698445638022,-0.05834197998046875,-0.31983189616551994,-0.07162974798561095,-43.5259211783542,-44.00575289514285,-0.5928502018698273,-8.261919373870143,-0.6336576858859738,1,3,0,0,0,0
hopper-medium-replay-v2,7.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau7_mpi3_seed0/params_1000000.pkl,99.1261234791178,0,12,1.0,0.212156114478906,0.27994051575660706,0,0.16269429524739584,0.22747039794921875,0.38152475675066927,0.700604148131788,-41.90116835446832,-41.367003891851624,6.00856754902216,-6.148614161888105,6.442123634854117,0,2,0,0,0,0
hopper-medium-replay-v2,7.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-replay-v2_tau7_mpi3_seed1/params_1000000.pkl,96.83849982599703,0,12,1.0,0.16323423075179258,0.3717080056667328,0,0.1270014444986979,0.119476318359375,-0.04474289918693349,-0.6271091061511243,-47.5225153721809,-49.15630871515992,-5.772185651110353,-9.448769513536655,-5.568809460197916,0,2,0,0,0,0
hopper-medium-v2,10.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau10_mpi2_seed0/params_1000000.pkl,100.75236086239072,0,12,1.0,0.2061327357466022,0.7449220418930054,0,0.6402498881022135,0.124725341796875,0.00015575296976303812,0.13855789908754446,-17.027262939799176,-19.74604863791302,4.420802652199498,-11.864032368793024,4.814478779647267,1,1,1,1,1,0
hopper-medium-v2,10.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau10_mpi2_seed1/params_1000000.pkl,0.8777013869923834,1,12,1.0,0.4901699299613635,0.8475621342658997,0,454.5729166666667,524.2109375,-0.48170726181780693,0.04682861253092302,148413.69841261808,141759.06414324656,-8.775647819808489,4.47007801597517,-8.266445101671941,10,3,3,3,5,0
hopper-medium-v2,10.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau10_mpi3_seed0/params_1000000.pkl,101.68562558904912,0,12,1.0,0.21792822207013765,0.775518536567688,0,0.800134023030599,0.226348876953125,-0.29890734121603657,-0.058280273753368306,-14.086118451273814,-14.901780714466042,15.677079132453388,-10.323874962273647,15.580863727873627,1,2,0,0,0,0
hopper-medium-v2,10.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau10_mpi3_seed1/params_1000000.pkl,97.38393610753971,0,12,1.0,0.15087060630321503,0.29621925950050354,0,0.28636805216471356,0.1681060791015625,0.14952352067142036,0.03625799488540338,-13.865165590329015,-15.04339614786906,8.275156997332585,-7.1999746274991665,8.060941054188625,1,1,0,0,1,0
hopper-medium-v2,14.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau14_mpi2_seed0/params_1000000.pkl,0.5808310974709244,1,12,1.0,0.28627951000195634,1.608741283416748,0,2291998720.0,2211840.0,-0.11923528349955148,-1.003393001908215e-06,288649439918.79846,286749442054.17114,-0.33136052921304787,0.22941118968198335,-0.21529328961287472,8,0,0,0,0,0
hopper-medium-v2,14.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau14_mpi2_seed1/params_1000000.pkl,100.6182840931881,0,12,1.0,0.1658987750609716,0.44073545932769775,0,0.40532684326171875,0.080413818359375,0.14793591666651906,-0.17742972532474255,-15.802891188533286,-19.10604173108581,4.570392819397355,-8.778210111844722,4.768367952072332,1,0,0,0,1,0
hopper-medium-v2,14.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau14_mpi3_seed0/params_1000000.pkl,89.85745474521019,0,12,1.0,0.1701197965691487,0.37593844532966614,0,0.23145167032877603,0.1464080810546875,0.20051533306945876,0.16672284187205832,-12.19920009282468,-13.316165515625485,5.410915603708806,-11.669924136871268,5.514647553900481,1,0,0,0,0,0
hopper-medium-v2,14.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau14_mpi3_seed1/params_1000000.pkl,86.41817407564847,0,12,1.0,0.27996847468117875,0.542746901512146,0,0.5834096272786459,0.32408905029296875,0.30100130876283276,0.13568560780024086,-25.242636017275448,-27.163838516585628,4.776105000256297,-8.85900221547181,4.505706478403231,4,1,0,0,1,0
hopper-medium-v2,20.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau20_mpi2_seed0/params_1000000.pkl,0.5811757628824449,1,12,1.0,9.59634780883789e-06,0.00011515617370605469,0,-327680.0,0.0,2.6702679271443468e-08,0.0,2899006149977.674,3201092550662.351,7.977334121056501e-08,0.24013701394573683,5.307066193912154e-08,0,0,0,0,0,1
hopper-medium-v2,20.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau20_mpi2_seed1/params_1000000.pkl,0.7446291720255115,1,12,1.0,0.8764734814564387,1.4664860963821411,0,59727041877.333336,64254509056.0,-0.15043873762870372,-0.13607144926287373,3489583682902.9663,3313799528450.3965,3.5878855471288063,0.2978838304953074,3.7123370686366357,12,0,0,0,0,0
hopper-medium-v2,20.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau20_mpi3_seed0/params_1000000.pkl,0.7326837906838056,1,12,1.0,1.223303144176801,1.9584343433380127,0,42432058709.333336,42749067264.0,0.33439896438934297,-0.07557871809222572,1785878817452.1357,1697181925378.9092,3.6170152464136685,0.35461970871120946,3.339454597916982,12,0,0,0,2,0
hopper-medium-v2,20.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau20_mpi3_seed1/params_1000000.pkl,102.31045708983757,0,12,1.0,0.2672784039750695,0.5215808749198914,0,0.2670148213704427,0.19481658935546875,0.029483325460413806,0.1870215077530304,-13.987631059638801,-18.2430468799609,16.216079940080036,-11.543132751040721,15.261534916427783,2,0,0,0,0,0
hopper-medium-v2,4.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau4_mpi2_seed0/params_1000000.pkl,60.54528814168838,0,12,1.0,0.07193374012907346,0.18508049845695496,0,0.17770894368489584,0.109130859375,0.12194528827428286,0.016967999676310797,-19.28321910718191,-19.448332680273836,6.818063291002571,-4.429787270826703,6.748990238589667,0,0,0,0,0,0
hopper-medium-v2,4.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau4_mpi2_seed1/params_1000000.pkl,58.504775047083236,0,12,1.0,0.08167589191968243,0.13522936403751373,0,0.11175155639648438,0.072021484375,0.13886709135367425,0.004036114147510261,-20.52825430056858,-20.614095726363928,6.4080167837004085,-6.54814345158987,6.641990358223019,0,0,0,0,0,0
hopper-medium-v2,4.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau4_mpi3_seed0/params_1000000.pkl,55.82887349601117,0,12,1.0,0.09372593183070421,0.16475443542003632,0,0.120147705078125,0.111602783203125,0.20979834002128683,0.007474505253725283,-20.06003170699735,-20.892483291423304,7.101730440109165,-7.049955582817678,6.709653769663177,0,0,0,0,0,0
hopper-medium-v2,4.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau4_mpi3_seed1/params_1000000.pkl,60.40822056172398,0,12,1.0,0.10063316222901146,0.1706385612487793,0,0.20369593302408853,0.09674072265625,0.04921860666705887,-0.06086972581968553,-20.400117430223855,-21.46336496416717,7.558811470438054,-9.012500413641325,7.214648794413793,0,1,0,0,0,0
hopper-medium-v2,7.0,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau7_mpi2_seed0/params_1000000.pkl,97.21316369147769,0,12,1.0,0.08112671319395304,0.19230204820632935,0,0.1180864969889323,0.04788970947265625,0.35494819090137736,0.05190174938800851,-16.127436282737364,-15.545791007013975,2.044762501324717,-11.858792998745315,2.154628321578708,0,0,0,0,0,0
hopper-medium-v2,7.0,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/hopper-medium-v2_tau7_mpi2_seed1/params_1000000.pkl,69.27638683202647,0,12,1.0,0.12404138408601284,0.2089081108570099,0,0.2638816833496094,0.130462646484375,-0.020441221941001213,0.05590356022571541,-14.427489401991318,-17.045152746917694,3.51603481237534,-10.12507311589714,3.7199428464230024,0,2,0,0,0,0
hopper-medium-v2,7.0,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau7_mpi3_seed0/params_1000000.pkl,97.78300505490807,0,12,1.0,0.15459387780477604,0.36974745988845825,0,0.28987375895182294,0.0977020263671875,0.07574277355890995,0.1669768662583806,-18.07591966763248,-17.01587735846033,7.358425069347814,-6.291922564667051,7.426687571654665,0,2,0,0,0,0
hopper-medium-v2,7.0,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/hopper-medium-v2_tau7_mpi3_seed1/params_1000000.pkl,91.05273365328065,0,12,1.0,0.14279848927011093,0.22613292932510376,0,0.24447504679361978,0.166107177734375,0.1318084032873017,0.11665288388721251,-17.72539850744835,-19.820059859492403,6.842967199391225,-6.116759003745973,7.050096781862358,0,0,0,0,0,0
