method,cells,score_mean,collapse_cells,critic_displacement_median,final_displacement_median
mpi3,45,57.53004959706277,10,0.09890641623032526,0.18673442190817724
td3,45,28.87416968868966,22,0.19552597377598224,0.19552597377598224
