env,tau,seed,method,total_hops,checkpoint,explicit_q_term,q_scale_norm,config_option_inferred,eval_step,final_critic_loss,max_critic_loss,d4rl_score,td_residual_mean,td_residual_p50,td_residual_p90,td_residual_p99,td_residual_max,q_data_abs_mean,q_data_abs_p50,q_data_abs_p90,q_data_abs_p99,q_data_abs_max,td_target_abs_mean,td_target_abs_p50,td_target_abs_p90,td_target_abs_p99,td_target_abs_max,target_actor_abs_mean,target_actor_abs_p50,target_actor_abs_p90,target_actor_abs_p99,target_actor_abs_max
hopper-medium-v2,4.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau4_expl2_seed0/params_1000000.pkl,False,True,False,1000000,3.585559129714966,6.283069610595703,57.18580032529641,2.4288369878795493,0.8307972550392151,4.881329870224,19.706106185913065,189.01773071289062,240.91209297347814,255.00170135498047,295.73524475097656,303.73280548095704,307.0064697265625,241.09475130680948,255.67716217041016,295.93932189941404,303.6404342651367,307.03955078125,0.4853612525543743,0.44316406548023224,0.9428556859493256,0.9999995023012161,1.0
hopper-medium-v2,4.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau4_expl2_seed1/params_1000000.pkl,False,True,False,1000000,3.698930025100708,4.981500625610352,49.70440722704766,2.731609161598044,0.8252673745155334,4.892908096313479,22.381259078979475,185.8633270263672,240.6369593576528,255.73782348632812,293.8273620605469,300.3114172363281,304.13287353515625,240.58130341302603,255.6458511352539,293.93015747070314,300.8802682495117,304.9512023925781,0.485122970915351,0.4491390734910965,0.9517551958560944,0.9999992430210114,1.0
hopper-medium-v2,7.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau7_expl2_seed0/params_1000000.pkl,False,True,False,1000000,3.494839668273926,9.85575008392334,51.82546408794517,2.279518686159463,0.6473442614078522,3.8586300373077393,19.311442394256545,255.767822265625,246.954080930911,262.65711975097656,301.41815490722655,308.9282861328125,312.8851013183594,247.1172996191308,262.6801300048828,301.76023559570314,309.04693237304684,313.74810791015625,0.48578157620901646,0.4489114433526993,0.9449902772903442,0.9999971717596055,1.0
hopper-medium-v2,7.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau7_expl2_seed1/params_1000000.pkl,False,True,False,1000000,3.014173984527588,48.9407958984375,74.8985857826769,2.8936973835175195,0.713096022605896,4.317324829101563,19.75563840866084,386.845947265625,244.93630989827216,259.9895324707031,297.9704925537109,306.06045684814455,310.260009765625,244.75620653573424,260.1309814453125,298.22332153320315,306.07476806640625,309.6475524902344,0.4839035527278763,0.4485347121953964,0.9419874846935272,0.9999922454357147,0.9999996423721313
hopper-medium-v2,10.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau10_expl2_seed0/params_1000000.pkl,False,True,False,1000000,3.1029579639434814,1091.64990234375,49.105707932567256,2.21621483307581,0.9034005999565125,4.658687305450441,18.777636756896953,78.32101440429688,247.53664096817374,264.0757751464844,300.1327301025391,308.3312609863281,310.3207702636719,247.83444478083402,263.9659423828125,300.34026794433595,308.940168762207,310.25970458984375,0.4821998448986733,0.44312989711761475,0.9362592101097107,0.9999642699956894,0.9999976754188538
hopper-medium-v2,10.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau10_expl2_seed1/params_1000000.pkl,False,True,False,1000000,3.075155735015869,1091.6239013671875,67.12615056701817,2.7102475888550543,0.6693233251571655,4.842826986312867,20.93100322723386,264.7801208496094,247.84188439697027,264.3665771484375,301.18357543945314,308.96813720703125,310.4125671386719,248.05661003571004,264.6210632324219,302.2554840087891,309.19399810791015,310.98980712890625,0.48126695215599585,0.44231536984443665,0.9308973550796509,0.9999501913785934,0.9999996423721313
hopper-medium-v2,14.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau14_expl2_seed0/params_1000000.pkl,False,True,False,1000000,3.4199504656120297e+22,3.4199504656120297e+22,0.7429364161710422,4.438592898054019e+22,2.2618241509158306e+22,1.1884615169510539e+23,2.3329626449374843e+23,2.989076902922668e+23,543941168808.5625,534170533888.0,1001027646259.2003,1287622835568.64,1321679192064.0,648691326864.2571,646630277120.0,1174756773068.8003,1362867636142.0798,1404106833920.0,0.8180199161688506,0.9983774125576019,1.0,1.0,1.0
hopper-medium-v2,14.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau14_expl2_seed1/params_1000000.pkl,False,True,False,1000000,9.21947462173725e+22,9.21947462173725e+22,0.5806781629045685,1.1315296622718906e+23,6.778388966073582e+22,2.8174124032926528e+23,5.896456483786438e+23,1.798925761492215e+24,624596400379.625,563015548928.0,1080473039667.2001,1543291053015.0396,1878810951680.0,836497426968.0071,771339517952.0,1355062679961.6003,1914289335828.48,2209707458560.0,0.9261425004284926,0.9999982118606567,1.0,1.0,1.0
hopper-medium-v2,20.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau20_expl2_seed0/params_1000000.pkl,False,True,False,1000000,1.248267572605878e+23,1.248267572605878e+23,0.7326837906838056,1.588707892400023e+23,8.660027117746143e+22,3.952750017485599e+23,7.765009372698484e+23,1.0196038587671985e+24,1231215016832.0,1170868600832.0,2026306312601.6003,2342123465605.12,2536369291264.0,1404065864608.007,1321416785920.0,2276495248588.8003,2585856510525.44,2738037194752.0,0.9142965737116052,0.9999738931655884,1.0,1.0,1.0
hopper-medium-v2,20.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-v2_tau20_expl2_seed1/params_1000000.pkl,False,True,False,1000000,2.4935687142091995e+23,2.4935687142091995e+23,1.819903610444258,3.207056759879414e+23,1.808789545396082e+23,7.89659285165698e+23,1.3021664728022627e+24,2.1125168078655756e+24,1287335498604.0,1238017376256.0,2483364062822.4004,3120506501857.2793,3364208771072.0,1723365076357.0696,1729581875200.0,2928734162124.8,3379645678878.7197,3563964596224.0,0.9593771931540687,1.0,1.0,1.0,1.0
