env,tau,seed,method,total_hops,checkpoint,eval_step,final_critic_loss,max_critic_loss,d4rl_score,q_data_abs_mean,q_data_abs_p99,td_residual_mean,td_residual_p50,td_residual_p90,td_residual_p99,td_target_abs_mean,td_target_abs_p50,td_target_abs_p90,td_target_abs_p99,path_length_mean,path_length_p50,path_length_p90,path_length_p99,chord_length_mean,chord_length_p50,chord_length_p90,chord_length_p99,critic_displacement_sq_mean_metric_mean,critic_displacement_sq_mean_metric_p50,critic_displacement_sq_mean_metric_p90,critic_displacement_sq_mean_metric_p99,final_displacement_sq_mean_metric_mean,final_displacement_sq_mean_metric_p50,final_displacement_sq_mean_metric_p90,final_displacement_sq_mean_metric_p99,decoupling_displacement_ratio,path_tortuosity_mean
halfcheetah-medium-v2,4.0,0,td3,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau4_seed0/params_1000000.pkl,1000000,28.283546447753906,52.120155334472656,52.55501555283176,502.5999755859375,539.0802612304688,28.10769720858184,9.54479169845581,58.430912017822266,310.3771881103541,503.9308761488646,512.7846374511719,530.2969360351562,540.706918334961,0.41283028675661626,0.3706989884376526,0.6846320033073425,1.2137162744998937,0.41283028675661626,0.3706989884376526,0.6846320033073425,1.2137162744998937,0.03687949072746832,0.022902957163751125,0.0781201720237732,0.2455179519951346,0.03687949072746832,0.022902957163751125,0.0781201720237732,0.2455179519951346,0.9999998211860657,1.0
halfcheetah-medium-v2,4.0,0,mpi3,3,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau4_mpi3_seed0/params_1000000.pkl,1000000,32.58223342895508,72.39107513427734,53.89746372095229,448.2005615234375,482.6839599609375,35.67407973657578,8.251823425292969,63.15154266357422,421.14091186523467,449.38034174451604,457.6607360839844,474.30323791503906,484.15396575927736,0.6396497455025383,0.588268905878067,0.990476667881012,1.7510463953018203,0.4411286142330937,0.3988028019666672,0.7327517569065094,1.2921532690525073,0.02946679683098452,0.017465122044086456,0.0618556197732687,0.20339462533593194,0.04223464130912191,0.026507279835641384,0.08948765695095062,0.27827743291854934,1.1972031593322754,1.6039270162582397
halfcheetah-medium-v2,4.0,1,td3,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau4_seed1/params_1000000.pkl,1000000,23.619792938232422,34.8612174987793,53.21404461769833,506.70843505859375,543.533935546875,26.737819912925715,6.546013832092285,51.613582611083984,340.4746887207038,507.1765234749764,516.11376953125,534.0767517089844,544.3738830566407,0.4096363867602122,0.36975158751010895,0.683439701795578,1.207607287168511,0.4096363867602122,0.36975158751010895,0.683439701795578,1.207607287168511,0.036430148870756796,0.022786038927733898,0.077848419547081,0.24306896254420618,0.036430148870756796,0.022786038927733898,0.077848419547081,0.24306896254420618,0.9999998211860657,1.0
halfcheetah-medium-v2,4.0,1,mpi3,3,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau4_mpi3_seed1/params_1000000.pkl,1000000,29.476688385009766,53.661415100097656,53.27348125692657,450.57110595703125,484.8903503417969,30.045691872912812,7.16740608215332,52.563026428222656,397.31250915527346,451.1078139934689,459.42108154296875,476.0452117919922,485.7382278442383,0.6189546472705842,0.5671967566013336,0.9620862007141113,1.6709164261817944,0.4370638888412941,0.39453384280204773,0.7160015404224396,1.3160916090011612,0.02919901585972795,0.016880402341485023,0.06236228533089161,0.2103190347552302,0.0414289546781319,0.025942825712263584,0.08544303476810455,0.2886833235621459,1.1911537647247314,1.559265375137329
halfcheetah-medium-v2,7.0,0,td3,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau7_seed0/params_1000000.pkl,1000000,23.079547882080078,42.26837158203125,56.53405207509182,532.339111328125,569.5093383789062,27.994459394820296,9.488304615020752,52.97786521911621,290.0949813842806,533.9134266087785,542.44921875,560.2172241210938,571.0964294433594,0.46093910719810083,0.41575828194618225,0.7603684961795807,1.3363887131214145,0.46093910719810083,0.41575828194618225,0.7603684961795807,1.3363887131214145,0.04552304320967693,0.02880915906280279,0.09636009112000465,0.29765580892562876,0.04552304320967693,0.02880915906280279,0.09636009112000465,0.29765580892562876,0.9999998807907104,1.0
halfcheetah-medium-v2,7.0,0,mpi3,3,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau7_mpi3_seed0/params_1000000.pkl,1000000,32.45460510253906,77.09651184082031,56.58806324844725,476.0646057128906,511.86248779296875,30.59856442580508,8.966703414916992,55.49299430847168,348.80558013916124,477.3674313160591,486.04957580566406,503.36436462402344,513.6847900390625,0.692617986629557,0.6331865191459656,1.0743007063865662,1.8399877727031708,0.499737320589702,0.4549393206834793,0.8369330167770386,1.3939672529697427,0.032086749090392885,0.01935142371803522,0.06804100051522255,0.22222451642155705,0.05320115808339665,0.03449496440589428,0.1167428269982338,0.32385768145322846,1.287649393081665,1.5326125621795654
halfcheetah-medium-v2,7.0,1,td3,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau7_seed1/params_1000000.pkl,1000000,15.675976753234863,33.70478439331055,57.54999629458176,534.028076171875,571.59423828125,22.273358690495115,6.283769369125366,43.53383827209473,275.7835494995129,534.9561144579202,544.2539367675781,562.0005493164062,572.5254547119141,0.4620087468692873,0.42147499322891235,0.7594362497329712,1.271279430389405,0.4620087468692873,0.42147499322891235,0.7594362497329712,1.271279430389405,0.045209677609676646,0.029606862924993038,0.09612390771508217,0.26935869902372395,0.045209677609676646,0.029606862924993038,0.09612390771508217,0.26935869902372395,0.9999998807907104,1.0
halfcheetah-medium-v2,7.0,1,mpi3,3,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau7_mpi3_seed1/params_1000000.pkl,1000000,34.36933135986328,47.64606475830078,57.49236408610612,476.4796142578125,511.5553283691406,27.319643963793396,7.010083913803101,51.43199920654297,356.7501098632822,477.1015252424404,485.6292266845703,502.8487548828125,512.6920440673829,0.6923627092182869,0.6304385662078857,1.0784856677055359,1.873332697153092,0.5044923594841748,0.45407480001449585,0.8427716195583344,1.455569970607758,0.03214227871435682,0.019317143596708775,0.06776697933673859,0.2202153764665134,0.05489267188784197,0.034363988786935806,0.11837733909487724,0.35311407595872907,1.3068290948867798,1.5101521015167236
halfcheetah-medium-v2,10.0,0,td3,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau10_seed0/params_1000000.pkl,1000000,22.96575927734375,47.58925247192383,57.86957846261852,546.7742919921875,585.4840698242188,31.20936212223023,11.387752532958984,60.93507385253906,320.0619949340824,548.7603796683252,558.054443359375,576.3302612304688,587.5495239257813,0.5301721326331972,0.486664816737175,0.8676344156265259,1.4462318658828748,0.5301721326331972,0.486664816737175,0.8676344156265259,1.4462318658828748,0.059181975280303334,0.039473773911595345,0.12546491622924805,0.34859808683395443,0.059181975280303334,0.039473773911595345,0.12546491622924805,0.34859808683395443,0.9999998807907104,1.0
halfcheetah-medium-v2,10.0,0,mpi3,3,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau10_mpi3_seed0/params_1000000.pkl,1000000,23.63869857788086,50.090431213378906,57.55291286234537,488.94384765625,524.3231201171875,27.343756402163535,7.556542873382568,50.14962387084961,360.0137939453136,490.0941430197563,498.5821228027344,515.4356079101562,525.1814788818359,0.7495785517421609,0.6861823201179504,1.1590598821640015,1.947119224071503,0.5506386691549778,0.5010217726230621,0.9254559576511383,1.5629263997077958,0.03487771641517057,0.021410632878541946,0.07286764308810234,0.24521689191460688,0.06493931064166958,0.041837140917778015,0.14274483919143677,0.4071238428354272,1.364519476890564,1.491267442703247
