env,tau,td3_score,mpi3_score,score_delta_mpi3_minus_td3,td3_dcrit,mpi3_dcrit,mpi3_dfinal,td3_collapsed,mpi3_collapsed,collapse_discordant
halfcheetah-expert-v2,4.0,81.04508826030715,77.75435149697277,-3.2907367633343796,0.030171530977181504,0.0263082556248051,0.031206087163826446,False,False,False
halfcheetah-expert-v2,7.0,27.78261360246682,39.43558273103103,11.652969128564212,0.046340238022221314,0.027445174064855138,0.03678727813463745,False,False,False
halfcheetah-expert-v2,10.0,8.114657081719406,29.625898497342206,21.5112414156228,0.06710468579022688,0.02930827968134686,0.0443931167451197,True,False,True
halfcheetah-expert-v2,14.0,1.4221668526245659,12.736953706812264,11.314786854187698,0.09032855091506065,0.0340436492870273,0.05893406937789791,True,True,False
halfcheetah-expert-v2,20.0,-1.113329866629813,10.490817340158705,11.604147206788518,0.15891072925145977,0.04395386728257833,0.08852808865380268,True,True,False
halfcheetah-medium-replay-v2,4.0,48.107736941746836,49.30708341707454,1.199346475327701,0.10742677750419105,0.09393803145565838,0.1406838021719814,False,False,False
halfcheetah-medium-replay-v2,7.0,50.57292895705736,51.6758635793337,1.1029346222763436,0.12280969551324894,0.09890641623032526,0.1604463234854282,False,False,False
halfcheetah-medium-replay-v2,10.0,52.82958761832994,52.827569797385294,-0.0020178209446441997,0.14233556377545575,0.10556048079575042,0.18195483942462154,False,False,False
halfcheetah-medium-replay-v2,14.0,52.03442609301608,53.76215064428641,1.7277245512703274,0.16399188541172371,0.11158912459167336,0.19974148624121213,False,False,False
halfcheetah-medium-replay-v2,20.0,54.648379508474804,55.88110068444057,1.2327211759657644,0.19552597377598224,0.12288932949730658,0.23519048861331626,False,False,False
halfcheetah-medium-v2,4.0,52.88453008526504,53.58547248893943,0.7009424036743894,0.03665481979911256,0.029332906345356236,0.04183179799362691,False,False,False
halfcheetah-medium-v2,7.0,57.04202418483679,57.04021366727669,-0.0018105175601021983,0.04536636040967679,0.03211451390237485,0.05404691498561931,False,False,False
halfcheetah-medium-v2,10.0,59.00015680466768,59.11027500044786,0.11011819578017423,0.057164403534509134,0.03496161329578129,0.06532939263333581,False,False,False
halfcheetah-medium-v2,14.0,60.31487503082483,61.12331324262023,0.8084382117953979,0.06854507795027143,0.039084283502752726,0.08100038651085484,False,False,False
halfcheetah-medium-v2,20.0,62.84784832702999,62.20810794937266,-0.6397403776573327,0.08897324787507443,0.04527041694698575,0.10220557746501058,False,False,False
hopper-expert-v2,4.0,13.217494574411552,101.55328586018629,88.33579128577475,0.10114487197048128,0.04957700917592961,0.05226592826729253,True,False,True
hopper-expert-v2,7.0,1.8226370075776117,101.26454900099392,99.44191199341631,0.8290146420995557,0.04967878383889596,0.05289797957078565,True,False,True
hopper-expert-v2,10.0,1.8197557649616316,5.564343919461986,3.744588154500354,0.8177620791508469,0.09564778107357719,0.3188840771416359,True,True,False
hopper-expert-v2,14.0,1.8993890360848478,1.8558567552837493,-0.0435322808010985,1.0452536434115567,0.4811270912768473,0.7240539762661988,True,True,False
hopper-expert-v2,20.0,1.819755711533696,1.819755711533696,0.0,0.9409885813842829,0.8262670698613765,0.9877610028729915,True,True,False
hopper-medium-replay-v2,4.0,71.36492955599942,98.9514612617993,27.58653170579987,0.1432474083235482,0.12290693403041786,0.19490920601720396,False,False,False
