env,tau,method,d4rl_score_mean,d4rl_seed_gap,critic_displacement_mean,final_displacement_mean,decoupling_displacement_ratio_mean,canonical_q1_gain_total_mean,own_q1_gain_total_mean,own_secant_q_final_mean,own_prox_residual_final_mean,own_saturation_final_mean,twin_gap_final_mean,path_length_mean,chord_length_mean,path_tortuosity_mean,td_residual_mean,td_target_abs_p99_mean,max_critic_loss_mean
halfcheetah-expert-v2,4.0,mpi3,77.75435149697277,3.083644448255029,0.0263082556248051,0.031206087163826446,1.089130938053131,1.669613778591156,1.906189739704132,-8.95378303527832,0.6673567295074463,0.19671630859375,1.6389799118041992,0.5482424899573743,0.3889678016269045,1.5095731019973755,114.0625713914169,1063.877996826172,164.66991424560547
halfcheetah-expert-v2,4.0,td3,81.04508826030715,8.807225806819133,0.030171530977181504,0.030171530977181504,0.9999998211860657,1.6168829202651978,1.9913693070411682,-5.616230726242065,0.6443600058555603,0.173095703125,1.5411735773086548,0.3847450413613842,0.3847450413613842,1.0,83.74587786363145,1144.2410552978515,146.32683563232422
halfcheetah-expert-v2,7.0,mpi3,39.43558273103103,0.008880867397905945,0.027445174064855138,0.03678727813463745,1.15776127576828,1.9711374044418335,2.4920156002044678,-9.792579174041748,0.6791705191135406,0.25128173828125,1.7954001426696777,0.5872775564357653,0.4263019275840634,1.462550401687622,81.38415422275511,1093.5026885986329,187.44864654541016
halfcheetah-expert-v2,7.0,td3,27.78261360246682,43.98723441707153,0.046340238022221314,0.046340238022221314,0.9999998509883881,0.9554772078990936,7.41827929019928,-4.415292143821716,0.5664234161376953,0.28031412760416663,3.7018513679504395,0.4786280925209212,0.4786280925209212,1.0,236.7847102404544,1713.940609741211,945.5571022033691
halfcheetah-expert-v2,10.0,mpi3,29.625898497342206,17.764675165770512,0.02930827968134686,0.0443931167451197,1.229872703552246,2.039528012275696,3.2317076921463013,-8.317756652832031,0.6920917630195618,0.29559326171875,1.8863762021064758,0.6339868932209356,0.472017577382303,1.4210625290870667,69.24231797497623,1140.085122680664,142.71744537353516
halfcheetah-expert-v2,10.0,td3,8.114657081719406,13.689504038773372,0.06710468579022688,0.06710468579022688,0.9999999105930328,-0.5119789242744446,10.60560131072998,-2.764150857925415,0.5586069524288177,0.3067830403645833,5.076631247997284,0.5658777924868446,0.5658777924868446,1.0,171.38940350865232,1794.846325683594,997.105712890625
halfcheetah-expert-v2,14.0,mpi3,12.736953706812264,12.274213388685862,0.0340436492870273,0.05893406937789791,1.3135254979133606,1.9473610520362854,4.785133600234985,-11.722639560699463,0.7243970334529877,0.33915201822916663,2.272616386413574,0.7090542023679518,0.5438991905102739,1.3778359293937683,83.585000073233,1208.2176849365235,131.94345474243164
halfcheetah-expert-v2,14.0,td3,1.4221668526245659,1.360088099038891,0.09032855091506065,0.09032855091506065,0.9999999403953552,0.7557632625102997,14.712190628051758,-11.454960823059082,0.6055995225906372,0.36004638671875,6.177938461303711,0.6732447582721761,0.6732447582721761,1.0,316.90038421418285,1821.4193786621095,752.4876403808594
halfcheetah-expert-v2,20.0,mpi3,10.490817340158705,16.520164553047078,0.04395386728257833,0.08852808865380268,1.4163562059402466,1.3614412546157837,8.103601694107056,-14.057957649230957,0.7681055665016174,0.36106363932291663,3.5577205419540405,0.8319726587396872,0.6688753689850273,1.3098153471946716,137.9882890035451,1403.9601776123047,219.69325256347656
halfcheetah-expert-v2,20.0,td3,-1.113329866629813,0.18190401360728803,0.15891072925145977,0.15891072925145977,0.9999999403953552,-4.684115052223206,26.056445598602295,6.911508083343506,0.536345362663269,0.43505859375,7.934178829193115,0.8564521335565587,0.8564521335565587,1.0,400.04986551177717,3340.0231262207035,2939.5585021972656
