env,tau,seed,method,hop,total_hops,n_states,action_dim,eta_tau_over_k,q_scale_own_ref,explicit_q_term,q_scale_norm,h_eff,h_eff_over_eta,target_coefficient_d_eta,h_eff_over_target_coefficient,clipped_target_h_eff,clipped_target_h_eff_over_eta,clipped_target_h_eff_over_target_coefficient,explicit_raw_fidelity,projection_attenuation,actor_fit_realization,target_fit_error,directional_realization,cos_step_grad_ratio,raw_target_component_clip_fraction,raw_target_state_clip_fraction,raw_to_clip_norm_mean,actor_to_clipped_target_norm_mean,actor_saturation_component_fraction,actor_saturation_state_fraction,actual_step_norm_mean,actual_step_norm_p50,actual_step_norm_p90,actual_step_norm_p99,actual_step_norm_max,clip_target_step_norm_mean,clip_target_step_norm_p50,clip_target_step_norm_p90,clip_target_step_norm_p99,clip_target_step_norm_max,own_q_gain_mean,own_linear_gain_mean,own_nonlinear_correction_mean,own_step_sq_mean,own_kappa_q_ratio_of_means,own_kappa_grad_ratio_of_means,own_grad_prev_norm_mean,own_grad_next_norm_mean,canonical_q_gain_mean,canonical_linear_gain_mean,canonical_nonlinear_correction_mean,canonical_step_sq_mean,canonical_kappa_q_ratio_of_means,canonical_kappa_grad_ratio_of_means,canonical_grad_prev_norm_mean,canonical_grad_next_norm_mean,eval_step,final_critic_loss,max_critic_loss,d4rl_score
hopper-medium-v2,4.0,0,exp2m,1,2,512,3,2.0,240.91207985742187,False,True,2.0634669899595153,1.0317334898210901,6.0,0.34391116442006725,2.989144830830828,1.4945724079425522,0.4981908043081534,0.8180586898208124,0.6844376881386756,4.351242962256728,18.50042182523678,0.7164253505238999,0.11547994438263269,0.07682291666666667,0.212890625,0.02849334478378296,0.3303273320198059,0.0546875,0.158203125,0.335929590411979,0.291944295167923,0.6176289379596711,1.1144884395599362,1.5412771701812744,0.06616011082496698,0.05124376900494099,0.1163459897041321,0.35857856124639415,0.7086079120635986,0.2202969789505005,0.2585750222206116,-0.03827804699540138,0.16608095169067383,-0.460956470937281,-0.505994090570791,3.6150624752044678,3.4451076984405518,0.23596590757369995,0.29608115553855896,-0.0601152628660202,0.16608095169067383,-0.7239272009754498,-0.7199315541820372,3.897616147994995,3.81504225730896,1000000,3.585559129714966,6.283069610595703,57.18580032529641
hopper-medium-v2,4.0,0,exp2m,2,2,512,3,2.0,241.13238625390625,False,True,1.3811758256898425,0.6905879093919818,6.0,0.23019597056464713,2.481377695921705,1.2406888417574082,0.41356294863101256,0.6309309212022961,0.6331644443958213,1.2719766798802385,1.4937762759472932,0.5620712619844875,0.28583076248662237,0.06770833333333333,0.193359375,0.029743116348981857,0.08874838054180145,0.055338541666666664,0.16015625,0.09082582463724975,0.08194511011242867,0.15179057419300085,0.25513471841812124,0.3494805693626404,0.06145970237457732,0.04711607284843922,0.11412787884473802,0.2964606609940528,0.3636445701122284,0.14467322826385498,0.15573585033416748,-0.01106263417750597,0.010918665677309036,-2.0263692236039406,-1.9137714619350776,3.4451076984405518,3.384586811065674,0.1377716064453125,0.14424386620521545,-0.006472242064774036,0.010918665677309036,-1.1855360954121048,-1.1333052507446826,3.81504225730896,3.810807228088379,1000000,3.585559129714966,6.283069610595703,57.18580032529641
hopper-medium-v2,4.0,1,exp2m,1,2,512,3,2.0,240.636963890625,False,True,2.3007168645877525,1.150358426542084,6.0,0.3834528101255374,2.942333908203968,1.4711669467461495,0.4903889838833464,0.8257044528887517,0.6766402337360818,4.870655730303963,23.07188885997513,0.825664938775718,0.11635260379142226,0.07421875,0.208984375,0.025594796985387802,0.32675817608833313,0.056640625,0.16796875,0.33202522703686554,0.28674595057964325,0.6141942977905275,1.0769669580459593,1.5463051795959473,0.06069182041028398,0.045939359813928604,0.1140079133212567,0.3152109795808792,0.46953877806663513,0.18389758467674255,0.23070462048053741,-0.04680703207850456,0.16293495893478394,-0.5745486359927986,-0.43048181159869575,3.2890939712524414,3.1558666229248047,0.17732486128807068,0.2055567502975464,-0.02823188155889511,0.16293495893478394,-0.34654171223606584,-0.6061346499051544,3.7770276069641113,3.7477340698242188,1000000,3.698930025100708,4.981500625610352,49.70440722704766
hopper-medium-v2,4.0,1,exp2m,2,2,512,3,2.0,240.82086281640625,False,True,1.7471580017510266,0.8735789965076184,6.0,0.2911929998065161,2.6093102058123407,1.304655096382895,0.4348850335772484,0.6133282015829875,0.6515784836891623,1.4270516888075455,1.6585823538258493,0.688943309543017,0.31317233170927206,0.06640625,0.1875,0.02642383798956871,0.08456001430749893,0.057291666666666664,0.16796875,0.09166066353918723,0.07977284491062164,0.16094897538423544,0.31561686277389495,0.45007631182670593,0.057212371299101505,0.04414702579379082,0.10863229557871822,0.26826169669628125,0.4217468500137329,0.1555568128824234,0.15926824510097504,-0.003711430821567774,0.011781697161495686,-0.6300327738067135,-0.9029497175369761,3.1558666229248047,3.1169655323028564,0.16959206759929657,0.17468135058879852,-0.005089277867227793,0.011781697161495686,-0.8639287664287372,-0.8884933063027122,3.7477340698242188,3.675339698791504,1000000,3.698930025100708,4.981500625610352,49.70440722704766
hopper-medium-v2,7.0,0,exp2m,1,2,512,3,3.5,246.95407204492187,False,True,4.20492886082346,1.2014082425169652,10.5,0.40046941493512056,5.106266343079385,1.4589332367114436,0.48631107983012134,0.751266626011702,0.6722573351481439,3.175662878419888,9.32873355215702,0.8780444889859347,0.1875907252669014,0.08723958333333333,0.240234375,0.046224649995565414,0.32716208696365356,0.0546875,0.158203125,0.3428907158013317,0.29980655014514923,0.6295057475566868,1.1059774947166436,1.58530855178833,0.0962345684720276,0.07601559162139893,0.17691660374403015,0.42805772513151136,0.7940791249275208,0.2679559588432312,0.355282723903656,-0.08732674270868301,0.17191168665885925,-1.0159488203059712,-0.7850612859091656,3.1554746627807617,2.9814412593841553,0.2984781563282013,0.35838744044303894,-0.059909287840127945,0.17191168665885925,-0.6969774483584051,-0.7801171933904203,3.897616147994995,3.822904586791992,1000000,3.494839668273926,9.85575008392334,51.82546408794517
hopper-medium-v2,7.0,0,exp2m,2,2,512,3,3.5,247.2220468984375,False,True,2.592626913678829,0.7407505446489496,10.5,0.24691684868663433,4.4460493494257864,1.2702998104922252,0.4234332709706146,0.5799477888507694,0.630883532388786,1.056111449248635,0.933114765579781,0.5911272390672513,0.3705986178037874,0.076171875,0.212890625,0.04587605595588684,0.09766218811273575,0.051432291666666664,0.14453125,0.10314513924458879,0.08770202100276947,0.18672659993171697,0.3368379282951353,0.46306443214416504,0.08983583425560937,0.0727633498609066,0.16587093770504008,0.3710995823144912,0.5692533254623413,0.19475609064102173,0.19498682022094727,-0.00023073179181665182,0.014888834208250046,-0.030993915792174278,-0.14518835338107988,2.9814412593841553,2.9293417930603027,0.19122061133384705,0.19335991144180298,-0.0021392989438027143,0.014888834208250046,-0.2873693772169782,-0.3580199942771147,3.822904586791992,3.770810127258301,1000000,3.494839668273926,9.85575008392334,51.82546408794517
hopper-medium-v2,7.0,1,exp2m,1,2,512,3,3.5,244.93631081445312,False,True,2.8743616243424253,0.8212461760371325,10.5,0.27374872586713694,4.09634966602324,1.170385615519824,0.39012853924970997,0.7699821147353385,0.5997441908300235,3.471334945397738,11.584414013816208,0.7328674698279539,0.13149256110559476,0.08723958333333333,0.244140625,0.05058179050683975,0.3308143615722656,0.055338541666666664,0.158203125,0.34080937360158714,0.29288245737552643,0.6286139488220215,1.0864591562747952,1.56541907787323,0.08991616931962199,0.07090087234973907,0.17218849807977676,0.375091472864151,0.6746751666069031,0.20444098114967346,0.24600866436958313,-0.041567668318748474,0.16697350144386292,-0.49789536027962944,-0.4006768102661863,3.069958209991455,3.0106046199798584,0.239222452044487,0.26598942279815674,-0.026766987517476082,0.16697350144386292,-0.32061357859716855,-0.5340817439288487,3.7770276069641113,3.702775716781616,1000000,3.014173984527588,48.9407958984375,74.8985857826769
hopper-medium-v2,7.0,1,exp2m,2,2,512,3,3.5,245.1407480703125,False,True,2.5181320994096987,0.7194663120614387,10.5,0.23982210447728358,3.4984626083070673,0.9995607423747028,0.33318691475954265,0.5590027762865235,0.5644754758162337,1.1791486195632097,0.9274664607158735,0.7314614059235277,0.3603181948137656,0.078125,0.21875,0.052644290030002594,0.0916302353143692,0.056640625,0.16015625,0.1105037866072962,0.0992421843111515,0.18650106340646744,0.35476170986890776,0.5554909110069275,0.08605487101522158,0.06749559566378593,0.17525264024734513,0.36080331891775097,0.5461510419845581,0.21256625652313232,0.21183598041534424,0.0007302791345864534,0.01676097884774208,0.08714034013390938,0.4023441220342989,3.0106046199798584,2.997049331665039,0.21416042745113373,0.20928913354873657,0.004871291574090719,0.01676097884774208,0.5812654155839909,0.2919894080350221,3.702775716781616,3.7076196670532227,1000000,3.014173984527588,48.9407958984375,74.8985857826769
hopper-medium-v2,10.0,0,exp2m,1,2,512,3,5.0,247.53665261132812,False,True,3.8382979181484638,0.7676595820943736,15.0,0.2558865277059732,6.062470366294386,1.2124940708338892,0.40416469081684925,0.7198141479229483,0.6142246811738663,2.6446018599722736,6.585074837027998,0.7044191451379344,0.1575338334730456,0.1015625,0.275390625,0.06500383466482162,0.33364397287368774,0.048828125,0.142578125,0.3503479420542135,0.30065174400806427,0.6140055179595948,1.1171183896064754,1.588441014289856,0.12833429174406774,0.1053999587893486,0.23929867148399356,0.43065675884485244,0.7900022268295288,0.2675411105155945,0.28040260076522827,-0.01286148838698864,0.17520520091056824,-0.14681627698337876,-0.08331774320842832,2.995847702026367,2.98885440826416,0.3219546675682068,0.3694693446159363,-0.0475146658718586,0.17520520091056824,-0.5423887294780517,-0.637409766217038,3.897616147994995,3.817467212677002,1000000,3.1029579639434814,1091.64990234375,49.105707932567256
hopper-medium-v2,10.0,0,exp2m,2,2,512,3,5.0,247.80416970117187,False,True,3.4307079383487564,0.6861415862974681,15.0,0.22871386240410785,5.746040446635929,1.1492080870287695,0.3830693628536823,0.5351414209112717,0.5994971162339667,0.9443182524989558,0.6761216225299947,0.6078071415530897,0.40401693406832323,0.087890625,0.234375,0.06481881439685822,0.10924976319074631,0.051432291666666664,0.138671875,0.12478900372934731,0.10893088951706886,0.23536372482776644,0.36926929295063016,0.4604184627532959,0.12785880750379874,0.10461309924721718,0.24291900396347046,0.47150578171014773,0.6133378744125366,0.25882822275161743,0.25728124380111694,0.0015469648642465472,0.02182202786207199,0.14178005500900212,0.28929738769485336,2.98885440826416,3.009608268737793,0.24012485146522522,0.24743911623954773,-0.00731426477432251,0.02182202786207199,-0.6703557954168102,-0.607823794162085,3.817467212677002,3.7701539993286133,1000000,3.1029579639434814,1091.64990234375,49.105707932567256
