env,tau,seed,method,total_hops,d4rl_score,critic_displacement_sq_mean_metric_mean,final_displacement_sq_mean_metric_mean,final_over_critic_rms
hopper-medium-v2,4.0,0,exp2m,2,57.18580032529641,0.05536031806627312,0.060769186710757594,1.0477132197122094
hopper-medium-v2,4.0,1,exp2m,2,49.70440722704766,0.0543116519332622,0.05788700190711845,1.0323905542134377
hopper-medium-v2,7.0,0,exp2m,2,51.82546408794517,0.057303890906038185,0.06662590869195306,1.0782749524333546
hopper-medium-v2,7.0,1,exp2m,2,74.8985857826769,0.05565783051410198,0.06388798371464692,1.0713872014626147
hopper-medium-v2,10.0,0,exp2m,2,49.105707932567256,0.05840173527750897,0.07369509593662776,1.1233275715767173
hopper-medium-v2,10.0,1,exp2m,2,67.12615056701817,0.05731467515284519,0.06976241042385331,1.1032598696983285
hopper-medium-v2,12.0,0,exp2m,2,0.5811757618906309,0.7906774760731997,0.9680938056045738,1.1065194112605294
hopper-medium-v2,12.0,1,exp2m,2,0.7328787067171205,0.7498998242945089,0.9748062623531898,1.1401382853475388
hopper-medium-v2,14.0,0,exp2m,2,0.7429364161710422,0.7815621366733153,0.9855371461671097,1.1229353231725603
hopper-medium-v2,14.0,1,exp2m,2,0.5806781629045685,0.9011201701071538,1.0652789935608755,1.0872773130239397
hopper-medium-v2,17.0,0,exp2m,2,0.581175762079069,0.8483064766375931,0.9990088972893189,1.0851962558338244
hopper-medium-v2,17.0,1,exp2m,2,0.7898514182844568,0.7230130096665291,0.870528945126963,1.0972827504556344
hopper-medium-v2,20.0,0,exp2m,2,0.7326837906838056,0.9415075196684018,1.0649185616420211,1.0635215685273425
hopper-medium-v2,20.0,1,exp2m,2,1.819903610444258,0.7667888115870215,0.8393623302197676,1.04625333084546
hopper-medium-v2,4.0,0,exp3m,3,52.87828544770035,0.05501150744051262,0.06356607128153215,1.0749441793254624
hopper-medium-v2,4.0,1,exp3m,3,76.44011019845135,0.05381094314416224,0.05946167384949866,1.0511949436750354
hopper-medium-v2,7.0,0,exp3m,3,60.350186716853415,0.0562422080917857,0.07135570408167596,1.126375424636513
hopper-medium-v2,7.0,1,exp3m,3,88.17684968705726,0.05442602492724086,0.06620350120626393,1.1029026261919035
hopper-medium-v2,10.0,0,exp3m,3,69.726008658465,0.05691787203845914,0.07880733948456825,1.1766817170624055
hopper-medium-v2,10.0,1,exp3m,3,100.98127712664882,0.05604421250196542,0.07538867202869202,1.159812168836082
hopper-medium-v2,12.0,0,exp3m,3,0.5811757618906309,0.6462046530350728,0.8713221307430735,1.1611927937802342
hopper-medium-v2,12.0,1,exp3m,3,100.47136441011703,0.05692311522899519,0.07852540243125225,1.1745209170800874
hopper-medium-v2,14.0,0,exp3m,3,81.04468294218276,0.056958273499118396,0.08448487315267905,1.217898427866822
hopper-medium-v2,14.0,1,exp3m,3,1.345043700917183,0.19343186473327642,0.5510106444590778,1.6877805783447366
hopper-medium-v2,17.0,0,exp3m,3,0.798826979932631,0.3430292057029914,0.6956151710871468,1.4240294592855303
hopper-medium-v2,17.0,1,exp3m,3,14.666818185008001,0.17017186899563988,0.4186333101302508,1.5684584072261665
hopper-medium-v2,20.0,0,exp3m,3,0.7373157860365223,0.7240516011574781,0.9974679092998121,1.1737205462136489
hopper-medium-v2,20.0,1,exp3m,3,0.5806657205554185,0.7682050770460993,1.0174511449845516,1.1508486057033154
