environment,tau,seed,bar_step,bar_score,mcep_step,mcep_score,delta_mcep_minus_bar,bar_collapsed_lt20,mcep_collapsed_lt20,transition,mcep_execution_class,mcep_resume_step
hopper-medium-v2,4,0,1000000,50.641686959449395,1000000,72.175409507215605,21.53372254776621,false,false,both_stable,gpu_designated,
hopper-medium-v2,4,1,1000000,66.765892245278366,1000000,60.7529365675082,-6.0129556777701652,false,false,both_stable,gpu_designated,
hopper-medium-v2,7,0,1000000,75.129856300095639,1000000,99.033183484911447,23.903327184815808,false,false,both_stable,gpu_designated,
hopper-medium-v2,7,1,1000000,100.49675903694045,1000000,83.105847283721843,-17.390911753218603,false,false,both_stable,gpu_designated,
hopper-medium-v2,10,0,1000000,101.42505319536879,1000000,99.07318345540601,-2.3518697399627797,false,false,both_stable,gpu_designated,
hopper-medium-v2,10,1,1000000,91.336814826035592,1000000,98.87830479089186,7.5414899648562681,false,false,both_stable,gpu_designated,
hopper-medium-v2,14,0,1000000,65.236524896467998,1000000,0.63745828388952264,-64.599066612578468,false,true,mcep_reversal,gpu_designated,
hopper-medium-v2,14,1,1000000,88.640730780284656,1000000,100.58513588570702,11.944405105422362,false,false,both_stable,gpu_designated,
hopper-medium-v2,20,0,1000000,10.749726449141209,1000000,0.6927651227577224,-10.056961326383487,true,true,both_collapsed,gpu_designated,
hopper-medium-v2,20,1,1000000,2.8060649147687999,1000000,0.73287779551651078,-2.0731871192522893,true,true,both_collapsed,gpu_designated,
hopper-medium-replay-v2,4,0,1000000,99.487057810370274,1000000,99.137537201218379,-0.3495206091518952,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,4,1,1000000,99.112177943565158,1000000,97.373912528584611,-1.7382654149805461,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,7,0,1000000,99.072124600665262,1000000,98.728320372765452,-0.34380422789980969,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,7,1,1000000,100.08117320506959,1000000,100.21510395368405,0.13393074861446053,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,10,0,1000000,100.66099085328078,1000000,98.702299607672416,-1.9586912456083638,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,10,1,1000000,99.169282897669788,1000000,99.501262870838602,0.33197997316881356,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,14,0,1000000,100.58477692787847,1000000,100.73581300136499,0.15103607348652304,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,14,1,1000000,101.21705153169052,1000000,99.83050504556347,-1.3865464861270453,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,20,0,1000000,102.09878789671043,1000000,99.24418289016198,-2.8546050065484536,false,false,both_stable,gpu_designated,
hopper-medium-replay-v2,20,1,1000000,100.23363274608931,1000000,100.1009622052254,-0.13267054086391283,false,false,both_stable,gpu_designated,
hopper-expert-v2,4,0,1000000,98.008805276454552,1000000,108.51674015620132,10.50793487974677,false,false,both_stable,gpu_designated,
hopper-expert-v2,4,1,1000000,87.548403861855519,1000000,97.811682072389473,10.263278210533954,false,false,both_stable,gpu_designated,
hopper-expert-v2,7,0,1000000,103.93946876325155,1000000,97.228925688619455,-6.7105430746320991,false,false,both_stable,gpu_designated,
hopper-expert-v2,7,1,1000000,51.734326054407617,1000000,60.598275442307148,8.863949387899531,false,false,both_stable,gpu_designated,
