tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,46.2138,19.5264,90.1153,43.5344,29.4124,,,,
0.1,43.3956,18.6686,104.3887,43.8772,41.5780,,,,
0.2,46.7938,29.8024,93.9963,43.9227,42.5726,,,,
0.4,43.7322,46.5379,100.4735,45.3889,44.3877,,,,
0.7,45.4536,51.1055,108.6551,46.0597,44.1142,,,,
1.5,58.1332,99.8003,109.2168,48.7353,,,,,
2.5,54.6355,97.6045,101.9181,50.3299,,,,,
4,63.0817,99.7080,106.8078,53.9412,,,,,
7,83.8603,98.2534,107.4373,55.9821,,,,,
10,100.8651,99.5473,77.6649,60.0053,,,,,
12,101.8451,97.9145,29.2029,58.5735,,,,,
14,100.9882,98.5175,79.2095,59.6516,,,,,
17,101.9195,100.8626,52.4092,59.8583,,,,,
20,0.7490,100.8051,1.8219,60.4224,,,,,
