tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,52.7315,19.9887,93.3650,42.8142,40.6756,90.9014,77.2583,,
0.1,51.4947,21.2484,106.4409,43.8341,41.8272,91.6885,79.8241,,
0.2,46.4710,41.4018,105.6424,44.1561,43.0977,92.0929,80.9275,,
0.4,53.4797,54.3396,99.1069,45.1892,43.1471,92.6531,78.4283,,
0.7,49.7280,48.5616,100.3335,46.8825,44.0198,93.3903,82.4708,,
1.5,55.8202,58.3876,107.7530,48.3892,47.5732,94.0225,85.3740,,
2.5,60.5237,97.5059,104.4193,50.8855,48.8680,90.6904,87.3668,,
4,64.8184,98.7430,105.7669,52.6914,49.1174,85.2948,88.4162,,
7,95.4347,96.5780,92.9985,55.9677,51.1236,52.0667,90.1008,,
10,101.2424,98.4620,2.1012,58.1786,53.2056,34.9209,91.8660,,
12,101.1564,100.1040,5.1688,59.2472,52.6127,31.2409,93.5881,,
14,102.1094,99.6735,2.0687,60.7577,53.5464,7.8929,,,
17,101.6676,101.2296,1.7856,60.0869,55.5557,0.4064,,,
20,15.7921,100.7893,0.9964,62.1702,57.0313,1.2739,,,
