tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,54.7741,14.9531,83.2446,42.6555,32.7962,93.5995,78.7497,30.7239,107.1081
0.1,49.9569,21.1212,97.5876,43.2790,41.4229,93.0447,75.1466,58.3165,106.7823
0.2,54.3790,31.9169,98.6653,43.7870,42.5607,94.8718,79.8692,74.8348,107.3451
0.4,51.1198,32.7341,101.7922,44.9884,43.1026,95.9749,82.5452,82.6292,108.1404
0.7,50.3255,38.2591,98.8332,46.1122,44.7779,92.8400,78.6272,84.9733,109.0716
1.5,60.1081,50.1558,97.2413,48.1796,46.4050,95.1788,83.3911,85.4553,110.3714
2.5,61.4695,99.4597,89.5776,51.1896,49.4064,96.7252,85.8912,86.4375,111.2222
4,79.3162,98.7231,99.2446,53.4728,50.1538,80.3563,87.0739,86.8639,112.6038
7,94.9835,99.7535,79.7247,57.7242,51.6171,52.7371,91.8535,94.4645,113.2753
10,101.2896,100.3482,15.6642,57.3291,51.1368,6.7247,2.3019,93.2348,114.0580
12,101.1362,100.3891,57.9111,58.5157,53.8121,46.0864,2.3019,9.1480,115.5039
14,101.6992,99.1730,0.7156,59.8139,54.4235,18.9575,2.3019,7.3106,8.3911
17,102.3324,99.4057,1.2699,60.9265,55.9223,5.3139,2.3019,94.7752,2.3019
20,7.4404,100.6623,0.6419,60.6528,55.2846,3.3689,2.3019,94.1768,2.3019
24,101.9239,98.3602,1.8196,63.0736,55.1850,6.8617,-0.2699,91.7934,-0.2699
28,0.7327,99.3380,1.8196,64.8772,56.6493,1.5035,-0.4316,-1.7824,-0.2699
34,0.5812,100.0299,1.8196,62.9034,55.0434,-1.8090,2.3019,21.3234,2.3019
40,0.5812,100.3277,1.8196,64.6249,45.8819,-2.0249,2.3019,0.1328,2.3019
