tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,41.8476,12.7535,95.6852,43.1839,33.4772,93.3106,75.6941,24.0921,
0.1,46.7644,26.5395,102.5565,43.4960,38.5723,92.5650,79.7827,70.6218,
0.2,44.8699,51.2344,109.6500,43.8937,43.0918,94.7340,65.1233,74.5362,
0.4,44.3347,51.4361,108.7046,44.8368,43.7176,96.1604,79.8331,86.0126,
0.7,49.5980,54.5066,109.2127,46.2821,44.9054,95.7815,78.9795,79.8485,
1.5,46.3604,60.4100,109.7102,48.2018,46.9447,96.4570,87.0711,84.9627,
2.5,54.5755,99.5838,111.1962,50.0609,48.8141,87.4030,88.3504,83.7941,
4,70.6123,98.5427,110.8396,52.8151,49.6214,91.0967,88.8406,87.1104,
7,76.0870,99.6465,90.8577,54.9053,52.5281,74.9230,91.4354,90.4511,
10,100.7775,100.5737,105.0081,56.0147,53.9833,44.3539,91.7920,90.7495,
12,101.0109,99.4660,62.9306,57.6283,53.2496,16.7864,96.2812,,
14,100.4811,100.8998,2.0032,58.0279,53.0138,31.4064,97.6371,,
17,101.6298,100.3266,1.8216,61.5352,49.4999,3.7912,1.6744,,
20,50.9762,98.3905,5.1815,61.5469,50.3438,9.1726,8.9660,,
