task,T,training_seed,hop,actor_a,actor_b,extra_steps,batch_size,lr,tau_step,n_eval,q_weight,mean_q_k,mean_q_prev,delta_q,w2,delta_L,q_term,q_gain_move_ratio,objective_improved,grad_l2,action_rms_from_snapshot,checkpoint_hash
hopper-expert-v2,10,0,2,mu1,mu2,0,256,0.0003,2.5,4096,0.014294348204056862,349.8143734079349,349.7877570525161,0.02661635541880969,0.0049436750494221285,0.004563211597143457,-0.0003804634522794014,0.07695964004023165,False,0.08144006878137589,0.0,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,2,mu1,mu2,500,256,0.0003,2.5,4096,0.014294348204056862,349.81943157357455,349.7877570525161,0.03167452105844859,0.0018370387734183656,0.001384272140212417,-0.00045276663320619587,0.24646547463104806,False,0.013072747737169266,0.05837276577949524,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,2,mu1,mu2,2000,256,0.0003,2.5,4096,0.014294348204056862,349.8184012579295,349.7877570525161,0.03064420541340951,0.001780825370448238,0.0013427864278332535,-0.00043803894261591975,0.24597523703610774,False,0.013554644770920277,0.0631047934293747,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,2,mu1,mu2,10000,256,0.0003,2.5,4096,0.014294348204056862,349.82013438869035,349.7877570525161,0.03237733617424965,0.0017308000204890735,0.0012679871032945655,-0.0004628129171945307,0.2673982619111325,False,0.013906263746321201,0.06144145876169205,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,3,mu2,mu3,0,256,0.0003,2.5,4096,0.014293282418527373,349.84598206490045,349.8143734079349,0.03160865696554538,0.003620983855863242,0.003169192394984144,-0.00045179146087889256,0.12477036044978045,False,0.05084286257624626,0.0,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,3,mu2,mu3,500,256,0.0003,2.5,4096,0.014293282418527373,349.8409629375092,349.8143734079349,0.026589529574266635,0.0014400667891855904,0.0010600151336044306,-0.0003800516555807789,0.2639125201933945,False,0.00853757280856371,0.046460315585136414,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,3,mu2,mu3,2000,256,0.0003,2.5,4096,0.014293282418527373,349.8400362343091,349.8143734079349,0.025662826374173164,0.0013856201386214342,0.0010188141135980544,-0.0003668060250236899,0.2647233645063996,False,0.010361004620790482,0.04754792898893356,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,3,mu2,mu3,10000,256,0.0003,2.5,4096,0.014293282418527373,349.84335101529723,349.8143734079349,0.028977607362321578,0.001373973314521597,0.0009597881886787007,-0.0004141851258428604,0.3014506333313142,False,0.009169834665954113,0.04964114725589752,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,4,mu3,mu4,0,256,0.0003,2.5,4096,0.014291962966711185,349.87318596564,349.84598206490045,0.02720390073955059,0.003924474116541048,0.0035356769746206496,-0.00038879714191974405,0.09906987035053297,False,0.055162087082862854,0.0,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,4,mu3,mu4,500,256,0.0003,2.5,4096,0.014291962966711185,349.87231648754096,349.84598206490045,0.026334422640502453,0.0014244555124964264,0.001048084919368364,-0.00037637059312778165,0.26422067226808243,False,0.006877434905618429,0.05113638937473297,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,4,mu3,mu4,2000,256,0.0003,2.5,4096,0.014291962966711185,349.8711223997525,349.84598206490045,0.025140334852039814,0.0013579176106202134,0.0009986128759438273,-0.00035930473467607157,0.26459980477899775,False,0.005596894305199385,0.05192972719669342,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,4,mu3,mu4,10000,256,0.0003,2.5,4096,0.014291962966711185,349.87316187140823,349.84598206490045,0.02717980650777463,0.0013221294565932621,0.0009336766685414943,-0.00038845278805149067,0.29380843616662095,False,0.005914734676480293,0.052655063569545746,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
