tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,44.8450,54.3257,80.5148
0.1,46.3013,74.0546,99.3553
0.2,52.1847,85.6212,107.9821
0.4,52.6511,85.5079,108.0821
0.7,83.0721,81.0877,108.6466
1.5,108.6268,55.7204,110.0619
2.5,109.2883,55.7368,110.8413
4,94.4732,47.4572,111.7218
7,98.3035,48.5605,2.7342
10,104.6583,59.7731,4.0147
12,0.5660,64.1032,4.8335
14,0.7985,64.1320,3.1407
17,4.7299,46.0423,5.1646
20,4.4243,66.9870,2.3272
24,1.8115,38.7407,0.2213
28,20.8577,43.6064,-0.2683
34,0.7832,39.0982,-0.2683
40,0.5801,26.2856,2.3272
