tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,46.2311,61.9692,98.0453
0.1,44.7743,64.5597,106.3297
0.2,49.7996,87.6420,106.6509
0.4,53.1364,93.8114,108.5421
0.7,53.6350,96.1220,109.2768
1.5,75.8747,59.6813,109.9238
2.5,110.3155,84.6964,110.1378
4,100.6084,60.3015,111.9068
7,103.1950,29.7983,112.5442
10,33.8092,64.0283,-0.2280
12,0.8041,67.3384,7.9324
14,2.7293,40.3112,2.3075
17,3.1764,48.5633,0.2074
20,0.5812,61.4292,2.3019
24,1.8204,54.8218,-0.0998
28,0.7656,48.3085,-0.2699
34,0.7890,26.2299,-0.1468
40,3.3709,51.4682,
