tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,44.2428,44.9270,106.5372
0.1,42.7803,59.2787,107.2397
0.2,41.7022,74.0504,107.6205
0.4,50.3194,90.3987,108.4026
0.7,72.3039,74.7925,108.9729
1.5,104.2064,48.6367,110.3744
2.5,111.2734,39.8004,110.5219
4,110.1568,52.6628,112.1711
7,93.5987,55.9444,-0.1397
10,23.4358,43.2027,-0.2174
12,10.0922,56.6822,0.0426
14,1.7546,38.3533,-0.1231
17,1.1769,58.2984,1.6560
20,1.8199,51.6148,-0.2713
24,1.8199,26.0651,-0.2713
28,0.5807,51.7660,-0.2713
34,1.4097,51.2814,-0.2713
40,0.7897,50.0931,1.9220
