env,tau,K,seed,geometry,policy,hop,eval_mode,d4rl_score
hopper-medium-v2,1.25,4,0,w2,baseline,1,sample,47.216017918033614
hopper-medium-v2,1.25,4,0,w2,mpi,1,mean,46.86811074428882
hopper-medium-v2,1.25,4,0,w2,mpi,1,sample,47.216017918033614
hopper-medium-v2,1.25,4,0,w2,mpi,4,mean,86.9840518100602
hopper-medium-v2,1.25,4,0,w2,mpi,4,sample,84.67903613423694
hopper-medium-v2,10.0,2,0,w2,baseline,1,mean,0.5838164472620713
hopper-medium-v2,10.0,2,0,w2,baseline,1,sample,0.5859236658034529
hopper-medium-v2,10.0,2,0,w2,mpi,1,mean,0.5838164472620713
hopper-medium-v2,10.0,2,0,w2,mpi,1,sample,0.5859236658034529
hopper-medium-v2,10.0,2,0,w2,mpi,2,mean,0.5838164472620713
hopper-medium-v2,10.0,2,0,w2,mpi,2,sample,0.5842203573032038
hopper-medium-v2,10.0,4,0,w2,baseline,1,mean,0.7949734337356391
hopper-medium-v2,10.0,4,0,w2,baseline,1,sample,0.7949402922125463
hopper-medium-v2,10.0,4,0,w2,mpi,1,mean,0.7949734337356391
hopper-medium-v2,10.0,4,0,w2,mpi,1,sample,0.7949402922125463
hopper-medium-v2,10.0,4,0,w2,mpi,4,mean,0.8023885817590953
hopper-medium-v2,10.0,4,0,w2,mpi,4,sample,0.8021166999761862
hopper-medium-v2,40.0,2,0,w2,baseline,1,mean,0.7339870051617758
hopper-medium-v2,40.0,2,0,w2,baseline,1,sample,0.7339870051617758
hopper-medium-v2,40.0,2,0,w2,mpi,1,mean,0.7339870051617758
hopper-medium-v2,40.0,2,0,w2,mpi,1,sample,0.7339870051617758
hopper-medium-v2,40.0,2,0,w2,mpi,2,mean,0.7339870051617758
hopper-medium-v2,40.0,2,0,w2,mpi,2,sample,0.7339870051617758
hopper-medium-v2,40.0,4,0,w2,baseline,1,mean,0.7339870051617758
hopper-medium-v2,40.0,4,0,w2,baseline,1,sample,0.7339870051617758
hopper-medium-v2,40.0,4,0,w2,mpi,1,mean,0.7339870051617758
hopper-medium-v2,40.0,4,0,w2,mpi,1,sample,0.7339870051617758
hopper-medium-v2,40.0,4,0,w2,mpi,4,mean,0.7339870051617758
hopper-medium-v2,40.0,4,0,w2,mpi,4,sample,0.7339870051617758
hopper-medium-v2,4.0,4,0,w2,baseline,1,mean,0.8038443429832984
hopper-medium-v2,4.0,4,0,w2,baseline,1,sample,0.8045781043988879
hopper-medium-v2,4.0,4,0,w2,mpi,1,mean,0.8038443429832984
hopper-medium-v2,4.0,4,0,w2,mpi,1,sample,0.8045781043988879
hopper-medium-v2,4.0,4,0,w2,mpi,4,mean,0.8038443429832984
hopper-medium-v2,4.0,4,0,w2,mpi,4,sample,0.8047875326248011
